datetime,solar_pv_kw,total_load_kw,generators_kw,sterilization_kw,base_load_kw,grid_availability_ratio,is_outage,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,surface_pressure,shortwave_radiation,who_reliability_pct,loadshed_avg_stage,loadshed_max_stage,loadshed_pct_active,hour,day_of_week,month
2022-01-01 00:00:00,0.013711152653853226,95.72936809118515,5.803617048616537,12.15840591445695,83.5709621767282,0.5,1,22.3,72,12.8,0.0,892.5,0.0,50.0,1.27,6,0.6179,0,5,1
2022-01-01 01:00:00,0.012802582297272599,108.91321954900106,0.0,3.7707321744199334,105.14248737458111,1.0,0,21.6,79,14.6,0.0,891.9,0.0,50.0,1.27,6,0.6179,1,5,1
2022-01-01 02:00:00,0.0128851796024163,92.7550391329607,0.0,3.5337605059626744,89.22127862699804,1.0,0,21.1,82,14.8,0.0,891.3,0.0,50.0,1.27,6,0.6179,2,5,1
2022-01-01 03:00:00,0.0128851796024163,94.94684122225378,0.0,4.396654552798848,90.55018666945494,1.0,0,21.0,78,12.5,0.0,891.2,0.0,50.0,1.27,6,0.6179,3,5,1
2022-01-01 04:00:00,0.0128851796024163,104.04989022214033,0.0,12.509774850538225,91.54011537160211,1.0,0,20.6,81,10.7,0.0,890.6,0.0,50.0,1.27,6,0.6179,4,5,1
2022-01-01 05:00:00,0.0128851796024163,97.05257691958712,0.0,4.484290293556309,92.56828662603081,1.0,0,20.4,83,10.7,0.0,890.8,0.0,50.0,1.27,6,0.6179,5,5,1
2022-01-01 06:00:00,0.5784289279212913,114.21051511708677,0.0,3.7423187014505026,110.46819641563624,1.0,0,20.0,85,9.3,0.0,891.4,0.0,50.0,1.27,6,0.6179,6,5,1
2022-01-01 07:00:00,20.05569945385585,117.48392891723648,0.0,3.521123118275689,113.96280579896083,1.0,0,19.7,86,8.7,0.0,891.6,0.0,50.0,1.27,6,0.6179,7,5,1
2022-01-01 08:00:00,67.9399177621149,138.75950797075959,0.0,6.3407473239659815,132.41876064679357,1.0,0,21.1,78,8.9,0.0,892.9,67.0,50.0,1.27,6,0.6179,8,5,1
2022-01-01 09:00:00,88.36383600230134,182.71638961404625,0.0,29.170477271072805,153.54591234297345,1.0,0,23.9,64,7.7,0.0,894.4,266.0,50.0,1.27,6,0.6179,9,5,1
2022-01-01 10:00:00,97.32539581847676,192.2808271604655,0.0,31.723559973064397,160.55726718740107,1.0,0,26.2,52,6.1,0.0,895.1,495.0,50.0,1.27,6,0.6179,10,5,1
2022-01-01 11:00:00,129.6023577360039,152.54417222619068,0.0,18.6213972500356,133.9227749761551,1.0,0,27.8,44,2.5,0.0,895.1,678.0,50.0,1.27,6,0.6179,11,5,1
2022-01-01 12:00:00,144.5062154761321,157.56517980857075,0.0,25.073816130555855,132.4913636780149,1.0,0,28.9,41,4.1,0.0,894.6,714.0,50.0,1.27,6,0.6179,12,5,1
2022-01-01 13:00:00,132.86354713499242,143.7510283152033,0.0,23.010783239981798,120.74024507522148,1.0,0,30.0,36,4.5,0.0,893.8,862.0,50.0,1.27,6,0.6179,13,5,1
2022-01-01 14:00:00,116.2315885766478,125.12574899182593,0.0,8.774889906550655,116.3508590852753,1.0,0,30.6,34,5.2,0.0,892.7,823.0,50.0,1.27,6,0.6179,14,5,1
2022-01-01 15:00:00,107.57572138680922,122.38260989069873,0.0,7.345047957208163,115.03756193349055,1.0,0,28.8,39,5.9,0.0,891.8,723.0,50.0,1.27,6,0.6179,15,5,1
2022-01-01 16:00:00,72.02774099098147,125.25509637168098,0.0,8.11122055972107,117.14387581195993,1.0,0,29.0,39,1.9,0.0,891.1,504.0,50.0,1.27,6,0.6179,16,5,1
2022-01-01 17:00:00,54.13526495883899,104.7851714325295,0.0,6.651147996695986,98.13402343583351,1.0,0,28.6,40,0.8,0.0,890.7,316.0,50.0,1.27,6,0.6179,17,5,1
2022-01-01 18:00:00,6.892001738494998,127.43062679186076,0.0,14.625422224488812,112.80520456737194,1.0,0,28.0,41,2.2,0.1,890.7,140.0,50.0,1.27,6,0.6179,18,5,1
2022-01-01 19:00:00,0.012967776907559975,135.48171651343725,0.0,13.961752877659226,121.519963635778,1.0,0,26.4,47,6.1,0.0,890.5,33.0,50.0,1.27,6,0.6179,19,5,1
2022-01-01 20:00:00,0.0128851796024163,139.13185662234736,0.0,6.366765475086247,132.7650911472611,1.0,0,25.5,50,5.6,0.0,890.7,0.0,50.0,1.27,6,0.6179,20,5,1
2022-01-01 21:00:00,0.0128851796024163,127.27303113364658,0.0,5.8708512550035055,121.40217987864305,1.0,0,24.6,63,2.6,0.0,891.3,0.0,50.0,1.27,6,0.6179,21,5,1
2022-01-01 22:00:00,0.01321556882299105,129.4091626392728,0.0,15.456268516929233,113.9528941223436,1.0,0,24.0,55,9.5,0.0,891.8,0.0,50.0,1.27,6,0.6179,22,5,1
2022-01-01 23:00:00,0.012967776907559975,112.17573050487182,0.0,14.16262952376869,98.01310098110314,1.0,0,23.5,56,12.4,0.0,891.8,0.0,50.0,1.27,6,0.6179,23,5,1
2022-01-02 00:00:00,0.0128851796024163,102.53009980749636,0.0,8.257004803299692,94.27309500419666,1.0,0,22.8,59,11.8,0.0,891.0,0.0,50.0,1.27,6,0.6179,0,6,1
2022-01-02 01:00:00,0.0128851796024163,99.32887605204219,0.0,7.617866856097784,91.71100919594441,1.0,0,22.3,62,11.2,0.0,890.5,0.0,50.0,1.27,6,0.6179,1,6,1
2022-01-02 02:00:00,0.0128851796024163,92.02339220399787,0.0,8.332911726726746,83.69048047727111,1.0,0,21.9,64,10.9,0.0,890.2,0.0,50.0,1.27,6,0.6179,2,6,1
2022-01-02 03:00:00,0.0128851796024163,94.68674230835629,0.0,7.6396725446557205,87.04706976370056,1.0,0,21.0,71,10.9,0.0,890.0,0.0,50.0,1.27,6,0.6179,3,6,1
2022-01-02 04:00:00,0.012967776907559975,92.43960002461694,0.0,8.315070708815709,84.12452931580123,1.0,0,20.5,76,10.1,0.0,890.2,0.0,50.0,1.27,6,0.6179,4,6,1
2022-01-02 05:00:00,0.0128851796024163,89.809288842316,0.0,6.906208474979714,82.90308036733629,1.0,0,20.1,80,9.8,0.0,890.6,0.0,50.0,1.27,6,0.6179,5,6,1
2022-01-02 06:00:00,0.5386170268420308,103.18815253757616,0.0,5.813941711759499,97.37421082581668,1.0,0,20.0,82,10.1,0.0,891.0,0.0,50.0,1.27,6,0.6179,6,6,1
2022-01-02 07:00:00,22.54452145244565,111.88102332011913,0.0,5.166213644822649,106.71480967529651,1.0,0,19.7,85,9.1,0.0,891.4,0.0,50.0,1.27,6,0.6179,7,6,1
2022-01-02 08:00:00,80.68526012692296,108.08088650506804,0.0,5.627271802134751,102.4536147029333,1.0,0,20.6,81,1.5,0.0,892.4,67.0,50.0,1.27,6,0.6179,8,6,1
2022-01-02 09:00:00,114.45442495917607,118.9572996463897,0.0,3.6954860294340275,115.26181361695568,1.0,0,23.1,70,4.7,0.0,893.7,265.0,50.0,1.27,6,0.6179,9,6,1
2022-01-02 10:00:00,102.06449879840135,111.61373844067415,0.0,3.8841382743822255,107.72960016629193,1.0,0,25.8,56,5.9,0.0,894.2,503.0,50.0,1.27,6,0.6179,10,6,1
2022-01-02 11:00:00,105.80516555374898,122.17363870868517,0.0,3.409203769805983,118.76443493887919,1.0,0,27.5,48,2.2,0.0,894.0,690.0,50.0,1.27,6,0.6179,11,6,1
2022-01-02 12:00:00,103.72982566470851,114.43063693529467,0.0,5.267643135539106,109.16299379975558,1.0,0,28.7,43,2.9,0.1,893.4,767.0,50.0,1.27,6,0.6179,12,6,1
2022-01-02 13:00:00,94.4105369199558,121.36013785032493,0.0,5.675673822948955,115.68446402737598,1.0,0,29.7,39,4.5,0.0,892.6,790.0,50.0,1.27,6,0.6179,13,6,1
2022-01-02 14:00:00,96.10708556760726,110.03456056363186,0.0,3.1220129398213583,106.91254762381048,1.0,0,30.6,35,4.6,0.0,891.2,819.0,50.0,1.27,6,0.6179,14,6,1
2022-01-02 15:00:00,95.98888882394662,114.37248843247349,0.0,0.7503139199253193,113.6221745125482,1.0,0,29.8,37,6.1,0.0,890.1,759.0,50.0,1.27,6,0.6179,15,6,1
2022-01-02 16:00:00,105.24077816770212,126.7731522429169,0.0,25.235954640552926,101.53719760236402,1.0,0,30.0,36,6.3,0.0,889.5,559.0,50.0,1.27,6,0.6179,16,6,1
2022-01-02 17:00:00,19.072791522645886,128.9586769370191,0.0,17.650713719986904,111.30796321703218,1.0,0,29.8,36,6.2,0.0,889.2,409.0,50.0,1.27,6,0.6179,17,6,1
2022-01-02 18:00:00,2.3744247309657807,108.02529851870635,0.0,5.829139615905939,102.1961589028004,1.0,0,28.8,38,7.0,0.0,889.5,206.0,50.0,1.27,6,0.6179,18,6,1
2022-01-02 19:00:00,0.0128851796024163,137.0463572647742,0.0,20.589278045084114,116.45707921969012,1.0,0,27.0,42,9.3,0.0,889.3,38.0,50.0,1.27,6,0.6179,19,6,1
2022-01-02 20:00:00,0.0128851796024163,119.01883463872176,0.0,9.598054649612713,109.42077998910906,1.0,0,25.7,48,14.3,0.0,889.6,0.0,50.0,1.27,6,0.6179,20,6,1
2022-01-02 21:00:00,0.0128851796024163,119.50648912829013,0.0,10.6991593244833,108.80732980380682,1.0,0,24.8,51,11.8,0.0,889.9,0.0,50.0,1.27,6,0.6179,21,6,1
2022-01-02 22:00:00,0.0128851796024163,109.65428257075028,0.0,16.131501486478932,93.52278108427134,1.0,0,23.8,55,8.7,0.0,889.7,0.0,50.0,1.27,6,0.6179,22,6,1
2022-01-02 23:00:00,0.01305037421270365,101.0374013089395,0.0,8.716741403729493,92.32065990521,1.0,0,23.2,57,7.9,0.0,889.7,0.0,50.0,1.27,6,0.6179,23,6,1
2022-01-03 00:00:00,0.0133807634332784,98.59532938506106,0.0,7.319277598003328,91.27605178705772,1.0,0,23.2,57,6.8,0.0,889.6,0.0,50.0,1.27,6,0.6179,0,0,1
2022-01-03 01:00:00,0.0128851796024163,96.25873421985108,0.0,10.082653038890767,86.17608118096031,1.0,0,23.4,54,9.4,0.0,889.6,0.0,50.0,1.27,6,0.6179,1,0,1
2022-01-03 02:00:00,0.0128851796024163,101.94275037061955,0.0,15.595197184180927,86.34755318643863,1.0,0,22.9,54,7.9,0.0,889.5,0.0,50.0,1.27,6,0.6179,2,0,1
2022-01-03 03:00:00,0.012967776907559975,95.32241116874215,0.0,8.748789158125248,86.57362201061692,1.0,0,21.4,56,10.1,0.0,888.8,0.0,50.0,1.27,6,0.6179,3,0,1
2022-01-03 04:00:00,0.013050374212703674,87.64342230683805,0.0,8.019372356401282,79.62404995043677,1.0,0,21.1,49,11.3,0.0,888.6,0.0,50.0,1.27,6,0.6179,4,0,1
2022-01-03 05:00:00,0.0128851796024163,95.80767033646137,0.0,8.632574749788068,87.1750955866733,1.0,0,21.1,42,12.4,0.0,888.6,0.0,50.0,1.27,6,0.6179,5,0,1
2022-01-03 06:00:00,1.0000055733747073,110.93288885437465,0.0,8.566496905673114,102.36639194870158,1.0,0,20.9,39,11.6,0.0,888.8,0.0,50.0,1.27,6,0.6179,6,0,1
2022-01-03 07:00:00,29.005034868869984,124.56673043061345,0.0,8.31333616540769,116.25339426520573,1.0,0,20.4,40,10.2,0.0,889.1,0.0,50.0,1.27,6,0.6179,7,0,1
2022-01-03 08:00:00,72.74468559962874,138.3429697609199,0.0,7.698977409748892,130.64399235117102,1.0,0,21.5,39,10.4,0.0,890.8,73.0,50.0,1.27,6,0.6179,8,0,1
2022-01-03 09:00:00,129.92159632038425,183.75215982054817,0.0,9.351336499148497,174.40082332139968,1.0,0,24.5,32,10.2,0.0,892.7,285.0,50.0,1.27,6,0.6179,9,0,1
2022-01-03 10:00:00,116.27999059746202,197.71416049012285,0.0,24.764819612013294,172.94934087810952,1.0,0,26.7,28,13.7,0.0,893.3,516.0,50.0,1.27,6,0.6179,10,0,1
2022-01-03 11:00:00,138.10822821970154,178.13091762168892,0.0,14.769884911185132,163.36103271050382,1.0,0,28.4,27,12.3,0.0,893.4,714.0,50.0,1.27,6,0.6179,11,0,1
2022-01-03 12:00:00,85.2879949560553,177.10431571605793,0.0,17.881407993253237,159.22290772280468,1.0,0,29.9,26,11.3,0.0,893.0,853.0,50.0,1.27,6,0.6179,12,0,1
2022-01-03 13:00:00,105.66541091344587,159.83792725690463,0.0,11.953234208480012,147.88469304842465,1.0,0,31.1,25,11.2,0.0,892.1,928.0,50.0,1.27,6,0.6179,13,0,1
2022-01-03 14:00:00,67.3367096426505,146.70759885282183,0.0,22.119558317481342,124.5880405353405,1.0,0,34.0,19,5.2,0.0,890.5,929.0,50.0,1.27,6,0.6179,14,0,1
2022-01-03 15:00:00,7.026387553963789,132.26075200205372,0.0,9.893918196637422,122.36683380541628,1.0,0,33.0,21,12.0,0.0,889.6,640.0,50.0,1.27,6,0.6179,15,0,1
2022-01-03 16:00:00,0.39365875631484715,140.49363839225143,0.0,23.532715611184805,116.96092278106664,1.0,0,33.6,19,8.0,0.0,889.0,597.0,50.0,1.27,6,0.6179,16,0,1
2022-01-03 17:00:00,0.012554790381841499,127.12856844695025,0.0,8.081155140648766,119.04741330630148,1.0,0,32.1,21,11.9,0.0,888.6,252.0,50.0,1.27,6,0.6179,17,0,1
2022-01-03 18:00:00,0.012967776907559975,125.13491729269691,0.0,15.102917245524505,110.0320000471724,1.0,0,31.4,25,3.8,0.0,888.4,155.0,50.0,1.27,6,0.6179,18,0,1
2022-01-03 19:00:00,0.0135459580435658,130.48606630373627,0.0,10.440216772857818,120.04584953087848,1.0,0,29.0,27,8.3,0.0,888.0,36.0,50.0,1.27,6,0.6179,19,0,1
2022-01-03 20:00:00,0.01305037421270365,119.46089541585081,0.0,8.251470783855064,111.20942463199577,1.0,0,27.4,30,15.1,0.0,888.7,0.0,50.0,1.27,6,0.6179,20,0,1
2022-01-03 21:00:00,0.012967776907559975,114.82190036976036,0.0,8.368511165243678,106.4533892045167,1.0,0,26.9,30,14.9,0.0,890.4,0.0,50.0,1.27,6,0.6179,21,0,1
2022-01-03 22:00:00,0.012967776907559975,124.5706125039552,0.0,19.414248782109922,105.15636372184525,1.0,0,26.6,27,15.3,0.0,891.2,0.0,50.0,1.27,6,0.6179,22,0,1
2022-01-03 23:00:00,0.01313297151784735,119.39944302082392,0.0,29.785661999783045,89.61378102104086,1.0,0,25.5,29,12.0,0.0,891.5,0.0,50.0,1.27,6,0.6179,23,0,1
2022-01-04 00:00:00,0.012967776907559975,105.13406244945648,0.0,15.971675701025884,89.1623867484306,1.0,0,25.0,30,9.1,0.0,891.8,0.0,50.0,1.27,6,0.6179,0,1,1
