datetime,air_pm10,air_pm2_5,air_carbon_monoxide,air_nitrogen_dioxide,air_sulphur_dioxide,air_ozone,air_dust,air_uv_index,air_european_aqi,hospital
2022-01-01 00:00:00,25.2,19.7,213.0,22.1,16.4,25.0,0.0,,20.0,ibn_sina_morocco
2022-01-01 01:00:00,26.0,23.5,158.0,16.2,9.5,28.0,0.0,,20.0,ibn_sina_morocco
2022-01-01 02:00:00,25.9,21.6,144.0,13.2,7.9,28.0,0.0,,,ibn_sina_morocco
2022-01-01 03:00:00,18.7,16.3,134.0,11.1,6.1,29.0,0.0,,,ibn_sina_morocco
2022-01-01 04:00:00,11.3,10.1,124.0,8.9,4.6,30.0,0.0,,,ibn_sina_morocco
2022-01-01 05:00:00,7.8,7.2,116.0,7.0,5.3,31.0,0.0,,,ibn_sina_morocco
2022-01-01 06:00:00,7.7,6.9,112.0,6.4,5.4,32.0,0.0,,,ibn_sina_morocco
2022-01-01 07:00:00,8.6,7.4,112.0,5.8,5.8,31.0,0.0,,,ibn_sina_morocco
2022-01-01 08:00:00,10.6,9.9,123.0,8.6,8.8,28.0,0.0,,,ibn_sina_morocco
2022-01-01 09:00:00,13.0,11.2,143.0,9.4,10.0,27.0,0.0,,,ibn_sina_morocco
2022-01-01 10:00:00,15.2,11.1,164.0,8.6,11.8,34.0,0.0,,,ibn_sina_morocco
2022-01-01 11:00:00,17.1,12.5,159.0,8.2,16.3,38.0,0.0,,,ibn_sina_morocco
2022-01-01 12:00:00,18.6,13.7,136.0,9.9,24.3,47.0,0.0,,,ibn_sina_morocco
2022-01-01 13:00:00,17.3,13.7,131.0,8.0,22.7,55.0,0.0,,,ibn_sina_morocco
2022-01-01 14:00:00,13.2,11.1,126.0,6.4,14.7,55.0,0.0,,,ibn_sina_morocco
2022-01-01 15:00:00,12.4,10.1,112.0,4.3,14.5,54.0,0.0,,,ibn_sina_morocco
2022-01-01 16:00:00,14.1,11.9,110.0,4.7,16.8,56.0,0.0,,,ibn_sina_morocco
2022-01-01 17:00:00,15.7,12.7,112.0,6.2,16.4,57.0,0.0,,,ibn_sina_morocco
2022-01-01 18:00:00,17.4,14.1,115.0,8.7,17.1,56.0,0.0,,,ibn_sina_morocco
2022-01-01 19:00:00,18.4,15.2,118.0,10.7,18.3,55.0,0.0,,,ibn_sina_morocco
2022-01-01 20:00:00,22.9,18.3,134.0,12.0,17.1,51.0,0.0,,,ibn_sina_morocco
2022-01-01 21:00:00,25.5,20.7,149.0,20.0,23.8,37.0,0.0,,,ibn_sina_morocco
2022-01-01 22:00:00,29.5,25.3,173.0,20.4,28.7,25.0,0.0,,,ibn_sina_morocco
2022-01-01 23:00:00,28.1,26.3,177.0,22.1,23.5,23.0,0.0,,,ibn_sina_morocco
2022-01-02 00:00:00,28.1,22.8,162.0,17.8,21.4,25.0,0.0,,,ibn_sina_morocco
2022-01-02 01:00:00,26.3,21.6,159.0,14.9,11.1,15.0,0.0,,29.0,ibn_sina_morocco
2022-01-02 02:00:00,26.3,23.7,139.0,15.4,18.1,20.0,0.0,,29.0,ibn_sina_morocco
2022-01-02 03:00:00,25.8,24.0,136.0,14.1,17.1,16.0,0.0,,29.0,ibn_sina_morocco
2022-01-02 04:00:00,21.2,18.6,134.0,13.7,16.5,21.0,0.0,,30.0,ibn_sina_morocco
2022-01-02 05:00:00,19.3,16.2,133.0,8.8,14.4,19.0,0.0,,31.0,ibn_sina_morocco
2022-01-02 06:00:00,19.1,15.6,131.0,8.2,14.2,15.0,0.0,,32.0,ibn_sina_morocco
2022-01-02 07:00:00,19.9,14.9,131.0,9.3,21.5,14.0,0.0,,32.0,ibn_sina_morocco
2022-01-02 08:00:00,20.0,14.9,145.0,14.0,20.7,16.0,0.0,,33.0,ibn_sina_morocco
2022-01-02 09:00:00,18.4,15.9,157.0,13.5,17.4,19.0,0.0,,33.0,ibn_sina_morocco
2022-01-02 10:00:00,18.5,17.2,170.0,10.9,20.8,27.0,0.0,,34.0,ibn_sina_morocco
2022-01-02 11:00:00,20.4,19.0,160.0,9.6,24.3,33.0,0.0,,34.0,ibn_sina_morocco
2022-01-02 12:00:00,21.6,19.4,144.0,8.6,25.3,42.0,0.0,,35.0,ibn_sina_morocco
2022-01-02 13:00:00,20.0,15.8,143.0,6.6,15.1,44.0,0.0,,35.0,ibn_sina_morocco
2022-01-02 14:00:00,20.7,12.7,147.0,4.4,14.2,53.0,0.0,,35.0,ibn_sina_morocco
2022-01-02 15:00:00,19.6,13.4,146.0,3.4,13.7,63.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 16:00:00,19.6,14.7,143.0,4.2,10.6,58.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 17:00:00,19.4,14.5,142.0,3.8,9.4,55.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 18:00:00,22.2,15.4,112.0,4.2,8.4,52.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 19:00:00,22.4,16.5,113.0,4.8,7.9,58.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 20:00:00,25.1,17.0,118.0,5.8,7.4,59.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 21:00:00,25.3,18.0,125.0,6.2,6.7,53.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 22:00:00,27.4,22.6,140.0,7.3,12.2,45.0,0.0,,36.0,ibn_sina_morocco
2022-01-02 23:00:00,31.1,23.2,154.0,12.9,16.2,42.0,0.0,,36.0,ibn_sina_morocco
2022-01-03 00:00:00,32.4,25.2,152.0,13.0,16.1,35.0,0.0,,36.0,ibn_sina_morocco
2022-01-03 01:00:00,34.9,25.8,147.0,10.5,15.1,39.0,0.0,,36.0,ibn_sina_morocco
2022-01-03 02:00:00,29.1,23.8,174.0,9.5,15.0,37.0,0.0,,36.0,ibn_sina_morocco
2022-01-03 03:00:00,29.5,26.8,168.0,8.1,15.8,36.0,0.0,,36.0,ibn_sina_morocco
2022-01-03 04:00:00,27.8,26.0,158.0,7.1,15.7,36.0,0.0,,36.0,ibn_sina_morocco
2022-01-03 05:00:00,26.3,26.0,152.0,6.3,15.5,37.0,0.0,,37.0,ibn_sina_morocco
2022-01-03 06:00:00,26.2,25.6,148.0,5.6,15.7,36.0,0.0,,38.0,ibn_sina_morocco
2022-01-03 07:00:00,23.7,23.4,146.0,5.3,15.5,35.0,0.0,,39.0,ibn_sina_morocco
2022-01-03 08:00:00,22.2,19.3,146.0,9.6,16.6,35.0,0.0,,39.0,ibn_sina_morocco
2022-01-03 09:00:00,19.0,15.4,151.0,11.1,17.2,32.0,0.0,,40.0,ibn_sina_morocco
2022-01-03 10:00:00,18.5,14.7,157.0,10.3,16.7,33.0,0.0,,40.0,ibn_sina_morocco
2022-01-03 11:00:00,19.7,15.1,165.0,7.7,17.0,45.0,0.0,,40.0,ibn_sina_morocco
2022-01-03 12:00:00,22.3,16.7,139.0,6.1,17.2,49.0,0.0,,39.0,ibn_sina_morocco
2022-01-03 13:00:00,27.0,20.2,140.0,4.7,17.1,57.0,0.0,,39.0,ibn_sina_morocco
2022-01-03 14:00:00,29.2,22.0,140.0,4.0,14.9,64.0,0.0,,39.0,ibn_sina_morocco
2022-01-03 15:00:00,27.2,21.0,136.0,3.8,14.8,71.0,0.0,,40.0,ibn_sina_morocco
2022-01-03 16:00:00,26.3,21.7,129.0,3.4,11.3,77.0,0.0,,41.0,ibn_sina_morocco
2022-01-03 17:00:00,24.7,17.9,125.0,3.3,8.9,81.0,0.0,,43.0,ibn_sina_morocco
2022-01-03 18:00:00,23.5,15.7,125.0,3.7,8.1,80.0,0.0,,43.0,ibn_sina_morocco
2022-01-03 19:00:00,23.5,15.6,129.0,4.5,9.2,76.0,0.0,,43.0,ibn_sina_morocco
2022-01-03 20:00:00,26.9,16.3,140.0,6.4,9.0,67.0,0.0,,43.0,ibn_sina_morocco
2022-01-03 21:00:00,32.0,23.6,177.0,8.2,13.0,61.0,0.0,,43.0,ibn_sina_morocco
2022-01-03 22:00:00,37.5,29.5,189.0,10.1,17.7,48.0,0.0,,44.0,ibn_sina_morocco
2022-01-03 23:00:00,34.3,32.4,191.0,13.9,18.1,42.0,0.0,,45.0,ibn_sina_morocco
2022-01-04 00:00:00,36.3,27.5,201.0,12.1,16.2,44.0,0.0,,47.0,ibn_sina_morocco
2022-01-04 01:00:00,37.3,28.4,175.0,8.8,12.9,38.0,0.0,,47.0,ibn_sina_morocco
2022-01-04 02:00:00,33.1,29.3,167.0,7.4,11.5,38.0,0.0,,47.0,ibn_sina_morocco
2022-01-04 03:00:00,30.7,25.8,156.0,6.3,12.6,38.0,1.0,,48.0,ibn_sina_morocco
2022-01-04 04:00:00,26.7,22.3,148.0,5.8,12.0,38.0,1.0,,48.0,ibn_sina_morocco
