datetime,consumption_kw,is_outage,outage_duration_h,hour,day_of_week,month
2023-01-01 00:00:00,104.57,0,0.0,0,6,1
2023-01-01 01:00:00,86.1,0,0.0,1,6,1
2023-01-01 02:00:00,117.96,0,0.0,2,6,1
2023-01-01 03:00:00,128.75,0,0.0,3,6,1
2023-01-01 04:00:00,95.73,0,0.0,4,6,1
2023-01-01 05:00:00,117.53,0,0.0,5,6,1
2023-01-01 06:00:00,151.92,0,0.0,6,6,1
2023-01-01 07:00:00,158.2,0,0.0,7,6,1
2023-01-01 08:00:00,174.75,0,0.0,8,6,1
2023-01-01 09:00:00,172.56,0,0.0,9,6,1
2023-01-01 10:00:00,206.49,0,0.0,10,6,1
2023-01-01 11:00:00,209.96,0,0.0,11,6,1
2023-01-01 12:00:00,200.99,0,0.0,12,6,1
2023-01-01 13:00:00,215.2,0,0.0,13,6,1
2023-01-01 14:00:00,200.31,0,0.0,14,6,1
2023-01-01 15:00:00,172.47,0,0.0,15,6,1
2023-01-01 16:00:00,180.53,0,0.0,16,6,1
2023-01-01 17:00:00,148.56,0,0.0,17,6,1
2023-01-01 18:00:00,163.18,0,0.0,18,6,1
2023-01-01 19:00:00,136.31,0,0.0,19,6,1
2023-01-01 20:00:00,122.23,0,0.0,20,6,1
2023-01-01 21:00:00,104.43,0,0.0,21,6,1
2023-01-01 22:00:00,125.04,0,0.0,22,6,1
2023-01-01 23:00:00,99.39,0,0.0,23,6,1
2023-01-02 00:00:00,93.58,0,0.0,0,0,1
2023-01-02 01:00:00,96.42,0,0.0,1,0,1
2023-01-02 02:00:00,114.68,0,0.0,2,0,1
2023-01-02 03:00:00,120.13,0,0.0,3,0,1
2023-01-02 04:00:00,131.19,0,0.0,4,0,1
2023-01-02 05:00:00,143.52,0,0.0,5,0,1
2023-01-02 06:00:00,182.12,0,0.0,6,0,1
2023-01-02 07:00:00,156.84,0,0.0,7,0,1
2023-01-02 08:00:00,207.32,0,0.0,8,0,1
2023-01-02 09:00:00,8.03,1,0.5,9,0,1
2023-01-02 10:00:00,1.58,1,0.5,10,0,1
2023-01-02 11:00:00,255.23,0,0.0,11,0,1
2023-01-02 12:00:00,238.29,0,0.0,12,0,1
2023-01-02 13:00:00,225.69,0,0.0,13,0,1
2023-01-02 14:00:00,220.93,0,0.0,14,0,1
2023-01-02 15:00:00,235.11,0,0.0,15,0,1
2023-01-02 16:00:00,226.15,0,0.0,16,0,1
2023-01-02 17:00:00,211.09,0,0.0,17,0,1
2023-01-02 18:00:00,180.02,0,0.0,18,0,1
2023-01-02 19:00:00,140.54,0,0.0,19,0,1
2023-01-02 20:00:00,126.75,0,0.0,20,0,1
2023-01-02 21:00:00,117.92,0,0.0,21,0,1
2023-01-02 22:00:00,119.77,0,0.0,22,0,1
2023-01-02 23:00:00,105.06,0,0.0,23,0,1
2023-01-03 00:00:00,110.18,0,0.0,0,1,1
2023-01-03 01:00:00,102.72,0,0.0,1,1,1
2023-01-03 02:00:00,111.04,0,0.0,2,1,1
2023-01-03 03:00:00,124.11,0,0.0,3,1,1
2023-01-03 04:00:00,103.14,0,0.0,4,1,1
2023-01-03 05:00:00,132.26,0,0.0,5,1,1
2023-01-03 06:00:00,142.94,0,0.0,6,1,1
2023-01-03 07:00:00,153.36,0,0.0,7,1,1
2023-01-03 08:00:00,210.87,0,0.0,8,1,1
2023-01-03 09:00:00,247.78,0,0.0,9,1,1
2023-01-03 10:00:00,15.56,1,1.07,10,1,1
2023-01-03 11:00:00,252.82,0,0.0,11,1,1
2023-01-03 12:00:00,214.76,0,0.0,12,1,1
2023-01-03 13:00:00,233.27,0,0.0,13,1,1
2023-01-03 14:00:00,235.74,0,0.0,14,1,1
2023-01-03 15:00:00,234.15,0,0.0,15,1,1
2023-01-03 16:00:00,225.67,0,0.0,16,1,1
2023-01-03 17:00:00,214.84,0,0.0,17,1,1
2023-01-03 18:00:00,184.77,0,0.0,18,1,1
2023-01-03 19:00:00,130.12,0,0.0,19,1,1
2023-01-03 20:00:00,137.87,0,0.0,20,1,1
2023-01-03 21:00:00,111.78,0,0.0,21,1,1
2023-01-03 22:00:00,87.56,0,0.0,22,1,1
2023-01-03 23:00:00,84.7,0,0.0,23,1,1
2023-01-04 00:00:00,86.21,0,0.0,0,2,1
2023-01-04 01:00:00,109.16,0,0.0,1,2,1
2023-01-04 02:00:00,108.84,0,0.0,2,2,1
2023-01-04 03:00:00,125.0,0,0.0,3,2,1
2023-01-04 04:00:00,118.59,0,0.0,4,2,1
2023-01-04 05:00:00,139.44,0,0.0,5,2,1
2023-01-04 06:00:00,159.38,0,0.0,6,2,1
2023-01-04 07:00:00,158.3,0,0.0,7,2,1
2023-01-04 08:00:00,221.85,0,0.0,8,2,1
2023-01-04 09:00:00,215.43,0,0.0,9,2,1
2023-01-04 10:00:00,227.86,0,0.0,10,2,1
2023-01-04 11:00:00,232.57,0,0.0,11,2,1
2023-01-04 12:00:00,222.06,0,0.0,12,2,1
2023-01-04 13:00:00,245.6,0,0.0,13,2,1
