datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,248,,,,RW,chuk_rwanda
2026-04-25 13:00:00,323,,,,RW,chuk_rwanda
2026-04-25 14:00:00,326,,,,RW,chuk_rwanda
2026-04-25 15:00:00,343,,,,RW,chuk_rwanda
2026-04-25 16:00:00,323,,,,RW,chuk_rwanda
2026-04-25 17:00:00,347,,,,RW,chuk_rwanda
2026-04-25 18:00:00,279,,,,RW,chuk_rwanda
2026-04-25 19:00:00,307,,,,RW,chuk_rwanda
2026-04-25 20:00:00,281,,,,RW,chuk_rwanda
2026-04-25 21:00:00,254,,,,RW,chuk_rwanda
2026-04-25 22:00:00,294,,,,RW,chuk_rwanda
2026-04-25 23:00:00,277,,,,RW,chuk_rwanda
2026-04-26 00:00:00,312,,,,RW,chuk_rwanda
2026-04-26 01:00:00,259,,,,RW,chuk_rwanda
2026-04-26 02:00:00,255,,,,RW,chuk_rwanda
2026-04-26 03:00:00,246,,,,RW,chuk_rwanda
2026-04-26 04:00:00,350,,,,RW,chuk_rwanda
2026-04-26 05:00:00,391,,,,RW,chuk_rwanda
2026-04-26 06:00:00,283,,,,RW,chuk_rwanda
2026-04-26 07:00:00,212,,,,RW,chuk_rwanda
2026-04-26 08:00:00,186,,,,RW,chuk_rwanda
2026-04-26 09:00:00,263,,,,RW,chuk_rwanda
2026-04-26 10:00:00,283,,,,RW,chuk_rwanda
2026-04-26 11:00:00,292,,,,RW,chuk_rwanda
2026-04-26 12:00:00,175,,,,RW,chuk_rwanda
2026-04-26 13:00:00,308,,,,RW,chuk_rwanda
2026-04-26 14:00:00,343,,,,RW,chuk_rwanda
2026-04-26 15:00:00,354,,,,RW,chuk_rwanda
2026-04-26 16:00:00,250,,,,RW,chuk_rwanda
2026-04-26 17:00:00,314,,,,RW,chuk_rwanda
2026-04-26 18:00:00,334,,,,RW,chuk_rwanda
2026-04-26 19:00:00,343,,,,RW,chuk_rwanda
2026-04-26 20:00:00,204,,,,RW,chuk_rwanda
2026-04-26 21:00:00,296,,,,RW,chuk_rwanda
2026-04-26 22:00:00,261,,,,RW,chuk_rwanda
2026-04-26 23:00:00,309,,,,RW,chuk_rwanda
2026-04-27 00:00:00,293,,,,RW,chuk_rwanda
2026-04-27 01:00:00,224,,,,RW,chuk_rwanda
2026-04-27 02:00:00,214,,,,RW,chuk_rwanda
2026-04-27 03:00:00,227,,,,RW,chuk_rwanda
2026-04-27 04:00:00,239,,,,RW,chuk_rwanda
2026-04-27 05:00:00,226,,,,RW,chuk_rwanda
2026-04-27 06:00:00,176,,,,RW,chuk_rwanda
2026-04-27 07:00:00,221,,,,RW,chuk_rwanda
2026-04-27 08:00:00,171,,,,RW,chuk_rwanda
2026-04-27 09:00:00,183,,,,RW,chuk_rwanda
2026-04-27 10:00:00,245,,,,RW,chuk_rwanda
2026-04-27 11:00:00,224,,,,RW,chuk_rwanda
2026-04-27 12:00:00,191,,,,RW,chuk_rwanda
2026-04-27 13:00:00,233,,,,RW,chuk_rwanda
2026-04-27 14:00:00,311,,,,RW,chuk_rwanda
2026-04-27 15:00:00,217,,,,RW,chuk_rwanda
2026-04-27 16:00:00,279,,,,RW,chuk_rwanda
2026-04-27 17:00:00,293,,,,RW,chuk_rwanda
2026-04-27 18:00:00,259,,,,RW,chuk_rwanda
2026-04-27 19:00:00,177,,,,RW,chuk_rwanda
2026-04-27 20:00:00,257,,,,RW,chuk_rwanda
2026-04-27 21:00:00,298,,,,RW,chuk_rwanda
2026-04-27 22:00:00,246,,,,RW,chuk_rwanda
2026-04-27 23:00:00,251,,,,RW,chuk_rwanda
2026-04-28 00:00:00,344,,,,RW,chuk_rwanda
2026-04-28 01:00:00,276,,,,RW,chuk_rwanda
2026-04-28 02:00:00,243,,,,RW,chuk_rwanda
2026-04-28 03:00:00,230,,,,RW,chuk_rwanda
2026-04-28 04:00:00,245,,,,RW,chuk_rwanda
2026-04-28 05:00:00,183,,,,RW,chuk_rwanda
2026-04-28 06:00:00,157,,,,RW,chuk_rwanda
2026-04-28 07:00:00,197,,,,RW,chuk_rwanda
2026-04-28 08:00:00,190,,,,RW,chuk_rwanda
2026-04-28 09:00:00,220,,,,RW,chuk_rwanda
2026-04-28 10:00:00,181,,,,RW,chuk_rwanda
2026-04-28 11:00:00,223,,,,RW,chuk_rwanda
2026-04-28 12:00:00,188,,,,RW,chuk_rwanda
2026-04-28 13:00:00,214,,,,RW,chuk_rwanda
2026-04-28 14:00:00,269,,,,RW,chuk_rwanda
2026-04-28 15:00:00,386,,,,RW,chuk_rwanda
2026-04-28 16:00:00,249,,,,RW,chuk_rwanda
2026-04-28 17:00:00,358,,,,RW,chuk_rwanda
2026-04-28 18:00:00,353,,,,RW,chuk_rwanda
2026-04-28 19:00:00,259,,,,RW,chuk_rwanda
2026-04-28 20:00:00,332,,,,RW,chuk_rwanda
2026-04-28 21:00:00,390,,,,RW,chuk_rwanda
2026-04-28 22:00:00,234,,,,RW,chuk_rwanda
2026-04-28 23:00:00,339,,,,RW,chuk_rwanda
2026-04-29 00:00:00,373,,,,RW,chuk_rwanda
2026-04-29 01:00:00,238,,,,RW,chuk_rwanda
2026-04-29 02:00:00,300,,,,RW,chuk_rwanda
2026-04-29 03:00:00,235,,,,RW,chuk_rwanda
2026-04-29 04:00:00,249,,,,RW,chuk_rwanda
2026-04-29 05:00:00,255,,,,RW,chuk_rwanda
2026-04-29 06:00:00,236,,,,RW,chuk_rwanda
2026-04-29 07:00:00,226,,,,RW,chuk_rwanda
2026-04-29 08:00:00,206,,,,RW,chuk_rwanda
