datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,771,,,,BD,dhaka_bangladesh
2026-04-25 13:00:00,748,,,,BD,dhaka_bangladesh
2026-04-25 14:00:00,675,,,,BD,dhaka_bangladesh
2026-04-25 15:00:00,633,,,,BD,dhaka_bangladesh
2026-04-25 16:00:00,686,,,,BD,dhaka_bangladesh
2026-04-25 17:00:00,786,,,,BD,dhaka_bangladesh
2026-04-25 18:00:00,504,,,,BD,dhaka_bangladesh
2026-04-25 19:00:00,675,,,,BD,dhaka_bangladesh
2026-04-25 20:00:00,706,,,,BD,dhaka_bangladesh
2026-04-25 21:00:00,600,,,,BD,dhaka_bangladesh
2026-04-25 22:00:00,764,,,,BD,dhaka_bangladesh
2026-04-25 23:00:00,601,,,,BD,dhaka_bangladesh
2026-04-26 00:00:00,613,,,,BD,dhaka_bangladesh
2026-04-26 01:00:00,531,,,,BD,dhaka_bangladesh
2026-04-26 02:00:00,559,,,,BD,dhaka_bangladesh
2026-04-26 03:00:00,511,,,,BD,dhaka_bangladesh
2026-04-26 04:00:00,592,,,,BD,dhaka_bangladesh
2026-04-26 05:00:00,641,,,,BD,dhaka_bangladesh
2026-04-26 06:00:00,650,,,,BD,dhaka_bangladesh
2026-04-26 07:00:00,547,,,,BD,dhaka_bangladesh
2026-04-26 08:00:00,471,,,,BD,dhaka_bangladesh
2026-04-26 09:00:00,645,,,,BD,dhaka_bangladesh
2026-04-26 10:00:00,730,,,,BD,dhaka_bangladesh
2026-04-26 11:00:00,630,,,,BD,dhaka_bangladesh
2026-04-26 12:00:00,522,,,,BD,dhaka_bangladesh
2026-04-26 13:00:00,758,,,,BD,dhaka_bangladesh
2026-04-26 14:00:00,668,,,,BD,dhaka_bangladesh
2026-04-26 15:00:00,612,,,,BD,dhaka_bangladesh
2026-04-26 16:00:00,564,,,,BD,dhaka_bangladesh
2026-04-26 17:00:00,754,,,,BD,dhaka_bangladesh
2026-04-26 18:00:00,626,,,,BD,dhaka_bangladesh
2026-04-26 19:00:00,776,,,,BD,dhaka_bangladesh
2026-04-26 20:00:00,482,,,,BD,dhaka_bangladesh
2026-04-26 21:00:00,674,,,,BD,dhaka_bangladesh
2026-04-26 22:00:00,686,,,,BD,dhaka_bangladesh
2026-04-26 23:00:00,737,,,,BD,dhaka_bangladesh
2026-04-27 00:00:00,656,,,,BD,dhaka_bangladesh
2026-04-27 01:00:00,522,,,,BD,dhaka_bangladesh
