datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,587,,,,SN,fann_senegal
2026-04-25 13:00:00,568,,,,SN,fann_senegal
2026-04-25 14:00:00,519,,,,SN,fann_senegal
2026-04-25 15:00:00,503,,,,SN,fann_senegal
2026-04-25 16:00:00,559,,,,SN,fann_senegal
2026-04-25 17:00:00,673,,,,SN,fann_senegal
2026-04-25 18:00:00,476,,,,SN,fann_senegal
2026-04-25 19:00:00,641,,,,SN,fann_senegal
2026-04-25 20:00:00,676,,,,SN,fann_senegal
2026-04-25 21:00:00,591,,,,SN,fann_senegal
2026-04-25 22:00:00,750,,,,SN,fann_senegal
2026-04-25 23:00:00,588,,,,SN,fann_senegal
2026-04-26 00:00:00,597,,,,SN,fann_senegal
2026-04-26 01:00:00,514,,,,SN,fann_senegal
2026-04-26 02:00:00,539,,,,SN,fann_senegal
2026-04-26 03:00:00,500,,,,SN,fann_senegal
2026-04-26 04:00:00,580,,,,SN,fann_senegal
2026-04-26 05:00:00,637,,,,SN,fann_senegal
2026-04-26 06:00:00,625,,,,SN,fann_senegal
2026-04-26 07:00:00,504,,,,SN,fann_senegal
2026-04-26 08:00:00,373,,,,SN,fann_senegal
2026-04-26 09:00:00,494,,,,SN,fann_senegal
2026-04-26 10:00:00,543,,,,SN,fann_senegal
2026-04-26 11:00:00,488,,,,SN,fann_senegal
2026-04-26 12:00:00,408,,,,SN,fann_senegal
2026-04-26 13:00:00,594,,,,SN,fann_senegal
2026-04-26 14:00:00,535,,,,SN,fann_senegal
2026-04-26 15:00:00,501,,,,SN,fann_senegal
2026-04-26 16:00:00,461,,,,SN,fann_senegal
2026-04-26 17:00:00,642,,,,SN,fann_senegal
2026-04-26 18:00:00,590,,,,SN,fann_senegal
2026-04-26 19:00:00,736,,,,SN,fann_senegal
2026-04-26 20:00:00,461,,,,SN,fann_senegal
2026-04-26 21:00:00,662,,,,SN,fann_senegal
2026-04-26 22:00:00,672,,,,SN,fann_senegal
2026-04-26 23:00:00,723,,,,SN,fann_senegal
2026-04-27 00:00:00,640,,,,SN,fann_senegal
2026-04-27 01:00:00,507,,,,SN,fann_senegal
2026-04-27 02:00:00,499,,,,SN,fann_senegal
2026-04-27 03:00:00,582,,,,SN,fann_senegal
2026-04-27 04:00:00,532,,,,SN,fann_senegal
2026-04-27 05:00:00,526,,,,SN,fann_senegal
2026-04-27 06:00:00,465,,,,SN,fann_senegal
2026-04-27 07:00:00,628,,,,SN,fann_senegal
2026-04-27 08:00:00,379,,,,SN,fann_senegal
2026-04-27 09:00:00,397,,,,SN,fann_senegal
2026-04-27 10:00:00,539,,,,SN,fann_senegal
2026-04-27 11:00:00,417,,,,SN,fann_senegal
2026-04-27 12:00:00,516,,,,SN,fann_senegal
2026-04-27 13:00:00,555,,,,SN,fann_senegal
2026-04-27 14:00:00,636,,,,SN,fann_senegal
2026-04-27 15:00:00,438,,,,SN,fann_senegal
2026-04-27 16:00:00,551,,,,SN,fann_senegal
2026-04-27 17:00:00,609,,,,SN,fann_senegal
2026-04-27 18:00:00,560,,,,SN,fann_senegal
2026-04-27 19:00:00,449,,,,SN,fann_senegal
2026-04-27 20:00:00,720,,,,SN,fann_senegal
2026-04-27 21:00:00,752,,,,SN,fann_senegal
2026-04-27 22:00:00,674,,,,SN,fann_senegal
2026-04-27 23:00:00,635,,,,SN,fann_senegal
2026-04-28 00:00:00,759,,,,SN,fann_senegal
2026-04-28 01:00:00,631,,,,SN,fann_senegal
2026-04-28 02:00:00,557,,,,SN,fann_senegal
2026-04-28 03:00:00,569,,,,SN,fann_senegal
2026-04-28 04:00:00,562,,,,SN,fann_senegal
2026-04-28 05:00:00,477,,,,SN,fann_senegal
2026-04-28 06:00:00,482,,,,SN,fann_senegal
2026-04-28 07:00:00,598,,,,SN,fann_senegal
2026-04-28 08:00:00,504,,,,SN,fann_senegal
2026-04-28 09:00:00,507,,,,SN,fann_senegal
2026-04-28 10:00:00,484,,,,SN,fann_senegal
2026-04-28 11:00:00,507,,,,SN,fann_senegal
2026-04-28 12:00:00,485,,,,SN,fann_senegal
2026-04-28 13:00:00,474,,,,SN,fann_senegal
2026-04-28 14:00:00,466,,,,SN,fann_senegal
2026-04-28 15:00:00,581,,,,SN,fann_senegal
2026-04-28 16:00:00,447,,,,SN,fann_senegal
2026-04-28 17:00:00,546,,,,SN,fann_senegal
2026-04-28 18:00:00,719,,,,SN,fann_senegal
2026-04-28 19:00:00,635,,,,SN,fann_senegal
2026-04-28 20:00:00,749,,,,SN,fann_senegal
2026-04-28 21:00:00,763,,,,SN,fann_senegal
2026-04-28 22:00:00,518,,,,SN,fann_senegal
2026-04-28 23:00:00,666,,,,SN,fann_senegal
2026-04-29 00:00:00,707,,,,SN,fann_senegal
2026-04-29 01:00:00,468,,,,SN,fann_senegal
2026-04-29 02:00:00,606,,,,SN,fann_senegal
2026-04-29 03:00:00,517,,,,SN,fann_senegal
2026-04-29 04:00:00,523,,,,SN,fann_senegal
2026-04-29 05:00:00,594,,,,SN,fann_senegal
2026-04-29 06:00:00,614,,,,SN,fann_senegal
2026-04-29 07:00:00,615,,,,SN,fann_senegal
2026-04-29 08:00:00,534,,,,SN,fann_senegal
2026-04-29 09:00:00,474,,,,SN,fann_senegal
2026-04-29 10:00:00,593,,,,SN,fann_senegal
2026-04-29 11:00:00,379,,,,SN,fann_senegal
2026-04-29 12:00:00,487,,,,SN,fann_senegal
2026-04-29 13:00:00,409,,,,SN,fann_senegal
2026-04-29 14:00:00,561,,,,SN,fann_senegal
2026-04-29 15:00:00,409,,,,SN,fann_senegal
2026-04-29 16:00:00,569,,,,SN,fann_senegal
2026-04-29 17:00:00,524,,,,SN,fann_senegal
2026-04-29 18:00:00,716,,,,SN,fann_senegal
2026-04-29 19:00:00,554,,,,SN,fann_senegal
2026-04-29 20:00:00,542,,,,SN,fann_senegal
2026-04-29 21:00:00,563,,,,SN,fann_senegal
2026-04-29 22:00:00,615,,,,SN,fann_senegal
2026-04-29 23:00:00,574,,,,SN,fann_senegal
2026-04-30 00:00:00,674,,,,SN,fann_senegal
2026-04-30 01:00:00,599,,,,SN,fann_senegal
2026-04-30 02:00:00,572,,,,SN,fann_senegal
2026-04-30 03:00:00,654,,,,SN,fann_senegal
2026-04-30 04:00:00,454,,,,SN,fann_senegal
2026-04-30 05:00:00,719,,,,SN,fann_senegal
2026-04-30 06:00:00,477,,,,SN,fann_senegal
2026-04-30 07:00:00,663,,,,SN,fann_senegal
2026-04-30 08:00:00,419,,,,SN,fann_senegal
2026-04-30 09:00:00,416,,,,SN,fann_senegal
2026-04-30 10:00:00,445,,,,SN,fann_senegal
2026-04-30 11:00:00,449,,,,SN,fann_senegal
2026-04-30 12:00:00,573,,,,SN,fann_senegal
2026-04-30 13:00:00,505,,,,SN,fann_senegal
2026-04-30 14:00:00,574,,,,SN,fann_senegal
2026-04-30 15:00:00,518,,,,SN,fann_senegal
2026-04-30 16:00:00,647,,,,SN,fann_senegal
2026-04-30 17:00:00,425,,,,SN,fann_senegal
2026-04-30 18:00:00,491,,,,SN,fann_senegal
2026-04-30 19:00:00,712,,,,SN,fann_senegal
2026-04-30 20:00:00,723,,,,SN,fann_senegal
2026-04-30 21:00:00,504,,,,SN,fann_senegal
2026-04-30 22:00:00,619,,,,SN,fann_senegal
2026-04-30 23:00:00,512,,,,SN,fann_senegal
2026-05-01 00:00:00,584,,,,SN,fann_senegal
2026-05-01 01:00:00,658,,,,SN,fann_senegal
2026-05-01 02:00:00,483,,,,SN,fann_senegal
2026-05-01 03:00:00,579,,,,SN,fann_senegal
2026-05-01 04:00:00,467,,,,SN,fann_senegal
2026-05-01 05:00:00,701,,,,SN,fann_senegal
2026-05-01 06:00:00,657,,,,SN,fann_senegal
2026-05-01 07:00:00,432,,,,SN,fann_senegal
2026-05-01 08:00:00,652,,,,SN,fann_senegal
2026-05-01 09:00:00,573,,,,SN,fann_senegal
2026-05-01 10:00:00,494,,,,SN,fann_senegal
2026-05-01 11:00:00,403,,,,SN,fann_senegal
2026-05-01 12:00:00,518,,,,SN,fann_senegal
2026-05-01 13:00:00,391,,,,SN,fann_senegal
2026-05-01 14:00:00,490,,,,SN,fann_senegal
2026-05-01 15:00:00,542,,,,SN,fann_senegal
2026-05-01 16:00:00,403,,,,SN,fann_senegal
2026-05-01 17:00:00,627,,,,SN,fann_senegal
2026-05-01 18:00:00,704,,,,SN,fann_senegal
2026-05-01 19:00:00,548,,,,SN,fann_senegal
2026-05-01 20:00:00,738,,,,SN,fann_senegal
2026-05-01 21:00:00,633,,,,SN,fann_senegal
2026-05-01 22:00:00,643,,,,SN,fann_senegal
2026-05-01 23:00:00,716,,,,SN,fann_senegal
2026-05-02 00:00:00,595,,,,SN,fann_senegal
2026-05-02 01:00:00,772,,,,SN,fann_senegal
2026-05-02 02:00:00,532,,,,SN,fann_senegal
2026-05-02 03:00:00,622,,,,SN,fann_senegal
2026-05-02 04:00:00,640,,,,SN,fann_senegal
2026-05-02 05:00:00,611,,,,SN,fann_senegal
2026-05-02 06:00:00,577,,,,SN,fann_senegal
2026-05-02 07:00:00,690,,,,SN,fann_senegal
2026-05-02 08:00:00,559,,,,SN,fann_senegal
2026-05-02 09:00:00,580,,,,SN,fann_senegal
2026-05-02 10:00:00,471,,,,SN,fann_senegal
2026-05-02 11:00:00,574,,,,SN,fann_senegal
2026-05-02 12:00:00,556,,,,SN,fann_senegal
2026-05-02 13:00:00,468,,,,SN,fann_senegal
2026-05-02 14:00:00,581,,,,SN,fann_senegal
2026-05-02 15:00:00,594,,,,SN,fann_senegal
2026-05-02 16:00:00,608,,,,SN,fann_senegal
2026-05-02 17:00:00,657,,,,SN,fann_senegal
2026-05-02 18:00:00,709,,,,SN,fann_senegal
2026-05-02 19:00:00,557,,,,SN,fann_senegal
2026-05-02 20:00:00,647,,,,SN,fann_senegal
2026-05-02 21:00:00,781,,,,SN,fann_senegal
2026-05-02 22:00:00,478,,,,SN,fann_senegal
2026-05-02 23:00:00,688,,,,SN,fann_senegal
2026-05-03 00:00:00,662,,,,SN,fann_senegal
2026-05-03 01:00:00,766,,,,SN,fann_senegal
2026-05-03 02:00:00,740,,,,SN,fann_senegal
2026-05-03 03:00:00,764,,,,SN,fann_senegal
2026-05-03 04:00:00,570,,,,SN,fann_senegal
2026-05-03 05:00:00,518,,,,SN,fann_senegal
2026-05-03 06:00:00,556,,,,SN,fann_senegal
2026-05-03 07:00:00,519,,,,SN,fann_senegal
2026-05-03 08:00:00,454,,,,SN,fann_senegal
2026-05-03 09:00:00,429,,,,SN,fann_senegal
2026-05-03 10:00:00,551,,,,SN,fann_senegal
2026-05-03 11:00:00,493,,,,SN,fann_senegal
2026-05-03 12:00:00,375,,,,SN,fann_senegal
2026-05-03 13:00:00,480,,,,SN,fann_senegal
2026-05-03 14:00:00,399,,,,SN,fann_senegal
2026-05-03 15:00:00,538,,,,SN,fann_senegal
2026-05-03 16:00:00,556,,,,SN,fann_senegal
2026-05-03 17:00:00,421,,,,SN,fann_senegal
2026-05-03 18:00:00,711,,,,SN,fann_senegal
2026-05-03 19:00:00,547,,,,SN,fann_senegal
2026-05-03 20:00:00,606,,,,SN,fann_senegal
2026-05-03 21:00:00,719,,,,SN,fann_senegal
2026-05-03 22:00:00,579,,,,SN,fann_senegal
2026-05-03 23:00:00,665,,,,SN,fann_senegal
2026-05-04 00:00:00,542,,,,SN,fann_senegal
2026-05-04 01:00:00,519,,,,SN,fann_senegal
2026-05-04 02:00:00,658,,,,SN,fann_senegal
2026-05-04 03:00:00,563,,,,SN,fann_senegal
2026-05-04 04:00:00,644,,,,SN,fann_senegal
2026-05-04 05:00:00,755,,,,SN,fann_senegal
2026-05-04 06:00:00,728,,,,SN,fann_senegal
2026-05-04 07:00:00,714,,,,SN,fann_senegal
2026-05-04 08:00:00,504,,,,SN,fann_senegal
2026-05-04 09:00:00,587,,,,SN,fann_senegal
2026-05-04 10:00:00,392,,,,SN,fann_senegal
2026-05-04 11:00:00,576,,,,SN,fann_senegal
2026-05-04 12:00:00,541,,,,SN,fann_senegal
2026-05-04 13:00:00,480,,,,SN,fann_senegal
2026-05-04 14:00:00,569,,,,SN,fann_senegal
2026-05-04 15:00:00,598,,,,SN,fann_senegal
2026-05-04 16:00:00,489,,,,SN,fann_senegal
2026-05-04 17:00:00,664,,,,SN,fann_senegal
2026-05-04 18:00:00,692,,,,SN,fann_senegal
2026-05-04 19:00:00,695,,,,SN,fann_senegal
