datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,774,,,,ZA,groote_schuur_sa
2026-04-25 13:00:00,765,,,,ZA,groote_schuur_sa
2026-04-25 14:00:00,702,,,,ZA,groote_schuur_sa
2026-04-25 15:00:00,675,,,,ZA,groote_schuur_sa
2026-04-25 16:00:00,746,,,,ZA,groote_schuur_sa
2026-04-25 17:00:00,859,,,,ZA,groote_schuur_sa
2026-04-25 18:00:00,545,,,,ZA,groote_schuur_sa
2026-04-25 19:00:00,719,,,,ZA,groote_schuur_sa
2026-04-25 20:00:00,741,,,,ZA,groote_schuur_sa
2026-04-25 21:00:00,632,,,,ZA,groote_schuur_sa
2026-04-25 22:00:00,801,,,,ZA,groote_schuur_sa
2026-04-25 23:00:00,657,,,,ZA,groote_schuur_sa
2026-04-26 00:00:00,679,,,,ZA,groote_schuur_sa
2026-04-26 01:00:00,588,,,,ZA,groote_schuur_sa
2026-04-26 02:00:00,620,,,,ZA,groote_schuur_sa
2026-04-26 03:00:00,577,,,,ZA,groote_schuur_sa
2026-04-26 04:00:00,687,,,,ZA,groote_schuur_sa
2026-04-26 05:00:00,747,,,,ZA,groote_schuur_sa
2026-04-26 06:00:00,728,,,,ZA,groote_schuur_sa
2026-04-26 07:00:00,607,,,,ZA,groote_schuur_sa
2026-04-26 08:00:00,531,,,,ZA,groote_schuur_sa
2026-04-26 09:00:00,717,,,,ZA,groote_schuur_sa
2026-04-26 10:00:00,787,,,,ZA,groote_schuur_sa
2026-04-26 11:00:00,674,,,,ZA,groote_schuur_sa
2026-04-26 12:00:00,556,,,,ZA,groote_schuur_sa
2026-04-26 13:00:00,812,,,,ZA,groote_schuur_sa
2026-04-26 14:00:00,713,,,,ZA,groote_schuur_sa
2026-04-26 15:00:00,655,,,,ZA,groote_schuur_sa
2026-04-26 16:00:00,576,,,,ZA,groote_schuur_sa
2026-04-26 17:00:00,772,,,,ZA,groote_schuur_sa
2026-04-26 18:00:00,640,,,,ZA,groote_schuur_sa
2026-04-26 19:00:00,790,,,,ZA,groote_schuur_sa
2026-04-26 20:00:00,494,,,,ZA,groote_schuur_sa
2026-04-26 21:00:00,686,,,,ZA,groote_schuur_sa
2026-04-26 22:00:00,694,,,,ZA,groote_schuur_sa
2026-04-26 23:00:00,783,,,,ZA,groote_schuur_sa
2026-04-27 00:00:00,710,,,,ZA,groote_schuur_sa
2026-04-27 01:00:00,567,,,,ZA,groote_schuur_sa
2026-04-27 02:00:00,568,,,,ZA,groote_schuur_sa
2026-04-27 03:00:00,670,,,,ZA,groote_schuur_sa
2026-04-27 04:00:00,632,,,,ZA,groote_schuur_sa
2026-04-27 05:00:00,631,,,,ZA,groote_schuur_sa
2026-04-27 06:00:00,542,,,,ZA,groote_schuur_sa
2026-04-27 07:00:00,747,,,,ZA,groote_schuur_sa
2026-04-27 08:00:00,508,,,,ZA,groote_schuur_sa
2026-04-27 09:00:00,559,,,,ZA,groote_schuur_sa
2026-04-27 10:00:00,754,,,,ZA,groote_schuur_sa
2026-04-27 11:00:00,577,,,,ZA,groote_schuur_sa
2026-04-27 12:00:00,697,,,,ZA,groote_schuur_sa
2026-04-27 13:00:00,755,,,,ZA,groote_schuur_sa
2026-04-27 14:00:00,847,,,,ZA,groote_schuur_sa
2026-04-27 15:00:00,595,,,,ZA,groote_schuur_sa
2026-04-27 16:00:00,752,,,,ZA,groote_schuur_sa
2026-04-27 17:00:00,797,,,,ZA,groote_schuur_sa
2026-04-27 18:00:00,658,,,,ZA,groote_schuur_sa
2026-04-27 19:00:00,520,,,,ZA,groote_schuur_sa
2026-04-27 20:00:00,825,,,,ZA,groote_schuur_sa
2026-04-27 21:00:00,832,,,,ZA,groote_schuur_sa
2026-04-27 22:00:00,746,,,,ZA,groote_schuur_sa
2026-04-27 23:00:00,704,,,,ZA,groote_schuur_sa
2026-04-28 00:00:00,839,,,,ZA,groote_schuur_sa
2026-04-28 01:00:00,706,,,,ZA,groote_schuur_sa
2026-04-28 02:00:00,638,,,,ZA,groote_schuur_sa
2026-04-28 03:00:00,660,,,,ZA,groote_schuur_sa
2026-04-28 04:00:00,663,,,,ZA,groote_schuur_sa
2026-04-28 05:00:00,560,,,,ZA,groote_schuur_sa
2026-04-28 06:00:00,541,,,,ZA,groote_schuur_sa
2026-04-28 07:00:00,702,,,,ZA,groote_schuur_sa
2026-04-28 08:00:00,664,,,,ZA,groote_schuur_sa
2026-04-28 09:00:00,685,,,,ZA,groote_schuur_sa
2026-04-28 10:00:00,663,,,,ZA,groote_schuur_sa
2026-04-28 11:00:00,675,,,,ZA,groote_schuur_sa
2026-04-28 12:00:00,626,,,,ZA,groote_schuur_sa
2026-04-28 13:00:00,621,,,,ZA,groote_schuur_sa
2026-04-28 14:00:00,629,,,,ZA,groote_schuur_sa
2026-04-28 15:00:00,804,,,,ZA,groote_schuur_sa
2026-04-28 16:00:00,613,,,,ZA,groote_schuur_sa
2026-04-28 17:00:00,714,,,,ZA,groote_schuur_sa
2026-04-28 18:00:00,859,,,,ZA,groote_schuur_sa
2026-04-28 19:00:00,732,,,,ZA,groote_schuur_sa
2026-04-28 20:00:00,853,,,,ZA,groote_schuur_sa
2026-04-28 21:00:00,832,,,,ZA,groote_schuur_sa
2026-04-28 22:00:00,567,,,,ZA,groote_schuur_sa
2026-04-28 23:00:00,767,,,,ZA,groote_schuur_sa
2026-04-29 00:00:00,821,,,,ZA,groote_schuur_sa
2026-04-29 01:00:00,547,,,,ZA,groote_schuur_sa
2026-04-29 02:00:00,720,,,,ZA,groote_schuur_sa
2026-04-29 03:00:00,607,,,,ZA,groote_schuur_sa
2026-04-29 04:00:00,632,,,,ZA,groote_schuur_sa
2026-04-29 05:00:00,697,,,,ZA,groote_schuur_sa
2026-04-29 06:00:00,700,,,,ZA,groote_schuur_sa
2026-04-29 07:00:00,728,,,,ZA,groote_schuur_sa
2026-04-29 08:00:00,708,,,,ZA,groote_schuur_sa
2026-04-29 09:00:00,652,,,,ZA,groote_schuur_sa
2026-04-29 10:00:00,824,,,,ZA,groote_schuur_sa
2026-04-29 11:00:00,535,,,,ZA,groote_schuur_sa
2026-04-29 12:00:00,686,,,,ZA,groote_schuur_sa
2026-04-29 13:00:00,593,,,,ZA,groote_schuur_sa
2026-04-29 14:00:00,809,,,,ZA,groote_schuur_sa
2026-04-29 15:00:00,583,,,,ZA,groote_schuur_sa
2026-04-29 16:00:00,793,,,,ZA,groote_schuur_sa
2026-04-29 17:00:00,692,,,,ZA,groote_schuur_sa
2026-04-29 18:00:00,866,,,,ZA,groote_schuur_sa
2026-04-29 19:00:00,657,,,,ZA,groote_schuur_sa
2026-04-29 20:00:00,641,,,,ZA,groote_schuur_sa
2026-04-29 21:00:00,653,,,,ZA,groote_schuur_sa
2026-04-29 22:00:00,716,,,,ZA,groote_schuur_sa
2026-04-29 23:00:00,673,,,,ZA,groote_schuur_sa
2026-04-30 00:00:00,795,,,,ZA,groote_schuur_sa
2026-04-30 01:00:00,709,,,,ZA,groote_schuur_sa
2026-04-30 02:00:00,690,,,,ZA,groote_schuur_sa
2026-04-30 03:00:00,795,,,,ZA,groote_schuur_sa
2026-04-30 04:00:00,556,,,,ZA,groote_schuur_sa
2026-04-30 05:00:00,871,,,,ZA,groote_schuur_sa
2026-04-30 06:00:00,562,,,,ZA,groote_schuur_sa
2026-04-30 07:00:00,816,,,,ZA,groote_schuur_sa
2026-04-30 08:00:00,582,,,,ZA,groote_schuur_sa
2026-04-30 09:00:00,584,,,,ZA,groote_schuur_sa
2026-04-30 10:00:00,641,,,,ZA,groote_schuur_sa
2026-04-30 11:00:00,637,,,,ZA,groote_schuur_sa
2026-04-30 12:00:00,798,,,,ZA,groote_schuur_sa
2026-04-30 13:00:00,713,,,,ZA,groote_schuur_sa
2026-04-30 14:00:00,800,,,,ZA,groote_schuur_sa
2026-04-30 15:00:00,714,,,,ZA,groote_schuur_sa
2026-04-30 16:00:00,894,,,,ZA,groote_schuur_sa
2026-04-30 17:00:00,563,,,,ZA,groote_schuur_sa
2026-04-30 18:00:00,607,,,,ZA,groote_schuur_sa
2026-04-30 19:00:00,867,,,,ZA,groote_schuur_sa
2026-04-30 20:00:00,876,,,,ZA,groote_schuur_sa
2026-04-30 21:00:00,589,,,,ZA,groote_schuur_sa
2026-04-30 22:00:00,720,,,,ZA,groote_schuur_sa
2026-04-30 23:00:00,599,,,,ZA,groote_schuur_sa
2026-05-01 00:00:00,621,,,,ZA,groote_schuur_sa
2026-05-01 01:00:00,702,,,,ZA,groote_schuur_sa
2026-05-01 02:00:00,525,,,,ZA,groote_schuur_sa
2026-05-01 03:00:00,634,,,,ZA,groote_schuur_sa
