datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,340,,,,MA,ibn_sina_morocco
2026-04-25 13:00:00,425,,,,MA,ibn_sina_morocco
2026-04-25 14:00:00,385,,,,MA,ibn_sina_morocco
2026-04-25 15:00:00,423,,,,MA,ibn_sina_morocco
2026-04-25 16:00:00,422,,,,MA,ibn_sina_morocco
2026-04-25 17:00:00,531,,,,MA,ibn_sina_morocco
2026-04-25 18:00:00,581,,,,MA,ibn_sina_morocco
2026-04-25 19:00:00,425,,,,MA,ibn_sina_morocco
2026-04-25 20:00:00,403,,,,MA,ibn_sina_morocco
2026-04-25 21:00:00,497,,,,MA,ibn_sina_morocco
2026-04-25 22:00:00,480,,,,MA,ibn_sina_morocco
2026-04-25 23:00:00,640,,,,MA,ibn_sina_morocco
2026-04-26 00:00:00,579,,,,MA,ibn_sina_morocco
2026-04-26 01:00:00,571,,,,MA,ibn_sina_morocco
2026-04-26 02:00:00,538,,,,MA,ibn_sina_morocco
2026-04-26 03:00:00,444,,,,MA,ibn_sina_morocco
2026-04-26 04:00:00,490,,,,MA,ibn_sina_morocco
2026-04-26 05:00:00,604,,,,MA,ibn_sina_morocco
2026-04-26 06:00:00,496,,,,MA,ibn_sina_morocco
2026-04-26 07:00:00,581,,,,MA,ibn_sina_morocco
2026-04-26 08:00:00,479,,,,MA,ibn_sina_morocco
2026-04-26 09:00:00,543,,,,MA,ibn_sina_morocco
2026-04-26 10:00:00,469,,,,MA,ibn_sina_morocco
2026-04-26 11:00:00,386,,,,MA,ibn_sina_morocco
2026-04-26 12:00:00,354,,,,MA,ibn_sina_morocco
2026-04-26 13:00:00,374,,,,MA,ibn_sina_morocco
2026-04-26 14:00:00,556,,,,MA,ibn_sina_morocco
2026-04-26 15:00:00,543,,,,MA,ibn_sina_morocco
2026-04-26 16:00:00,518,,,,MA,ibn_sina_morocco
2026-04-26 17:00:00,437,,,,MA,ibn_sina_morocco
2026-04-26 18:00:00,443,,,,MA,ibn_sina_morocco
2026-04-26 19:00:00,577,,,,MA,ibn_sina_morocco
2026-04-26 20:00:00,539,,,,MA,ibn_sina_morocco
2026-04-26 21:00:00,554,,,,MA,ibn_sina_morocco
2026-04-26 22:00:00,378,,,,MA,ibn_sina_morocco
2026-04-26 23:00:00,457,,,,MA,ibn_sina_morocco
2026-04-27 00:00:00,628,,,,MA,ibn_sina_morocco
2026-04-27 01:00:00,658,,,,MA,ibn_sina_morocco
2026-04-27 02:00:00,550,,,,MA,ibn_sina_morocco
2026-04-27 03:00:00,661,,,,MA,ibn_sina_morocco
2026-04-27 04:00:00,545,,,,MA,ibn_sina_morocco
2026-04-27 05:00:00,614,,,,MA,ibn_sina_morocco
2026-04-27 06:00:00,448,,,,MA,ibn_sina_morocco
2026-04-27 07:00:00,476,,,,MA,ibn_sina_morocco
2026-04-27 08:00:00,507,,,,MA,ibn_sina_morocco
2026-04-27 09:00:00,408,,,,MA,ibn_sina_morocco
2026-04-27 10:00:00,373,,,,MA,ibn_sina_morocco
2026-04-27 11:00:00,451,,,,MA,ibn_sina_morocco
2026-04-27 12:00:00,370,,,,MA,ibn_sina_morocco
2026-04-27 13:00:00,413,,,,MA,ibn_sina_morocco
2026-04-27 14:00:00,364,,,,MA,ibn_sina_morocco
2026-04-27 15:00:00,457,,,,MA,ibn_sina_morocco
2026-04-27 16:00:00,464,,,,MA,ibn_sina_morocco
2026-04-27 17:00:00,485,,,,MA,ibn_sina_morocco
2026-04-27 18:00:00,494,,,,MA,ibn_sina_morocco
2026-04-27 19:00:00,494,,,,MA,ibn_sina_morocco
2026-04-27 20:00:00,391,,,,MA,ibn_sina_morocco
2026-04-27 21:00:00,497,,,,MA,ibn_sina_morocco
2026-04-27 22:00:00,465,,,,MA,ibn_sina_morocco
2026-04-27 23:00:00,505,,,,MA,ibn_sina_morocco
2026-04-28 00:00:00,555,,,,MA,ibn_sina_morocco
2026-04-28 01:00:00,572,,,,MA,ibn_sina_morocco
2026-04-28 02:00:00,631,,,,MA,ibn_sina_morocco
2026-04-28 03:00:00,643,,,,MA,ibn_sina_morocco
2026-04-28 04:00:00,445,,,,MA,ibn_sina_morocco
2026-04-28 05:00:00,655,,,,MA,ibn_sina_morocco
2026-04-28 06:00:00,442,,,,MA,ibn_sina_morocco
2026-04-28 07:00:00,364,,,,MA,ibn_sina_morocco
2026-04-28 08:00:00,395,,,,MA,ibn_sina_morocco
2026-04-28 09:00:00,443,,,,MA,ibn_sina_morocco
2026-04-28 10:00:00,391,,,,MA,ibn_sina_morocco
2026-04-28 11:00:00,401,,,,MA,ibn_sina_morocco
2026-04-28 12:00:00,410,,,,MA,ibn_sina_morocco
2026-04-28 13:00:00,521,,,,MA,ibn_sina_morocco
2026-04-28 14:00:00,523,,,,MA,ibn_sina_morocco
2026-04-28 15:00:00,394,,,,MA,ibn_sina_morocco
2026-04-28 16:00:00,484,,,,MA,ibn_sina_morocco
2026-04-28 17:00:00,420,,,,MA,ibn_sina_morocco
2026-04-28 18:00:00,446,,,,MA,ibn_sina_morocco
2026-04-28 19:00:00,402,,,,MA,ibn_sina_morocco
2026-04-28 20:00:00,448,,,,MA,ibn_sina_morocco
2026-04-28 21:00:00,508,,,,MA,ibn_sina_morocco
2026-04-28 22:00:00,456,,,,MA,ibn_sina_morocco
2026-04-28 23:00:00,449,,,,MA,ibn_sina_morocco
2026-04-29 00:00:00,452,,,,MA,ibn_sina_morocco
2026-04-29 01:00:00,538,,,,MA,ibn_sina_morocco
2026-04-29 02:00:00,516,,,,MA,ibn_sina_morocco
2026-04-29 03:00:00,505,,,,MA,ibn_sina_morocco
2026-04-29 04:00:00,465,,,,MA,ibn_sina_morocco
2026-04-29 05:00:00,416,,,,MA,ibn_sina_morocco
2026-04-29 06:00:00,447,,,,MA,ibn_sina_morocco
2026-04-29 07:00:00,447,,,,MA,ibn_sina_morocco
2026-04-29 08:00:00,516,,,,MA,ibn_sina_morocco
2026-04-29 09:00:00,466,,,,MA,ibn_sina_morocco
2026-04-29 10:00:00,543,,,,MA,ibn_sina_morocco
