datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,65,,,,GB,john_radcliffe_nhs
2026-04-25 13:00:00,81,,,,GB,john_radcliffe_nhs
2026-04-25 14:00:00,76,,,,GB,john_radcliffe_nhs
2026-04-25 15:00:00,96,,,,GB,john_radcliffe_nhs
2026-04-25 16:00:00,130,,,,GB,john_radcliffe_nhs
2026-04-25 17:00:00,196,,,,GB,john_radcliffe_nhs
2026-04-25 18:00:00,236,,,,GB,john_radcliffe_nhs
2026-04-25 19:00:00,195,,,,GB,john_radcliffe_nhs
2026-04-25 20:00:00,188,,,,GB,john_radcliffe_nhs
2026-04-25 21:00:00,225,,,,GB,john_radcliffe_nhs
2026-04-25 22:00:00,179,,,,GB,john_radcliffe_nhs
2026-04-25 23:00:00,192,,,,GB,john_radcliffe_nhs
2026-04-26 00:00:00,156,,,,GB,john_radcliffe_nhs
2026-04-26 01:00:00,143,,,,GB,john_radcliffe_nhs
2026-04-26 02:00:00,130,,,,GB,john_radcliffe_nhs
2026-04-26 03:00:00,97,,,,GB,john_radcliffe_nhs
2026-04-26 04:00:00,104,,,,GB,john_radcliffe_nhs
2026-04-26 05:00:00,133,,,,GB,john_radcliffe_nhs
2026-04-26 06:00:00,109,,,,GB,john_radcliffe_nhs
2026-04-26 07:00:00,135,,,,GB,john_radcliffe_nhs
2026-04-26 08:00:00,104,,,,GB,john_radcliffe_nhs
2026-04-26 09:00:00,100,,,,GB,john_radcliffe_nhs
2026-04-26 10:00:00,95,,,,GB,john_radcliffe_nhs
2026-04-26 11:00:00,87,,,,GB,john_radcliffe_nhs
2026-04-26 12:00:00,76,,,,GB,john_radcliffe_nhs
2026-04-26 13:00:00,78,,,,GB,john_radcliffe_nhs
2026-04-26 14:00:00,129,,,,GB,john_radcliffe_nhs
2026-04-26 15:00:00,165,,,,GB,john_radcliffe_nhs
2026-04-26 16:00:00,202,,,,GB,john_radcliffe_nhs
2026-04-26 17:00:00,195,,,,GB,john_radcliffe_nhs
2026-04-26 18:00:00,197,,,,GB,john_radcliffe_nhs
2026-04-26 19:00:00,261,,,,GB,john_radcliffe_nhs
2026-04-26 20:00:00,245,,,,GB,john_radcliffe_nhs
2026-04-26 21:00:00,247,,,,GB,john_radcliffe_nhs
2026-04-26 22:00:00,164,,,,GB,john_radcliffe_nhs
2026-04-26 23:00:00,191,,,,GB,john_radcliffe_nhs
2026-04-27 00:00:00,256,,,,GB,john_radcliffe_nhs
2026-04-27 01:00:00,270,,,,GB,john_radcliffe_nhs
2026-04-27 02:00:00,224,,,,GB,john_radcliffe_nhs
2026-04-27 03:00:00,270,,,,GB,john_radcliffe_nhs
2026-04-27 04:00:00,227,,,,GB,john_radcliffe_nhs
2026-04-27 05:00:00,253,,,,GB,john_radcliffe_nhs
2026-04-27 06:00:00,192,,,,GB,john_radcliffe_nhs
2026-04-27 07:00:00,212,,,,GB,john_radcliffe_nhs
2026-04-27 08:00:00,196,,,,GB,john_radcliffe_nhs
2026-04-27 09:00:00,131,,,,GB,john_radcliffe_nhs
2026-04-27 10:00:00,112,,,,GB,john_radcliffe_nhs
2026-04-27 11:00:00,132,,,,GB,john_radcliffe_nhs
2026-04-27 12:00:00,114,,,,GB,john_radcliffe_nhs
2026-04-27 13:00:00,127,,,,GB,john_radcliffe_nhs
2026-04-27 14:00:00,122,,,,GB,john_radcliffe_nhs
2026-04-27 15:00:00,187,,,,GB,john_radcliffe_nhs
2026-04-27 16:00:00,239,,,,GB,john_radcliffe_nhs
2026-04-27 17:00:00,238,,,,GB,john_radcliffe_nhs
2026-04-27 18:00:00,224,,,,GB,john_radcliffe_nhs
2026-04-27 19:00:00,248,,,,GB,john_radcliffe_nhs
2026-04-27 20:00:00,201,,,,GB,john_radcliffe_nhs
2026-04-27 21:00:00,232,,,,GB,john_radcliffe_nhs
2026-04-27 22:00:00,171,,,,GB,john_radcliffe_nhs
2026-04-27 23:00:00,151,,,,GB,john_radcliffe_nhs
2026-04-28 00:00:00,159,,,,GB,john_radcliffe_nhs
2026-04-28 01:00:00,160,,,,GB,john_radcliffe_nhs
2026-04-28 02:00:00,162,,,,GB,john_radcliffe_nhs
2026-04-28 03:00:00,146,,,,GB,john_radcliffe_nhs
2026-04-28 04:00:00,98,,,,GB,john_radcliffe_nhs
2026-04-28 05:00:00,147,,,,GB,john_radcliffe_nhs
2026-04-28 06:00:00,112,,,,GB,john_radcliffe_nhs
2026-04-28 07:00:00,107,,,,GB,john_radcliffe_nhs
2026-04-28 08:00:00,121,,,,GB,john_radcliffe_nhs
2026-04-28 09:00:00,136,,,,GB,john_radcliffe_nhs
2026-04-28 10:00:00,114,,,,GB,john_radcliffe_nhs
2026-04-28 11:00:00,101,,,,GB,john_radcliffe_nhs
2026-04-28 12:00:00,92,,,,GB,john_radcliffe_nhs
2026-04-28 13:00:00,100,,,,GB,john_radcliffe_nhs
2026-04-28 14:00:00,98,,,,GB,john_radcliffe_nhs
2026-04-28 15:00:00,75,,,,GB,john_radcliffe_nhs
2026-04-28 16:00:00,100,,,,GB,john_radcliffe_nhs
2026-04-28 17:00:00,100,,,,GB,john_radcliffe_nhs
2026-04-28 18:00:00,118,,,,GB,john_radcliffe_nhs
2026-04-28 19:00:00,101,,,,GB,john_radcliffe_nhs
2026-04-28 20:00:00,104,,,,GB,john_radcliffe_nhs
2026-04-28 21:00:00,111,,,,GB,john_radcliffe_nhs
2026-04-28 22:00:00,87,,,,GB,john_radcliffe_nhs
2026-04-28 23:00:00,85,,,,GB,john_radcliffe_nhs
2026-04-29 00:00:00,87,,,,GB,john_radcliffe_nhs
2026-04-29 01:00:00,100,,,,GB,john_radcliffe_nhs
2026-04-29 02:00:00,90,,,,GB,john_radcliffe_nhs
2026-04-29 03:00:00,90,,,,GB,john_radcliffe_nhs
2026-04-29 04:00:00,86,,,,GB,john_radcliffe_nhs
2026-04-29 05:00:00,80,,,,GB,john_radcliffe_nhs
2026-04-29 06:00:00,88,,,,GB,john_radcliffe_nhs
2026-04-29 07:00:00,82,,,,GB,john_radcliffe_nhs
2026-04-29 08:00:00,78,,,,GB,john_radcliffe_nhs
2026-04-29 09:00:00,65,,,,GB,john_radcliffe_nhs
2026-04-29 10:00:00,76,,,,GB,john_radcliffe_nhs
2026-04-29 11:00:00,55,,,,GB,john_radcliffe_nhs
2026-04-29 12:00:00,56,,,,GB,john_radcliffe_nhs
2026-04-29 13:00:00,44,,,,GB,john_radcliffe_nhs
2026-04-29 14:00:00,44,,,,GB,john_radcliffe_nhs
2026-04-29 15:00:00,64,,,,GB,john_radcliffe_nhs
2026-04-29 16:00:00,51,,,,GB,john_radcliffe_nhs
2026-04-29 17:00:00,96,,,,GB,john_radcliffe_nhs
2026-04-29 18:00:00,84,,,,GB,john_radcliffe_nhs
2026-04-29 19:00:00,98,,,,GB,john_radcliffe_nhs
2026-04-29 20:00:00,55,,,,GB,john_radcliffe_nhs
2026-04-29 21:00:00,49,,,,GB,john_radcliffe_nhs
2026-04-29 22:00:00,70,,,,GB,john_radcliffe_nhs
2026-04-29 23:00:00,63,,,,GB,john_radcliffe_nhs
2026-04-30 00:00:00,53,,,,GB,john_radcliffe_nhs
2026-04-30 01:00:00,67,,,,GB,john_radcliffe_nhs
2026-04-30 02:00:00,66,,,,GB,john_radcliffe_nhs
2026-04-30 03:00:00,51,,,,GB,john_radcliffe_nhs
2026-04-30 04:00:00,49,,,,GB,john_radcliffe_nhs
2026-04-30 05:00:00,80,,,,GB,john_radcliffe_nhs
2026-04-30 06:00:00,58,,,,GB,john_radcliffe_nhs
2026-04-30 07:00:00,57,,,,GB,john_radcliffe_nhs
2026-04-30 08:00:00,60,,,,GB,john_radcliffe_nhs
2026-04-30 09:00:00,64,,,,GB,john_radcliffe_nhs
2026-04-30 10:00:00,61,,,,GB,john_radcliffe_nhs
2026-04-30 11:00:00,50,,,,GB,john_radcliffe_nhs
2026-04-30 12:00:00,50,,,,GB,john_radcliffe_nhs
2026-04-30 13:00:00,43,,,,GB,john_radcliffe_nhs
2026-04-30 14:00:00,45,,,,GB,john_radcliffe_nhs
2026-04-30 15:00:00,73,,,,GB,john_radcliffe_nhs
2026-04-30 16:00:00,79,,,,GB,john_radcliffe_nhs
2026-04-30 17:00:00,103,,,,GB,john_radcliffe_nhs
2026-04-30 18:00:00,150,,,,GB,john_radcliffe_nhs
2026-04-30 19:00:00,126,,,,GB,john_radcliffe_nhs
2026-04-30 20:00:00,84,,,,GB,john_radcliffe_nhs
2026-04-30 21:00:00,81,,,,GB,john_radcliffe_nhs
2026-04-30 22:00:00,61,,,,GB,john_radcliffe_nhs
2026-04-30 23:00:00,60,,,,GB,john_radcliffe_nhs
2026-05-01 00:00:00,83,,,,GB,john_radcliffe_nhs
2026-05-01 01:00:00,61,,,,GB,john_radcliffe_nhs
2026-05-01 02:00:00,86,,,,GB,john_radcliffe_nhs
2026-05-01 03:00:00,71,,,,GB,john_radcliffe_nhs
2026-05-01 04:00:00,100,,,,GB,john_radcliffe_nhs
2026-05-01 05:00:00,99,,,,GB,john_radcliffe_nhs
2026-05-01 06:00:00,145,,,,GB,john_radcliffe_nhs
2026-05-01 07:00:00,134,,,,GB,john_radcliffe_nhs
2026-05-01 08:00:00,101,,,,GB,john_radcliffe_nhs
2026-05-01 09:00:00,111,,,,GB,john_radcliffe_nhs
2026-05-01 10:00:00,125,,,,GB,john_radcliffe_nhs
2026-05-01 11:00:00,100,,,,GB,john_radcliffe_nhs
2026-05-01 12:00:00,118,,,,GB,john_radcliffe_nhs
2026-05-01 13:00:00,121,,,,GB,john_radcliffe_nhs
2026-05-01 14:00:00,95,,,,GB,john_radcliffe_nhs
2026-05-01 15:00:00,110,,,,GB,john_radcliffe_nhs
2026-05-01 16:00:00,153,,,,GB,john_radcliffe_nhs
2026-05-01 17:00:00,163,,,,GB,john_radcliffe_nhs
2026-05-01 18:00:00,202,,,,GB,john_radcliffe_nhs
2026-05-01 19:00:00,210,,,,GB,john_radcliffe_nhs
2026-05-01 20:00:00,227,,,,GB,john_radcliffe_nhs
2026-05-01 21:00:00,143,,,,GB,john_radcliffe_nhs
2026-05-01 22:00:00,153,,,,GB,john_radcliffe_nhs
2026-05-01 23:00:00,118,,,,GB,john_radcliffe_nhs
2026-05-02 00:00:00,153,,,,GB,john_radcliffe_nhs
2026-05-02 01:00:00,147,,,,GB,john_radcliffe_nhs
2026-05-02 02:00:00,110,,,,GB,john_radcliffe_nhs
2026-05-02 03:00:00,113,,,,GB,john_radcliffe_nhs
2026-05-02 04:00:00,142,,,,GB,john_radcliffe_nhs
2026-05-02 05:00:00,130,,,,GB,john_radcliffe_nhs
2026-05-02 06:00:00,165,,,,GB,john_radcliffe_nhs
2026-05-02 07:00:00,159,,,,GB,john_radcliffe_nhs
2026-05-02 08:00:00,119,,,,GB,john_radcliffe_nhs
2026-05-02 09:00:00,115,,,,GB,john_radcliffe_nhs
2026-05-02 10:00:00,103,,,,GB,john_radcliffe_nhs
2026-05-02 11:00:00,110,,,,GB,john_radcliffe_nhs
2026-05-02 12:00:00,83,,,,GB,john_radcliffe_nhs
2026-05-02 13:00:00,121,,,,GB,john_radcliffe_nhs
2026-05-02 14:00:00,138,,,,GB,john_radcliffe_nhs
2026-05-02 15:00:00,208,,,,GB,john_radcliffe_nhs
2026-05-02 16:00:00,229,,,,GB,john_radcliffe_nhs
2026-05-02 17:00:00,236,,,,GB,john_radcliffe_nhs
2026-05-02 18:00:00,268,,,,GB,john_radcliffe_nhs
2026-05-02 19:00:00,281,,,,GB,john_radcliffe_nhs
2026-05-02 20:00:00,288,,,,GB,john_radcliffe_nhs
2026-05-02 21:00:00,178,,,,GB,john_radcliffe_nhs
2026-05-02 22:00:00,233,,,,GB,john_radcliffe_nhs
2026-05-02 23:00:00,200,,,,GB,john_radcliffe_nhs
2026-05-03 00:00:00,153,,,,GB,john_radcliffe_nhs
2026-05-03 01:00:00,156,,,,GB,john_radcliffe_nhs
2026-05-03 02:00:00,136,,,,GB,john_radcliffe_nhs
2026-05-03 03:00:00,172,,,,GB,john_radcliffe_nhs
2026-05-03 04:00:00,144,,,,GB,john_radcliffe_nhs
2026-05-03 05:00:00,183,,,,GB,john_radcliffe_nhs
2026-05-03 06:00:00,155,,,,GB,john_radcliffe_nhs
2026-05-03 07:00:00,139,,,,GB,john_radcliffe_nhs
2026-05-03 08:00:00,147,,,,GB,john_radcliffe_nhs
2026-05-03 09:00:00,117,,,,GB,john_radcliffe_nhs
2026-05-03 10:00:00,132,,,,GB,john_radcliffe_nhs
2026-05-03 11:00:00,162,,,,GB,john_radcliffe_nhs
2026-05-03 12:00:00,153,,,,GB,john_radcliffe_nhs
2026-05-03 13:00:00,165,,,,GB,john_radcliffe_nhs
