datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,484,,,,EG,kasr_alainy_egypt
2026-04-25 13:00:00,478,,,,EG,kasr_alainy_egypt
2026-04-25 14:00:00,439,,,,EG,kasr_alainy_egypt
2026-04-25 15:00:00,437,,,,EG,kasr_alainy_egypt
2026-04-25 16:00:00,467,,,,EG,kasr_alainy_egypt
2026-04-25 17:00:00,546,,,,EG,kasr_alainy_egypt
2026-04-25 18:00:00,352,,,,EG,kasr_alainy_egypt
2026-04-25 19:00:00,478,,,,EG,kasr_alainy_egypt
2026-04-25 20:00:00,504,,,,EG,kasr_alainy_egypt
2026-04-25 21:00:00,429,,,,EG,kasr_alainy_egypt
2026-04-25 22:00:00,546,,,,EG,kasr_alainy_egypt
2026-04-25 23:00:00,432,,,,EG,kasr_alainy_egypt
2026-04-26 00:00:00,437,,,,EG,kasr_alainy_egypt
2026-04-26 01:00:00,378,,,,EG,kasr_alainy_egypt
2026-04-26 02:00:00,396,,,,EG,kasr_alainy_egypt
2026-04-26 03:00:00,368,,,,EG,kasr_alainy_egypt
2026-04-26 04:00:00,417,,,,EG,kasr_alainy_egypt
2026-04-26 05:00:00,434,,,,EG,kasr_alainy_egypt
2026-04-26 06:00:00,436,,,,EG,kasr_alainy_egypt
2026-04-26 07:00:00,353,,,,EG,kasr_alainy_egypt
2026-04-26 08:00:00,305,,,,EG,kasr_alainy_egypt
2026-04-26 09:00:00,406,,,,EG,kasr_alainy_egypt
2026-04-26 10:00:00,456,,,,EG,kasr_alainy_egypt
2026-04-26 11:00:00,392,,,,EG,kasr_alainy_egypt
2026-04-26 12:00:00,303,,,,EG,kasr_alainy_egypt
2026-04-26 13:00:00,451,,,,EG,kasr_alainy_egypt
2026-04-26 14:00:00,412,,,,EG,kasr_alainy_egypt
2026-04-26 15:00:00,408,,,,EG,kasr_alainy_egypt
2026-04-26 16:00:00,377,,,,EG,kasr_alainy_egypt
2026-04-26 17:00:00,515,,,,EG,kasr_alainy_egypt
2026-04-26 18:00:00,430,,,,EG,kasr_alainy_egypt
2026-04-26 19:00:00,542,,,,EG,kasr_alainy_egypt
2026-04-26 20:00:00,337,,,,EG,kasr_alainy_egypt
2026-04-26 21:00:00,477,,,,EG,kasr_alainy_egypt
2026-04-26 22:00:00,486,,,,EG,kasr_alainy_egypt
2026-04-26 23:00:00,526,,,,EG,kasr_alainy_egypt
2026-04-27 00:00:00,465,,,,EG,kasr_alainy_egypt
2026-04-27 01:00:00,369,,,,EG,kasr_alainy_egypt
2026-04-27 02:00:00,366,,,,EG,kasr_alainy_egypt
2026-04-27 03:00:00,424,,,,EG,kasr_alainy_egypt
2026-04-27 04:00:00,384,,,,EG,kasr_alainy_egypt
2026-04-27 05:00:00,371,,,,EG,kasr_alainy_egypt
2026-04-27 06:00:00,332,,,,EG,kasr_alainy_egypt
2026-04-27 07:00:00,454,,,,EG,kasr_alainy_egypt
2026-04-27 08:00:00,304,,,,EG,kasr_alainy_egypt
2026-04-27 09:00:00,328,,,,EG,kasr_alainy_egypt
2026-04-27 10:00:00,446,,,,EG,kasr_alainy_egypt
2026-04-27 11:00:00,343,,,,EG,kasr_alainy_egypt
2026-04-27 12:00:00,406,,,,EG,kasr_alainy_egypt
2026-04-27 13:00:00,446,,,,EG,kasr_alainy_egypt
2026-04-27 14:00:00,511,,,,EG,kasr_alainy_egypt
2026-04-27 15:00:00,371,,,,EG,kasr_alainy_egypt
2026-04-27 16:00:00,461,,,,EG,kasr_alainy_egypt
2026-04-27 17:00:00,495,,,,EG,kasr_alainy_egypt
2026-04-27 18:00:00,408,,,,EG,kasr_alainy_egypt
2026-04-27 19:00:00,331,,,,EG,kasr_alainy_egypt
2026-04-27 20:00:00,528,,,,EG,kasr_alainy_egypt
2026-04-27 21:00:00,540,,,,EG,kasr_alainy_egypt
2026-04-27 22:00:00,485,,,,EG,kasr_alainy_egypt
2026-04-27 23:00:00,459,,,,EG,kasr_alainy_egypt
2026-04-28 00:00:00,545,,,,EG,kasr_alainy_egypt
2026-04-28 01:00:00,456,,,,EG,kasr_alainy_egypt
2026-04-28 02:00:00,400,,,,EG,kasr_alainy_egypt
2026-04-28 03:00:00,408,,,,EG,kasr_alainy_egypt
2026-04-28 04:00:00,397,,,,EG,kasr_alainy_egypt
2026-04-28 05:00:00,328,,,,EG,kasr_alainy_egypt
2026-04-28 06:00:00,333,,,,EG,kasr_alainy_egypt
2026-04-28 07:00:00,440,,,,EG,kasr_alainy_egypt
2026-04-28 08:00:00,408,,,,EG,kasr_alainy_egypt
2026-04-28 09:00:00,412,,,,EG,kasr_alainy_egypt
2026-04-28 10:00:00,398,,,,EG,kasr_alainy_egypt
2026-04-28 11:00:00,417,,,,EG,kasr_alainy_egypt
2026-04-28 12:00:00,384,,,,EG,kasr_alainy_egypt
2026-04-28 13:00:00,383,,,,EG,kasr_alainy_egypt
2026-04-28 14:00:00,387,,,,EG,kasr_alainy_egypt
2026-04-28 15:00:00,499,,,,EG,kasr_alainy_egypt
2026-04-28 16:00:00,378,,,,EG,kasr_alainy_egypt
2026-04-28 17:00:00,444,,,,EG,kasr_alainy_egypt
2026-04-28 18:00:00,535,,,,EG,kasr_alainy_egypt
2026-04-28 19:00:00,467,,,,EG,kasr_alainy_egypt
2026-04-28 20:00:00,545,,,,EG,kasr_alainy_egypt
2026-04-28 21:00:00,541,,,,EG,kasr_alainy_egypt
2026-04-28 22:00:00,371,,,,EG,kasr_alainy_egypt
2026-04-28 23:00:00,480,,,,EG,kasr_alainy_egypt
2026-04-29 00:00:00,514,,,,EG,kasr_alainy_egypt
2026-04-29 01:00:00,341,,,,EG,kasr_alainy_egypt
2026-04-29 02:00:00,441,,,,EG,kasr_alainy_egypt
2026-04-29 03:00:00,381,,,,EG,kasr_alainy_egypt
2026-04-29 04:00:00,383,,,,EG,kasr_alainy_egypt
2026-04-29 05:00:00,422,,,,EG,kasr_alainy_egypt
2026-04-29 06:00:00,445,,,,EG,kasr_alainy_egypt
2026-04-29 07:00:00,459,,,,EG,kasr_alainy_egypt
2026-04-29 08:00:00,446,,,,EG,kasr_alainy_egypt
2026-04-29 09:00:00,397,,,,EG,kasr_alainy_egypt
2026-04-29 10:00:00,493,,,,EG,kasr_alainy_egypt
2026-04-29 11:00:00,316,,,,EG,kasr_alainy_egypt
2026-04-29 12:00:00,389,,,,EG,kasr_alainy_egypt
2026-04-29 13:00:00,332,,,,EG,kasr_alainy_egypt
2026-04-29 14:00:00,459,,,,EG,kasr_alainy_egypt
2026-04-29 15:00:00,348,,,,EG,kasr_alainy_egypt
2026-04-29 16:00:00,478,,,,EG,kasr_alainy_egypt
2026-04-29 17:00:00,420,,,,EG,kasr_alainy_egypt
2026-04-29 18:00:00,526,,,,EG,kasr_alainy_egypt
2026-04-29 19:00:00,407,,,,EG,kasr_alainy_egypt
2026-04-29 20:00:00,401,,,,EG,kasr_alainy_egypt
2026-04-29 21:00:00,409,,,,EG,kasr_alainy_egypt
2026-04-29 22:00:00,448,,,,EG,kasr_alainy_egypt
2026-04-29 23:00:00,421,,,,EG,kasr_alainy_egypt
2026-04-30 00:00:00,492,,,,EG,kasr_alainy_egypt
2026-04-30 01:00:00,439,,,,EG,kasr_alainy_egypt
2026-04-30 02:00:00,421,,,,EG,kasr_alainy_egypt
2026-04-30 03:00:00,485,,,,EG,kasr_alainy_egypt
2026-04-30 04:00:00,330,,,,EG,kasr_alainy_egypt
2026-04-30 05:00:00,516,,,,EG,kasr_alainy_egypt
2026-04-30 06:00:00,351,,,,EG,kasr_alainy_egypt
2026-04-30 07:00:00,504,,,,EG,kasr_alainy_egypt
2026-04-30 08:00:00,360,,,,EG,kasr_alainy_egypt
2026-04-30 09:00:00,356,,,,EG,kasr_alainy_egypt
2026-04-30 10:00:00,387,,,,EG,kasr_alainy_egypt
2026-04-30 11:00:00,389,,,,EG,kasr_alainy_egypt
2026-04-30 12:00:00,478,,,,EG,kasr_alainy_egypt
2026-04-30 13:00:00,430,,,,EG,kasr_alainy_egypt
2026-04-30 14:00:00,485,,,,EG,kasr_alainy_egypt
2026-04-30 15:00:00,446,,,,EG,kasr_alainy_egypt
2026-04-30 16:00:00,541,,,,EG,kasr_alainy_egypt
2026-04-30 17:00:00,343,,,,EG,kasr_alainy_egypt
2026-04-30 18:00:00,366,,,,EG,kasr_alainy_egypt
2026-04-30 19:00:00,531,,,,EG,kasr_alainy_egypt
2026-04-30 20:00:00,538,,,,EG,kasr_alainy_egypt
2026-04-30 21:00:00,368,,,,EG,kasr_alainy_egypt
2026-04-30 22:00:00,454,,,,EG,kasr_alainy_egypt
2026-04-30 23:00:00,377,,,,EG,kasr_alainy_egypt
2026-05-01 00:00:00,406,,,,EG,kasr_alainy_egypt
2026-05-01 01:00:00,458,,,,EG,kasr_alainy_egypt
2026-05-01 02:00:00,337,,,,EG,kasr_alainy_egypt
2026-05-01 03:00:00,402,,,,EG,kasr_alainy_egypt
2026-05-01 04:00:00,315,,,,EG,kasr_alainy_egypt
2026-05-01 05:00:00,460,,,,EG,kasr_alainy_egypt
2026-05-01 06:00:00,439,,,,EG,kasr_alainy_egypt
2026-05-01 07:00:00,301,,,,EG,kasr_alainy_egypt
2026-05-01 08:00:00,488,,,,EG,kasr_alainy_egypt
2026-05-01 09:00:00,453,,,,EG,kasr_alainy_egypt
2026-05-01 10:00:00,394,,,,EG,kasr_alainy_egypt
2026-05-01 11:00:00,330,,,,EG,kasr_alainy_egypt
2026-05-01 12:00:00,426,,,,EG,kasr_alainy_egypt
2026-05-01 13:00:00,328,,,,EG,kasr_alainy_egypt
2026-05-01 14:00:00,415,,,,EG,kasr_alainy_egypt
2026-05-01 15:00:00,468,,,,EG,kasr_alainy_egypt
2026-05-01 16:00:00,341,,,,EG,kasr_alainy_egypt
2026-05-01 17:00:00,500,,,,EG,kasr_alainy_egypt
2026-05-01 18:00:00,509,,,,EG,kasr_alainy_egypt
2026-05-01 19:00:00,394,,,,EG,kasr_alainy_egypt
2026-05-01 20:00:00,524,,,,EG,kasr_alainy_egypt
2026-05-01 21:00:00,447,,,,EG,kasr_alainy_egypt
2026-05-01 22:00:00,453,,,,EG,kasr_alainy_egypt
2026-05-01 23:00:00,504,,,,EG,kasr_alainy_egypt
2026-05-02 00:00:00,417,,,,EG,kasr_alainy_egypt
2026-05-02 01:00:00,540,,,,EG,kasr_alainy_egypt
2026-05-02 02:00:00,374,,,,EG,kasr_alainy_egypt
2026-05-02 03:00:00,437,,,,EG,kasr_alainy_egypt
2026-05-02 04:00:00,438,,,,EG,kasr_alainy_egypt
2026-05-02 05:00:00,408,,,,EG,kasr_alainy_egypt
2026-05-02 06:00:00,376,,,,EG,kasr_alainy_egypt
2026-05-02 07:00:00,467,,,,EG,kasr_alainy_egypt
2026-05-02 08:00:00,413,,,,EG,kasr_alainy_egypt
2026-05-02 09:00:00,462,,,,EG,kasr_alainy_egypt
2026-05-02 10:00:00,379,,,,EG,kasr_alainy_egypt
2026-05-02 11:00:00,449,,,,EG,kasr_alainy_egypt
2026-05-02 12:00:00,435,,,,EG,kasr_alainy_egypt
2026-05-02 13:00:00,376,,,,EG,kasr_alainy_egypt
2026-05-02 14:00:00,484,,,,EG,kasr_alainy_egypt
2026-05-02 15:00:00,500,,,,EG,kasr_alainy_egypt
2026-05-02 16:00:00,499,,,,EG,kasr_alainy_egypt
2026-05-02 17:00:00,508,,,,EG,kasr_alainy_egypt
2026-05-02 18:00:00,519,,,,EG,kasr_alainy_egypt
2026-05-02 19:00:00,403,,,,EG,kasr_alainy_egypt
2026-05-02 20:00:00,459,,,,EG,kasr_alainy_egypt
2026-05-02 21:00:00,542,,,,EG,kasr_alainy_egypt
2026-05-02 22:00:00,332,,,,EG,kasr_alainy_egypt
2026-05-02 23:00:00,480,,,,EG,kasr_alainy_egypt
2026-05-03 00:00:00,461,,,,EG,kasr_alainy_egypt
2026-05-03 01:00:00,533,,,,EG,kasr_alainy_egypt
2026-05-03 02:00:00,513,,,,EG,kasr_alainy_egypt
2026-05-03 03:00:00,532,,,,EG,kasr_alainy_egypt
2026-05-03 04:00:00,390,,,,EG,kasr_alainy_egypt
2026-05-03 05:00:00,335,,,,EG,kasr_alainy_egypt
2026-05-03 06:00:00,354,,,,EG,kasr_alainy_egypt
2026-05-03 07:00:00,339,,,,EG,kasr_alainy_egypt
2026-05-03 08:00:00,334,,,,EG,kasr_alainy_egypt
2026-05-03 09:00:00,322,,,,EG,kasr_alainy_egypt
2026-05-03 10:00:00,434,,,,EG,kasr_alainy_egypt
2026-05-03 11:00:00,386,,,,EG,kasr_alainy_egypt
2026-05-03 12:00:00,294,,,,EG,kasr_alainy_egypt
2026-05-03 13:00:00,390,,,,EG,kasr_alainy_egypt
2026-05-03 14:00:00,322,,,,EG,kasr_alainy_egypt
2026-05-03 15:00:00,441,,,,EG,kasr_alainy_egypt
2026-05-03 16:00:00,445,,,,EG,kasr_alainy_egypt
2026-05-03 17:00:00,321,,,,EG,kasr_alainy_egypt
2026-05-03 18:00:00,502,,,,EG,kasr_alainy_egypt
2026-05-03 19:00:00,381,,,,EG,kasr_alainy_egypt
2026-05-03 20:00:00,416,,,,EG,kasr_alainy_egypt
2026-05-03 21:00:00,494,,,,EG,kasr_alainy_egypt
2026-05-03 22:00:00,398,,,,EG,kasr_alainy_egypt
2026-05-03 23:00:00,457,,,,EG,kasr_alainy_egypt
2026-05-04 00:00:00,368,,,,EG,kasr_alainy_egypt
2026-05-04 01:00:00,354,,,,EG,kasr_alainy_egypt
2026-05-04 02:00:00,451,,,,EG,kasr_alainy_egypt
2026-05-04 03:00:00,386,,,,EG,kasr_alainy_egypt
2026-05-04 04:00:00,433,,,,EG,kasr_alainy_egypt
2026-05-04 05:00:00,485,,,,EG,kasr_alainy_egypt
2026-05-04 06:00:00,473,,,,EG,kasr_alainy_egypt
2026-05-04 07:00:00,475,,,,EG,kasr_alainy_egypt
2026-05-04 08:00:00,362,,,,EG,kasr_alainy_egypt
2026-05-04 09:00:00,430,,,,EG,kasr_alainy_egypt
2026-05-04 10:00:00,291,,,,EG,kasr_alainy_egypt
2026-05-04 11:00:00,410,,,,EG,kasr_alainy_egypt
2026-05-04 12:00:00,409,,,,EG,kasr_alainy_egypt
2026-05-04 13:00:00,374,,,,EG,kasr_alainy_egypt
2026-05-04 14:00:00,447,,,,EG,kasr_alainy_egypt
2026-05-04 15:00:00,488,,,,EG,kasr_alainy_egypt
2026-05-04 16:00:00,382,,,,EG,kasr_alainy_egypt
2026-05-04 17:00:00,497,,,,EG,kasr_alainy_egypt
2026-05-04 18:00:00,484,,,,EG,kasr_alainy_egypt
2026-05-04 19:00:00,478,,,,EG,kasr_alainy_egypt
2026-05-04 20:00:00,480,,,,EG,kasr_alainy_egypt
2026-05-04 21:00:00,377,,,,EG,kasr_alainy_egypt
2026-05-04 22:00:00,401,,,,EG,kasr_alainy_egypt
2026-05-04 23:00:00,442,,,,EG,kasr_alainy_egypt
2026-05-05 00:00:00,533,,,,EG,kasr_alainy_egypt
2026-05-05 01:00:00,379,,,,EG,kasr_alainy_egypt
2026-05-05 02:00:00,507,,,,EG,kasr_alainy_egypt
2026-05-05 03:00:00,472,,,,EG,kasr_alainy_egypt
2026-05-05 04:00:00,367,,,,EG,kasr_alainy_egypt
2026-05-05 05:00:00,406,,,,EG,kasr_alainy_egypt
2026-05-05 06:00:00,484,,,,EG,kasr_alainy_egypt
2026-05-05 07:00:00,415,,,,EG,kasr_alainy_egypt
2026-05-05 08:00:00,293,,,,EG,kasr_alainy_egypt
2026-05-05 09:00:00,432,,,,EG,kasr_alainy_egypt
2026-05-05 10:00:00,395,,,,EG,kasr_alainy_egypt
2026-05-05 11:00:00,399,,,,EG,kasr_alainy_egypt
2026-05-05 12:00:00,463,,,,EG,kasr_alainy_egypt
