datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,362,,,,GH,korle_bu_ghana
2026-04-25 13:00:00,351,,,,GH,korle_bu_ghana
2026-04-25 14:00:00,319,,,,GH,korle_bu_ghana
2026-04-25 15:00:00,335,,,,GH,korle_bu_ghana
2026-04-25 16:00:00,346,,,,GH,korle_bu_ghana
2026-04-25 17:00:00,398,,,,GH,korle_bu_ghana
2026-04-25 18:00:00,248,,,,GH,korle_bu_ghana
2026-04-25 19:00:00,327,,,,GH,korle_bu_ghana
2026-04-25 20:00:00,344,,,,GH,korle_bu_ghana
2026-04-25 21:00:00,300,,,,GH,korle_bu_ghana
2026-04-25 22:00:00,377,,,,GH,korle_bu_ghana
2026-04-25 23:00:00,311,,,,GH,korle_bu_ghana
2026-04-26 00:00:00,316,,,,GH,korle_bu_ghana
2026-04-26 01:00:00,279,,,,GH,korle_bu_ghana
2026-04-26 02:00:00,293,,,,GH,korle_bu_ghana
2026-04-26 03:00:00,280,,,,GH,korle_bu_ghana
2026-04-26 04:00:00,330,,,,GH,korle_bu_ghana
2026-04-26 05:00:00,367,,,,GH,korle_bu_ghana
2026-04-26 06:00:00,366,,,,GH,korle_bu_ghana
2026-04-26 07:00:00,295,,,,GH,korle_bu_ghana
2026-04-26 08:00:00,249,,,,GH,korle_bu_ghana
2026-04-26 09:00:00,322,,,,GH,korle_bu_ghana
2026-04-26 10:00:00,358,,,,GH,korle_bu_ghana
2026-04-26 11:00:00,301,,,,GH,korle_bu_ghana
2026-04-26 12:00:00,255,,,,GH,korle_bu_ghana
2026-04-26 13:00:00,369,,,,GH,korle_bu_ghana
2026-04-26 14:00:00,327,,,,GH,korle_bu_ghana
2026-04-26 15:00:00,308,,,,GH,korle_bu_ghana
2026-04-26 16:00:00,286,,,,GH,korle_bu_ghana
2026-04-26 17:00:00,381,,,,GH,korle_bu_ghana
2026-04-26 18:00:00,306,,,,GH,korle_bu_ghana
2026-04-26 19:00:00,374,,,,GH,korle_bu_ghana
2026-04-26 20:00:00,236,,,,GH,korle_bu_ghana
2026-04-26 21:00:00,337,,,,GH,korle_bu_ghana
2026-04-26 22:00:00,341,,,,GH,korle_bu_ghana
2026-04-26 23:00:00,377,,,,GH,korle_bu_ghana
2026-04-27 00:00:00,346,,,,GH,korle_bu_ghana
2026-04-27 01:00:00,271,,,,GH,korle_bu_ghana
2026-04-27 02:00:00,273,,,,GH,korle_bu_ghana
2026-04-27 03:00:00,321,,,,GH,korle_bu_ghana
2026-04-27 04:00:00,294,,,,GH,korle_bu_ghana
2026-04-27 05:00:00,298,,,,GH,korle_bu_ghana
2026-04-27 06:00:00,268,,,,GH,korle_bu_ghana
2026-04-27 07:00:00,365,,,,GH,korle_bu_ghana
2026-04-27 08:00:00,247,,,,GH,korle_bu_ghana
2026-04-27 09:00:00,251,,,,GH,korle_bu_ghana
2026-04-27 10:00:00,335,,,,GH,korle_bu_ghana
2026-04-27 11:00:00,252,,,,GH,korle_bu_ghana
2026-04-27 12:00:00,311,,,,GH,korle_bu_ghana
2026-04-27 13:00:00,331,,,,GH,korle_bu_ghana
2026-04-27 14:00:00,372,,,,GH,korle_bu_ghana
2026-04-27 15:00:00,262,,,,GH,korle_bu_ghana
2026-04-27 16:00:00,329,,,,GH,korle_bu_ghana
2026-04-27 17:00:00,350,,,,GH,korle_bu_ghana
2026-04-27 18:00:00,290,,,,GH,korle_bu_ghana
2026-04-27 19:00:00,230,,,,GH,korle_bu_ghana
2026-04-27 20:00:00,374,,,,GH,korle_bu_ghana
2026-04-27 21:00:00,388,,,,GH,korle_bu_ghana
2026-04-27 22:00:00,348,,,,GH,korle_bu_ghana
2026-04-27 23:00:00,340,,,,GH,korle_bu_ghana
2026-04-28 00:00:00,390,,,,GH,korle_bu_ghana
2026-04-28 01:00:00,325,,,,GH,korle_bu_ghana
2026-04-28 02:00:00,294,,,,GH,korle_bu_ghana
2026-04-28 03:00:00,305,,,,GH,korle_bu_ghana
2026-04-28 04:00:00,304,,,,GH,korle_bu_ghana
2026-04-28 05:00:00,263,,,,GH,korle_bu_ghana
2026-04-28 06:00:00,272,,,,GH,korle_bu_ghana
2026-04-28 07:00:00,358,,,,GH,korle_bu_ghana
2026-04-28 08:00:00,324,,,,GH,korle_bu_ghana
2026-04-28 09:00:00,318,,,,GH,korle_bu_ghana
2026-04-28 10:00:00,301,,,,GH,korle_bu_ghana
2026-04-28 11:00:00,314,,,,GH,korle_bu_ghana
2026-04-28 12:00:00,282,,,,GH,korle_bu_ghana
2026-04-28 13:00:00,272,,,,GH,korle_bu_ghana
2026-04-28 14:00:00,280,,,,GH,korle_bu_ghana
2026-04-28 15:00:00,353,,,,GH,korle_bu_ghana
2026-04-28 16:00:00,264,,,,GH,korle_bu_ghana
2026-04-28 17:00:00,310,,,,GH,korle_bu_ghana
2026-04-28 18:00:00,374,,,,GH,korle_bu_ghana
2026-04-28 19:00:00,320,,,,GH,korle_bu_ghana
2026-04-28 20:00:00,381,,,,GH,korle_bu_ghana
2026-04-28 21:00:00,394,,,,GH,korle_bu_ghana
2026-04-28 22:00:00,262,,,,GH,korle_bu_ghana
2026-04-28 23:00:00,353,,,,GH,korle_bu_ghana
2026-04-29 00:00:00,381,,,,GH,korle_bu_ghana
2026-04-29 01:00:00,252,,,,GH,korle_bu_ghana
2026-04-29 02:00:00,329,,,,GH,korle_bu_ghana
2026-04-29 03:00:00,287,,,,GH,korle_bu_ghana
2026-04-29 04:00:00,292,,,,GH,korle_bu_ghana
2026-04-29 05:00:00,331,,,,GH,korle_bu_ghana
