datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,410,,,,NG,luth_nigeria
2026-04-25 13:00:00,311,,,,NG,luth_nigeria
2026-04-25 14:00:00,317,,,,NG,luth_nigeria
2026-04-25 15:00:00,311,,,,NG,luth_nigeria
2026-04-25 16:00:00,382,,,,NG,luth_nigeria
2026-04-25 17:00:00,391,,,,NG,luth_nigeria
2026-04-25 18:00:00,256,,,,NG,luth_nigeria
2026-04-25 19:00:00,349,,,,NG,luth_nigeria
2026-04-25 20:00:00,368,,,,NG,luth_nigeria
2026-04-25 21:00:00,318,,,,NG,luth_nigeria
2026-04-25 22:00:00,396,,,,NG,luth_nigeria
2026-04-25 23:00:00,331,,,,NG,luth_nigeria
2026-04-26 00:00:00,336,,,,NG,luth_nigeria
2026-04-26 01:00:00,299,,,,NG,luth_nigeria
2026-04-26 02:00:00,328,,,,NG,luth_nigeria
2026-04-26 03:00:00,295,,,,NG,luth_nigeria
2026-04-26 04:00:00,348,,,,NG,luth_nigeria
2026-04-26 05:00:00,372,,,,NG,luth_nigeria
2026-04-26 06:00:00,372,,,,NG,luth_nigeria
2026-04-26 07:00:00,310,,,,NG,luth_nigeria
2026-04-26 08:00:00,256,,,,NG,luth_nigeria
2026-04-26 09:00:00,341,,,,NG,luth_nigeria
2026-04-26 10:00:00,396,,,,NG,luth_nigeria
2026-04-26 11:00:00,335,,,,NG,luth_nigeria
2026-04-26 12:00:00,279,,,,NG,luth_nigeria
2026-04-26 13:00:00,398,,,,NG,luth_nigeria
2026-04-26 14:00:00,356,,,,NG,luth_nigeria
2026-04-26 15:00:00,328,,,,NG,luth_nigeria
2026-04-26 16:00:00,304,,,,NG,luth_nigeria
2026-04-26 17:00:00,404,,,,NG,luth_nigeria
2026-04-26 18:00:00,339,,,,NG,luth_nigeria
2026-04-26 19:00:00,426,,,,NG,luth_nigeria
2026-04-26 20:00:00,266,,,,NG,luth_nigeria
2026-04-26 21:00:00,371,,,,NG,luth_nigeria
2026-04-26 22:00:00,385,,,,NG,luth_nigeria
2026-04-26 23:00:00,418,,,,NG,luth_nigeria
2026-04-27 00:00:00,365,,,,NG,luth_nigeria
2026-04-27 01:00:00,290,,,,NG,luth_nigeria
2026-04-27 02:00:00,295,,,,NG,luth_nigeria
2026-04-27 03:00:00,334,,,,NG,luth_nigeria
2026-04-27 04:00:00,310,,,,NG,luth_nigeria
2026-04-27 05:00:00,312,,,,NG,luth_nigeria
2026-04-27 06:00:00,267,,,,NG,luth_nigeria
2026-04-27 07:00:00,389,,,,NG,luth_nigeria
2026-04-27 08:00:00,266,,,,NG,luth_nigeria
2026-04-27 09:00:00,295,,,,NG,luth_nigeria
2026-04-27 10:00:00,399,,,,NG,luth_nigeria
2026-04-27 11:00:00,304,,,,NG,luth_nigeria
2026-04-27 12:00:00,376,,,,NG,luth_nigeria
2026-04-27 13:00:00,403,,,,NG,luth_nigeria
2026-04-27 14:00:00,445,,,,NG,luth_nigeria
2026-04-27 15:00:00,300,,,,NG,luth_nigeria
2026-04-27 16:00:00,376,,,,NG,luth_nigeria
2026-04-27 17:00:00,399,,,,NG,luth_nigeria
2026-04-27 18:00:00,330,,,,NG,luth_nigeria
2026-04-27 19:00:00,263,,,,NG,luth_nigeria
2026-04-27 20:00:00,418,,,,NG,luth_nigeria
2026-04-27 21:00:00,427,,,,NG,luth_nigeria
2026-04-27 22:00:00,385,,,,NG,luth_nigeria
2026-04-27 23:00:00,376,,,,NG,luth_nigeria
2026-04-28 00:00:00,449,,,,NG,luth_nigeria
2026-04-28 01:00:00,376,,,,NG,luth_nigeria
2026-04-28 02:00:00,333,,,,NG,luth_nigeria
2026-04-28 03:00:00,341,,,,NG,luth_nigeria
2026-04-28 04:00:00,344,,,,NG,luth_nigeria
2026-04-28 05:00:00,295,,,,NG,luth_nigeria
2026-04-28 06:00:00,303,,,,NG,luth_nigeria
2026-04-28 07:00:00,406,,,,NG,luth_nigeria
2026-04-28 08:00:00,381,,,,NG,luth_nigeria
2026-04-28 09:00:00,389,,,,NG,luth_nigeria
2026-04-28 10:00:00,372,,,,NG,luth_nigeria
2026-04-28 11:00:00,384,,,,NG,luth_nigeria
2026-04-28 12:00:00,353,,,,NG,luth_nigeria
2026-04-28 13:00:00,345,,,,NG,luth_nigeria
2026-04-28 14:00:00,343,,,,NG,luth_nigeria
2026-04-28 15:00:00,421,,,,NG,luth_nigeria
2026-04-28 16:00:00,316,,,,NG,luth_nigeria
2026-04-28 17:00:00,362,,,,NG,luth_nigeria
2026-04-28 18:00:00,431,,,,NG,luth_nigeria
2026-04-28 19:00:00,334,,,,NG,luth_nigeria
2026-04-28 20:00:00,399,,,,NG,luth_nigeria
2026-04-28 21:00:00,411,,,,NG,luth_nigeria
2026-04-28 22:00:00,287,,,,NG,luth_nigeria
2026-04-28 23:00:00,375,,,,NG,luth_nigeria
2026-04-29 00:00:00,388,,,,NG,luth_nigeria
2026-04-29 01:00:00,259,,,,NG,luth_nigeria
2026-04-29 02:00:00,334,,,,NG,luth_nigeria
2026-04-29 03:00:00,291,,,,NG,luth_nigeria
2026-04-29 04:00:00,304,,,,NG,luth_nigeria
2026-04-29 05:00:00,340,,,,NG,luth_nigeria
2026-04-29 06:00:00,356,,,,NG,luth_nigeria
2026-04-29 07:00:00,369,,,,NG,luth_nigeria
2026-04-29 08:00:00,364,,,,NG,luth_nigeria
2026-04-29 09:00:00,332,,,,NG,luth_nigeria
2026-04-29 10:00:00,440,,,,NG,luth_nigeria
2026-04-29 11:00:00,280,,,,NG,luth_nigeria
2026-04-29 12:00:00,350,,,,NG,luth_nigeria
2026-04-29 13:00:00,292,,,,NG,luth_nigeria
2026-04-29 14:00:00,387,,,,NG,luth_nigeria
2026-04-29 15:00:00,280,,,,NG,luth_nigeria
2026-04-29 16:00:00,380,,,,NG,luth_nigeria
2026-04-29 17:00:00,326,,,,NG,luth_nigeria
2026-04-29 18:00:00,416,,,,NG,luth_nigeria
2026-04-29 19:00:00,318,,,,NG,luth_nigeria
2026-04-29 20:00:00,313,,,,NG,luth_nigeria
2026-04-29 21:00:00,318,,,,NG,luth_nigeria
2026-04-29 22:00:00,349,,,,NG,luth_nigeria
2026-04-29 23:00:00,328,,,,NG,luth_nigeria
2026-04-30 00:00:00,385,,,,NG,luth_nigeria
2026-04-30 01:00:00,340,,,,NG,luth_nigeria
2026-04-30 02:00:00,331,,,,NG,luth_nigeria
2026-04-30 03:00:00,381,,,,NG,luth_nigeria
2026-04-30 04:00:00,267,,,,NG,luth_nigeria
2026-04-30 05:00:00,468,,,,NG,luth_nigeria
2026-04-30 06:00:00,286,,,,NG,luth_nigeria
2026-04-30 07:00:00,417,,,,NG,luth_nigeria
2026-04-30 08:00:00,298,,,,NG,luth_nigeria
2026-04-30 09:00:00,306,,,,NG,luth_nigeria
2026-04-30 10:00:00,326,,,,NG,luth_nigeria
2026-04-30 11:00:00,327,,,,NG,luth_nigeria
2026-04-30 12:00:00,402,,,,NG,luth_nigeria
2026-04-30 13:00:00,341,,,,NG,luth_nigeria
2026-04-30 14:00:00,391,,,,NG,luth_nigeria
2026-04-30 15:00:00,342,,,,NG,luth_nigeria
2026-04-30 16:00:00,426,,,,NG,luth_nigeria
2026-04-30 17:00:00,274,,,,NG,luth_nigeria
2026-04-30 18:00:00,295,,,,NG,luth_nigeria
2026-04-30 19:00:00,431,,,,NG,luth_nigeria
2026-04-30 20:00:00,431,,,,NG,luth_nigeria
2026-04-30 21:00:00,289,,,,NG,luth_nigeria
2026-04-30 22:00:00,351,,,,NG,luth_nigeria
2026-04-30 23:00:00,303,,,,NG,luth_nigeria
2026-05-01 00:00:00,326,,,,NG,luth_nigeria
2026-05-01 01:00:00,376,,,,NG,luth_nigeria
2026-05-01 02:00:00,278,,,,NG,luth_nigeria
2026-05-01 03:00:00,333,,,,NG,luth_nigeria
2026-05-01 04:00:00,271,,,,NG,luth_nigeria
2026-05-01 05:00:00,408,,,,NG,luth_nigeria
2026-05-01 06:00:00,386,,,,NG,luth_nigeria
2026-05-01 07:00:00,269,,,,NG,luth_nigeria
2026-05-01 08:00:00,441,,,,NG,luth_nigeria
2026-05-01 09:00:00,405,,,,NG,luth_nigeria
