datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,472,,,,TZ,muhimbili_tanzania
2026-04-25 13:00:00,442,,,,TZ,muhimbili_tanzania
2026-04-25 14:00:00,396,,,,TZ,muhimbili_tanzania
2026-04-25 15:00:00,348,,,,TZ,muhimbili_tanzania
2026-04-25 16:00:00,368,,,,TZ,muhimbili_tanzania
2026-04-25 17:00:00,451,,,,TZ,muhimbili_tanzania
2026-04-25 18:00:00,298,,,,TZ,muhimbili_tanzania
2026-04-25 19:00:00,397,,,,TZ,muhimbili_tanzania
2026-04-25 20:00:00,422,,,,TZ,muhimbili_tanzania
2026-04-25 21:00:00,359,,,,TZ,muhimbili_tanzania
2026-04-25 22:00:00,475,,,,TZ,muhimbili_tanzania
2026-04-25 23:00:00,377,,,,TZ,muhimbili_tanzania
2026-04-26 00:00:00,385,,,,TZ,muhimbili_tanzania
2026-04-26 01:00:00,334,,,,TZ,muhimbili_tanzania
2026-04-26 02:00:00,348,,,,TZ,muhimbili_tanzania
2026-04-26 03:00:00,323,,,,TZ,muhimbili_tanzania
2026-04-26 04:00:00,390,,,,TZ,muhimbili_tanzania
2026-04-26 05:00:00,396,,,,TZ,muhimbili_tanzania
2026-04-26 06:00:00,399,,,,TZ,muhimbili_tanzania
2026-04-26 07:00:00,338,,,,TZ,muhimbili_tanzania
2026-04-26 08:00:00,288,,,,TZ,muhimbili_tanzania
2026-04-26 09:00:00,380,,,,TZ,muhimbili_tanzania
2026-04-26 10:00:00,436,,,,TZ,muhimbili_tanzania
2026-04-26 11:00:00,377,,,,TZ,muhimbili_tanzania
2026-04-26 12:00:00,320,,,,TZ,muhimbili_tanzania
2026-04-26 13:00:00,446,,,,TZ,muhimbili_tanzania
2026-04-26 14:00:00,391,,,,TZ,muhimbili_tanzania
2026-04-26 15:00:00,334,,,,TZ,muhimbili_tanzania
2026-04-26 16:00:00,293,,,,TZ,muhimbili_tanzania
2026-04-26 17:00:00,431,,,,TZ,muhimbili_tanzania
2026-04-26 18:00:00,369,,,,TZ,muhimbili_tanzania
2026-04-26 19:00:00,461,,,,TZ,muhimbili_tanzania
2026-04-26 20:00:00,291,,,,TZ,muhimbili_tanzania
2026-04-26 21:00:00,404,,,,TZ,muhimbili_tanzania
2026-04-26 22:00:00,425,,,,TZ,muhimbili_tanzania
2026-04-26 23:00:00,462,,,,TZ,muhimbili_tanzania
2026-04-27 00:00:00,411,,,,TZ,muhimbili_tanzania
2026-04-27 01:00:00,329,,,,TZ,muhimbili_tanzania
2026-04-27 02:00:00,324,,,,TZ,muhimbili_tanzania
2026-04-27 03:00:00,379,,,,TZ,muhimbili_tanzania
2026-04-27 04:00:00,350,,,,TZ,muhimbili_tanzania
2026-04-27 05:00:00,340,,,,TZ,muhimbili_tanzania
2026-04-27 06:00:00,305,,,,TZ,muhimbili_tanzania
2026-04-27 07:00:00,430,,,,TZ,muhimbili_tanzania
2026-04-27 08:00:00,290,,,,TZ,muhimbili_tanzania
2026-04-27 09:00:00,307,,,,TZ,muhimbili_tanzania
2026-04-27 10:00:00,422,,,,TZ,muhimbili_tanzania
2026-04-27 11:00:00,326,,,,TZ,muhimbili_tanzania
2026-04-27 12:00:00,411,,,,TZ,muhimbili_tanzania
2026-04-27 13:00:00,427,,,,TZ,muhimbili_tanzania
2026-04-27 14:00:00,474,,,,TZ,muhimbili_tanzania
2026-04-27 15:00:00,305,,,,TZ,muhimbili_tanzania
2026-04-27 16:00:00,371,,,,TZ,muhimbili_tanzania
2026-04-27 17:00:00,392,,,,TZ,muhimbili_tanzania
2026-04-27 18:00:00,352,,,,TZ,muhimbili_tanzania
2026-04-27 19:00:00,280,,,,TZ,muhimbili_tanzania
2026-04-27 20:00:00,458,,,,TZ,muhimbili_tanzania
2026-04-27 21:00:00,459,,,,TZ,muhimbili_tanzania
2026-04-27 22:00:00,427,,,,TZ,muhimbili_tanzania
2026-04-27 23:00:00,406,,,,TZ,muhimbili_tanzania
2026-04-28 00:00:00,486,,,,TZ,muhimbili_tanzania
2026-04-28 01:00:00,408,,,,TZ,muhimbili_tanzania
2026-04-28 02:00:00,359,,,,TZ,muhimbili_tanzania
2026-04-28 03:00:00,369,,,,TZ,muhimbili_tanzania
2026-04-28 04:00:00,367,,,,TZ,muhimbili_tanzania
2026-04-28 05:00:00,332,,,,TZ,muhimbili_tanzania
2026-04-28 06:00:00,342,,,,TZ,muhimbili_tanzania
2026-04-28 07:00:00,458,,,,TZ,muhimbili_tanzania
2026-04-28 08:00:00,394,,,,TZ,muhimbili_tanzania
2026-04-28 09:00:00,394,,,,TZ,muhimbili_tanzania
2026-04-28 10:00:00,382,,,,TZ,muhimbili_tanzania
2026-04-28 11:00:00,401,,,,TZ,muhimbili_tanzania
2026-04-28 12:00:00,383,,,,TZ,muhimbili_tanzania
2026-04-28 13:00:00,367,,,,TZ,muhimbili_tanzania
2026-04-28 14:00:00,354,,,,TZ,muhimbili_tanzania
2026-04-28 15:00:00,411,,,,TZ,muhimbili_tanzania
2026-04-28 16:00:00,302,,,,TZ,muhimbili_tanzania
2026-04-28 17:00:00,371,,,,TZ,muhimbili_tanzania
2026-04-28 18:00:00,461,,,,TZ,muhimbili_tanzania
2026-04-28 19:00:00,396,,,,TZ,muhimbili_tanzania
2026-04-28 20:00:00,475,,,,TZ,muhimbili_tanzania
2026-04-28 21:00:00,463,,,,TZ,muhimbili_tanzania
2026-04-28 22:00:00,327,,,,TZ,muhimbili_tanzania
2026-04-28 23:00:00,424,,,,TZ,muhimbili_tanzania
2026-04-29 00:00:00,456,,,,TZ,muhimbili_tanzania
2026-04-29 01:00:00,304,,,,TZ,muhimbili_tanzania
2026-04-29 02:00:00,392,,,,TZ,muhimbili_tanzania
2026-04-29 03:00:00,337,,,,TZ,muhimbili_tanzania
2026-04-29 04:00:00,348,,,,TZ,muhimbili_tanzania
2026-04-29 05:00:00,381,,,,TZ,muhimbili_tanzania
2026-04-29 06:00:00,400,,,,TZ,muhimbili_tanzania
2026-04-29 07:00:00,426,,,,TZ,muhimbili_tanzania
2026-04-29 08:00:00,405,,,,TZ,muhimbili_tanzania
2026-04-29 09:00:00,361,,,,TZ,muhimbili_tanzania
2026-04-29 10:00:00,459,,,,TZ,muhimbili_tanzania
2026-04-29 11:00:00,298,,,,TZ,muhimbili_tanzania
2026-04-29 12:00:00,382,,,,TZ,muhimbili_tanzania
2026-04-29 13:00:00,315,,,,TZ,muhimbili_tanzania
2026-04-29 14:00:00,418,,,,TZ,muhimbili_tanzania
2026-04-29 15:00:00,285,,,,TZ,muhimbili_tanzania
2026-04-29 16:00:00,387,,,,TZ,muhimbili_tanzania
2026-04-29 17:00:00,355,,,,TZ,muhimbili_tanzania
2026-04-29 18:00:00,454,,,,TZ,muhimbili_tanzania
2026-04-29 19:00:00,344,,,,TZ,muhimbili_tanzania
2026-04-29 20:00:00,345,,,,TZ,muhimbili_tanzania
2026-04-29 21:00:00,343,,,,TZ,muhimbili_tanzania
2026-04-29 22:00:00,390,,,,TZ,muhimbili_tanzania
2026-04-29 23:00:00,367,,,,TZ,muhimbili_tanzania
2026-04-30 00:00:00,434,,,,TZ,muhimbili_tanzania
2026-04-30 01:00:00,388,,,,TZ,muhimbili_tanzania
2026-04-30 02:00:00,373,,,,TZ,muhimbili_tanzania
2026-04-30 03:00:00,432,,,,TZ,muhimbili_tanzania
2026-04-30 04:00:00,303,,,,TZ,muhimbili_tanzania
2026-04-30 05:00:00,465,,,,TZ,muhimbili_tanzania
2026-04-30 06:00:00,320,,,,TZ,muhimbili_tanzania
2026-04-30 07:00:00,480,,,,TZ,muhimbili_tanzania
2026-04-30 08:00:00,337,,,,TZ,muhimbili_tanzania
2026-04-30 09:00:00,333,,,,TZ,muhimbili_tanzania
2026-04-30 10:00:00,363,,,,TZ,muhimbili_tanzania
2026-04-30 11:00:00,364,,,,TZ,muhimbili_tanzania
2026-04-30 12:00:00,469,,,,TZ,muhimbili_tanzania
2026-04-30 13:00:00,407,,,,TZ,muhimbili_tanzania
2026-04-30 14:00:00,442,,,,TZ,muhimbili_tanzania
2026-04-30 15:00:00,366,,,,TZ,muhimbili_tanzania
2026-04-30 16:00:00,438,,,,TZ,muhimbili_tanzania
2026-04-30 17:00:00,287,,,,TZ,muhimbili_tanzania
2026-04-30 18:00:00,315,,,,TZ,muhimbili_tanzania
2026-04-30 19:00:00,448,,,,TZ,muhimbili_tanzania
2026-04-30 20:00:00,463,,,,TZ,muhimbili_tanzania
2026-04-30 21:00:00,314,,,,TZ,muhimbili_tanzania
2026-04-30 22:00:00,399,,,,TZ,muhimbili_tanzania
2026-04-30 23:00:00,332,,,,TZ,muhimbili_tanzania
2026-05-01 00:00:00,365,,,,TZ,muhimbili_tanzania
2026-05-01 01:00:00,414,,,,TZ,muhimbili_tanzania
2026-05-01 02:00:00,301,,,,TZ,muhimbili_tanzania
2026-05-01 03:00:00,362,,,,TZ,muhimbili_tanzania
2026-05-01 04:00:00,296,,,,TZ,muhimbili_tanzania
2026-05-01 05:00:00,421,,,,TZ,muhimbili_tanzania
2026-05-01 06:00:00,397,,,,TZ,muhimbili_tanzania
2026-05-01 07:00:00,280,,,,TZ,muhimbili_tanzania
2026-05-01 08:00:00,453,,,,TZ,muhimbili_tanzania
2026-05-01 09:00:00,407,,,,TZ,muhimbili_tanzania
2026-05-01 10:00:00,359,,,,TZ,muhimbili_tanzania
2026-05-01 11:00:00,302,,,,TZ,muhimbili_tanzania
2026-05-01 12:00:00,399,,,,TZ,muhimbili_tanzania
2026-05-01 13:00:00,295,,,,TZ,muhimbili_tanzania
2026-05-01 14:00:00,359,,,,TZ,muhimbili_tanzania
2026-05-01 15:00:00,362,,,,TZ,muhimbili_tanzania
2026-05-01 16:00:00,258,,,,TZ,muhimbili_tanzania
2026-05-01 17:00:00,407,,,,TZ,muhimbili_tanzania
2026-05-01 18:00:00,424,,,,TZ,muhimbili_tanzania
2026-05-01 19:00:00,325,,,,TZ,muhimbili_tanzania
2026-05-01 20:00:00,439,,,,TZ,muhimbili_tanzania
2026-05-01 21:00:00,364,,,,TZ,muhimbili_tanzania
2026-05-01 22:00:00,391,,,,TZ,muhimbili_tanzania
2026-05-01 23:00:00,436,,,,TZ,muhimbili_tanzania
2026-05-02 00:00:00,363,,,,TZ,muhimbili_tanzania
2026-05-02 01:00:00,473,,,,TZ,muhimbili_tanzania
2026-05-02 02:00:00,324,,,,TZ,muhimbili_tanzania
2026-05-02 03:00:00,380,,,,TZ,muhimbili_tanzania
2026-05-02 04:00:00,394,,,,TZ,muhimbili_tanzania
2026-05-02 05:00:00,357,,,,TZ,muhimbili_tanzania
2026-05-02 06:00:00,338,,,,TZ,muhimbili_tanzania
2026-05-02 07:00:00,433,,,,TZ,muhimbili_tanzania
2026-05-02 08:00:00,381,,,,TZ,muhimbili_tanzania
2026-05-02 09:00:00,414,,,,TZ,muhimbili_tanzania
2026-05-02 10:00:00,347,,,,TZ,muhimbili_tanzania
2026-05-02 11:00:00,417,,,,TZ,muhimbili_tanzania
2026-05-02 12:00:00,426,,,,TZ,muhimbili_tanzania
2026-05-02 13:00:00,349,,,,TZ,muhimbili_tanzania
2026-05-02 14:00:00,423,,,,TZ,muhimbili_tanzania
2026-05-02 15:00:00,389,,,,TZ,muhimbili_tanzania
2026-05-02 16:00:00,376,,,,TZ,muhimbili_tanzania
2026-05-02 17:00:00,409,,,,TZ,muhimbili_tanzania
2026-05-02 18:00:00,426,,,,TZ,muhimbili_tanzania
2026-05-02 19:00:00,328,,,,TZ,muhimbili_tanzania
2026-05-02 20:00:00,377,,,,TZ,muhimbili_tanzania
2026-05-02 21:00:00,448,,,,TZ,muhimbili_tanzania
2026-05-02 22:00:00,288,,,,TZ,muhimbili_tanzania
2026-05-02 23:00:00,420,,,,TZ,muhimbili_tanzania
2026-05-03 00:00:00,406,,,,TZ,muhimbili_tanzania
2026-05-03 01:00:00,472,,,,TZ,muhimbili_tanzania
2026-05-03 02:00:00,453,,,,TZ,muhimbili_tanzania
2026-05-03 03:00:00,466,,,,TZ,muhimbili_tanzania
2026-05-03 04:00:00,353,,,,TZ,muhimbili_tanzania
2026-05-03 05:00:00,302,,,,TZ,muhimbili_tanzania
2026-05-03 06:00:00,328,,,,TZ,muhimbili_tanzania
2026-05-03 07:00:00,327,,,,TZ,muhimbili_tanzania
2026-05-03 08:00:00,316,,,,TZ,muhimbili_tanzania
2026-05-03 09:00:00,304,,,,TZ,muhimbili_tanzania
