datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-25 12:00:00,614,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 13:00:00,591,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 14:00:00,515,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 15:00:00,472,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 16:00:00,476,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 17:00:00,570,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 18:00:00,367,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 19:00:00,514,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 20:00:00,571,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 21:00:00,491,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 22:00:00,636,,,,ZW,parirenyatwa_zimbabwe
2026-04-25 23:00:00,529,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 00:00:00,545,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 01:00:00,484,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 02:00:00,510,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 03:00:00,457,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 04:00:00,540,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 05:00:00,578,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 06:00:00,563,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 07:00:00,462,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 08:00:00,389,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 09:00:00,509,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 10:00:00,633,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 11:00:00,567,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 12:00:00,451,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 13:00:00,641,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 14:00:00,532,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 15:00:00,448,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 16:00:00,379,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 17:00:00,561,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 18:00:00,443,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 19:00:00,575,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 20:00:00,387,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 21:00:00,546,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 22:00:00,573,,,,ZW,parirenyatwa_zimbabwe
2026-04-26 23:00:00,647,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 00:00:00,581,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 01:00:00,474,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 02:00:00,472,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 03:00:00,520,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 04:00:00,493,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 05:00:00,495,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 06:00:00,455,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 07:00:00,629,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 08:00:00,440,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 09:00:00,467,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 10:00:00,613,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 11:00:00,478,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 12:00:00,568,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 13:00:00,596,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 14:00:00,591,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 15:00:00,388,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 16:00:00,471,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 17:00:00,512,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 18:00:00,406,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 19:00:00,338,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 20:00:00,581,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 21:00:00,595,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 22:00:00,578,,,,ZW,parirenyatwa_zimbabwe
2026-04-27 23:00:00,575,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 00:00:00,694,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 01:00:00,593,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 02:00:00,531,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 03:00:00,517,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 04:00:00,530,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 05:00:00,460,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 06:00:00,434,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 07:00:00,575,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 08:00:00,549,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 09:00:00,556,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 10:00:00,511,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 11:00:00,552,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 12:00:00,500,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 13:00:00,477,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 14:00:00,450,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 15:00:00,558,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 16:00:00,391,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 17:00:00,461,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 18:00:00,547,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 19:00:00,490,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 20:00:00,616,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 21:00:00,626,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 22:00:00,455,,,,ZW,parirenyatwa_zimbabwe
2026-04-28 23:00:00,617,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 00:00:00,669,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 01:00:00,454,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 02:00:00,599,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 03:00:00,490,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 04:00:00,513,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 05:00:00,581,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 06:00:00,563,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 07:00:00,589,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 08:00:00,584,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 09:00:00,519,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 10:00:00,636,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 11:00:00,416,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 12:00:00,505,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 13:00:00,413,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 14:00:00,565,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 15:00:00,386,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 16:00:00,500,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 17:00:00,432,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 18:00:00,540,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 19:00:00,430,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 20:00:00,459,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 21:00:00,476,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 22:00:00,549,,,,ZW,parirenyatwa_zimbabwe
2026-04-29 23:00:00,538,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 00:00:00,625,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 01:00:00,565,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 02:00:00,551,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 03:00:00,611,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 04:00:00,436,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 05:00:00,693,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 06:00:00,437,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 07:00:00,636,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 08:00:00,462,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 09:00:00,454,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 10:00:00,479,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 11:00:00,486,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 12:00:00,629,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 13:00:00,542,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 14:00:00,573,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 15:00:00,490,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 16:00:00,562,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 17:00:00,348,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 18:00:00,370,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 19:00:00,551,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 20:00:00,601,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 21:00:00,416,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 22:00:00,541,,,,ZW,parirenyatwa_zimbabwe
2026-04-30 23:00:00,470,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 00:00:00,529,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 01:00:00,610,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 02:00:00,451,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 03:00:00,499,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 04:00:00,412,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 05:00:00,624,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 06:00:00,582,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 07:00:00,399,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 08:00:00,664,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 09:00:00,595,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 10:00:00,500,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 11:00:00,423,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 12:00:00,532,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 13:00:00,398,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 14:00:00,473,,,,ZW,parirenyatwa_zimbabwe
2026-05-01 15:00:00,510,,,,ZW,parirenyatwa_zimbabwe
