datetime_str,Residual Demand,Dispatchable Generation,Thermal Generation,Nuclear Generation,Wind,PV,Total RE,Manual Load_Reduction(MLR),ILS Usage
,20722.058,20237.0,931.0,0.0,0.0,17.555,2077.72,0.0,0.0
,20188.493,19744.0,930.0,0.0,0.0,39.131,2077.72,0.0,0.0
,20019.603,19631.0,931.0,0.0,0.0,39.163,2077.72,0.0,0.0
,20079.454,19731.0,930.0,0.0,0.0,38.942,2077.72,0.0,0.0
,20237.49,19890.0,930.0,0.0,0.0,25.024,2077.72,0.0,0.0
,20729.45,20372.0,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21636.397,21280.0,931.0,0.0,8.849,0.0,2077.72,0.0,0.0
,23317.205,22651.0,932.0,0.0,289.484,0.257,2077.72,0.0,0.0
,24814.033,23677.0,931.0,0.0,757.341,42.06,2077.72,0.0,0.0
,25485.461,24053.0,931.0,0.0,1023.372,98.601,2077.72,0.0,0.0
,25410.147,23708.0,930.0,0.0,1139.942,143.683,2077.72,0.0,0.0
,25441.002,23637.5,930.0,0.0,1191.935,149.134,2077.72,412.5,0.0
,25127.191,23308.5,930.0,0.0,1167.252,194.491,2077.72,467.5,0.0
,24028.863,22264.0,930.0,0.0,1143.799,178.35,2077.72,0.0,0.0
,23449.222,21625.0,930.0,0.0,1111.404,185.248,2077.72,0.0,0.0
,23279.236,21510.0,931.0,0.0,958.969,203.8,2077.72,0.0,0.0
,23361.206,21739.0,931.0,0.0,688.097,243.848,2077.72,0.0,0.0
,24243.66,23074.0,930.0,0.0,275.729,229.877,2077.72,0.0,0.0
,25859.329,25017.0,930.0,0.0,10.285,202.058,2077.72,0.0,0.0
,25596.216,24863.0,930.0,0.0,0.0,102.817,2077.72,0.0,0.0
,23971.261,23245.0,929.0,0.0,0.0,124.044,2077.72,0.0,0.0
,22275.372,21670.0,929.0,0.0,0.0,138.3,2077.72,0.0,0.0
,21085.547,20598.0,930.0,0.0,0.0,23.28,2077.72,0.0,0.0
,20145.396,19644.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19545.296,19151.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19314.7,18952.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19074.827,18742.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19217.768,18894.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19308.717,18844.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19922.751,19219.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20612.493,19840.0,930.0,0.0,7.854,0.0,2077.72,0.0,0.0
,22360.386,21464.0,930.0,0.0,163.807,0.0,2077.72,0.0,0.0
,24094.921,22940.0,930.0,0.0,473.016,46.146,2077.72,0.0,0.0
,25168.768,23878.0,930.0,0.0,684.485,155.521,2077.72,0.0,0.0
,25394.726,23934.0,930.0,0.0,762.917,183.502,2077.72,0.0,0.0
,25265.869,23597.0,930.0,0.0,843.907,184.828,2077.72,0.0,0.0
,25083.842,23253.0,929.0,0.0,842.404,207.486,2077.72,0.0,0.0
,24619.492,22645.0,930.0,0.0,849.783,217.302,2077.72,0.0,0.0
,24342.784,22430.0,929.0,0.0,811.364,203.11,2077.72,0.0,0.0
,24503.364,22907.0,929.0,0.0,577.949,165.299,2077.72,0.0,0.0
,24992.523,23376.0,929.0,0.0,311.493,189.427,2077.72,0.0,0.0
,26231.695,24562.0,928.0,0.0,135.351,159.255,2077.72,0.0,0.0
,27973.787,26561.0,928.0,0.0,5.917,155.576,2077.72,0.0,0.0
,27375.821,26128.0,928.0,0.0,0.0,151.34,2077.72,0.0,0.0
,25351.975,24512.0,929.0,0.0,0.0,134.595,2077.72,0.0,0.0
,23370.451,22637.0,929.0,0.0,0.0,99.625,2077.72,0.0,0.0
,21480.533,20896.0,929.0,0.0,0.0,7.669,2077.72,0.0,0.0
,20571.356,20075.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19930.973,19476.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19696.723,19231.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19524.501,19030.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,19760.252,19277.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20652.54,20204.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22432.843,22016.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24267.36,23865.0,930.0,0.0,8.366,0.0,2077.72,0.0,0.0
,25704.68,25135.0,930.0,0.0,223.732,0.0,2077.72,0.0,0.0
,27113.829,26167.0,930.0,0.0,666.401,0.0,2077.72,0.0,0.0
,27452.476,26302.0,930.0,0.0,888.799,0.0,2077.72,10.0,0.0
,27785.502,26430.0,930.0,0.0,1073.067,29.801,2077.72,20.0,0.0
,27710.82,26250.011,930.0,0.0,1133.955,82.011,2077.72,20.0,0.0
,27737.65,26360.0,930.0,0.0,1074.469,86.052,2077.72,20.0,0.0
,27816.326,26416.0,931.0,0.0,1099.478,96.737,2077.72,20.0,0.0
,27930.134,26602.0,931.0,0.0,972.969,74.243,2077.72,20.0,0.0
,28363.151,27263.0,931.0,0.0,842.188,30.883,2077.72,20.0,0.0
,28567.759,27725.0,931.0,0.0,511.182,24.095,2077.72,20.0,0.0
,29120.983,28476.0,930.0,0.0,166.832,65.697,2077.72,0.0,0.0
,30382.315,29830.5,930.0,0.0,3.401,87.054,2077.72,205.5,0.0
,29686.038,29067.0,930.0,0.0,0.0,84.133,2077.72,421.0,0.0
,27829.099,27239.5,930.0,0.0,0.0,54.38,2077.72,195.5,0.0
,25572.462,24966.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23564.987,23022.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22490.623,22009.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21564.373,21211.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21107.459,20725.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21139.457,20765.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21387.4,21065.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22279.177,21996.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24188.766,23896.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25558.276,25340.0,929.0,0.0,4.645,0.0,2077.72,0.0,0.0
,26621.373,26298.0,930.0,0.0,92.959,0.0,2077.72,0.0,0.0
,27929.286,27527.0,930.0,0.0,203.344,0.0,2077.72,0.0,0.0
,28164.702,27643.0,930.0,0.0,306.642,0.0,2077.72,50.0,0.0
,28506.479,27884.0,931.0,0.0,442.398,0.0,2077.72,50.0,0.0
,28292.411,27649.0,931.0,0.0,513.59,0.0,2077.72,50.0,0.0
,28055.145,27428.0,931.0,0.0,446.782,0.0,2077.72,50.0,0.0
,27941.801,27145.0,930.0,0.0,460.264,0.0,2077.72,50.0,0.0
,28009.587,27337.0,929.0,0.0,418.525,0.0,2077.72,50.0,0.0
,28338.335,27653.0,929.0,0.0,435.399,0.0,2077.72,50.0,0.0
,28579.273,28036.0,929.0,0.0,284.927,26.254,2077.72,40.0,0.0
,29088.011,28682.0,929.0,0.0,109.057,111.3,2077.72,15.0,0.0
,30610.867,30276.0,929.0,0.0,7.337,77.417,2077.72,0.0,0.0
,29657.328,29270.0,929.0,0.0,0.0,9.468,2077.72,20.0,0.0
,27590.092,27306.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25673.284,25459.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23793.005,23632.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22390.699,22234.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21670.889,21323.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21366.559,20890.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21410.075,20895.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21546.487,21065.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22498.045,22072.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24468.51,24117.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25960.833,25667.0,930.0,0.0,4.362,0.0,2077.72,0.0,0.0
,27109.988,26692.0,930.0,0.0,170.691,0.0,2077.72,0.0,0.0
,28308.494,27647.0,929.0,0.0,444.416,12.152,2077.72,0.0,0.0
,28466.421,27441.0,930.0,0.0,685.485,168.511,2077.72,0.0,0.0
,28769.008,27427.0,930.0,0.0,918.717,240.514,2077.72,0.0,0.0
,28789.938,27393.0,929.0,0.0,996.488,217.368,2077.72,0.0,0.0
,28522.465,27019.382,929.0,0.0,1029.428,207.572,2077.72,0.0,0.0
,28373.476,26888.796,928.0,0.0,977.454,206.675,2077.72,0.0,0.0
,29008.487,27505.089,928.0,0.0,905.35,204.59,2077.72,0.0,0.0
,29211.543,27893.0,928.0,0.0,814.532,102.821,2077.72,0.0,0.0
,29495.635,28392.0,928.0,0.0,581.398,102.18,2077.72,0.0,0.0
,29984.159,29155.0,929.0,0.0,217.731,166.729,2077.72,0.0,0.0
,31484.309,30896.0,928.0,0.0,4.471,161.174,2077.72,0.0,0.0
,30538.818,29993.0,928.0,0.0,0.0,169.087,2077.72,0.0,0.0
,28367.179,27920.0,928.0,0.0,0.0,135.693,2077.72,0.0,0.0
,26164.9,25753.0,928.0,0.0,0.0,131.721,2077.72,0.0,0.0
,23988.043,23611.0,927.0,0.0,0.0,41.696,2077.72,0.0,0.0
,22861.701,22408.0,927.0,0.0,0.0,37.006,2077.72,0.0,0.0
,22121.264,21561.516,928.0,0.0,0.0,36.794,2077.72,0.0,0.0
,21677.452,21058.0,928.0,0.0,0.0,14.705,2077.72,0.0,0.0
,21511.903,20836.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21879.577,21031.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22825.18,21966.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24925.4,24047.0,927.0,0.0,0.0,0.0,2077.72,0.0,0.0
,26556.431,25659.0,928.0,0.0,6.203,0.0,2077.72,0.0,0.0
,27830.958,26674.484,928.0,0.0,209.743,0.0,2077.72,0.0,0.0
,28999.595,27590.0,929.0,0.0,526.313,44.234,2077.72,0.0,0.0
,29086.407,27336.0,929.0,0.0,770.873,160.002,2077.72,0.0,0.0
,29330.762,27158.0,928.0,0.0,1041.983,218.448,2077.72,0.0,0.0
,29513.286,27128.0,928.0,0.0,1134.875,207.168,2077.72,0.0,0.0
,29134.655,26740.0,928.0,0.0,1089.121,204.582,2077.72,0.0,0.0
,28701.362,26428.0,929.0,0.0,959.145,212.419,2077.72,0.0,0.0
,28264.633,26148.0,929.0,0.0,905.456,198.802,2077.72,0.0,0.0
,28106.014,25986.0,928.0,0.0,812.748,211.694,2077.72,0.0,0.0
,28198.116,26283.0,928.0,0.0,588.585,208.482,2077.72,0.0,0.0
,28453.842,27103.0,928.0,0.0,206.556,209.896,2077.72,0.0,0.0
,30062.399,29147.2,927.0,0.0,6.326,155.196,2077.72,0.0,0.0
,29577.464,28802.54,928.0,0.0,0.0,69.165,2077.72,0.0,0.0
,27990.099,27212.67,929.0,0.0,0.0,138.51,2077.72,0.0,0.0
,26158.639,25501.67,929.0,0.0,0.0,133.26,2077.72,0.0,0.0
,24480.957,24012.54,928.0,0.0,0.0,45.617,2077.72,0.0,0.0
,23332.841,22916.54,928.0,0.0,0.0,39.99,2077.72,0.0,0.0
,22489.713,22196.54,928.0,0.0,0.0,40.057,2077.72,0.0,0.0
,21947.056,21688.54,928.0,0.0,0.0,39.919,2077.72,0.0,0.0
,21870.22,21597.54,927.0,0.0,0.0,38.907,2077.72,0.0,0.0
,21963.879,21674.67,928.0,0.0,0.0,3.837,2077.72,0.0,0.0
,22193.399,21871.67,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23086.21,22792.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24300.634,23976.67,928.0,0.0,7.013,0.0,2077.72,0.0,0.0
,26029.291,25479.54,928.0,0.0,198.349,0.0,2077.72,0.0,0.0
,27764.842,26742.54,929.0,0.0,607.086,55.675,2077.72,0.0,0.0
,27955.694,26652.8,929.0,0.0,727.642,193.702,2077.72,0.0,0.0
,27798.549,26294.67,929.0,0.0,850.257,183.389,2077.72,0.0,0.0
,27502.46,25749.67,929.0,0.0,886.689,273.589,2077.72,0.0,0.0
,27312.592,25301.67,928.0,0.0,880.613,287.714,2077.72,0.0,0.0
,26929.977,24621.8,928.0,0.0,993.018,289.153,2077.72,0.0,0.0
,26404.489,24000.54,928.0,0.0,874.547,277.815,2077.72,0.0,0.0
