datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.7,93,10.6,19.1,36.4,0.0,1017.7,0.0,100,,0.0,,3,addenbrookes_nhs
2022-01-01 01:00:00,12.6,91,11.3,19.6,32.8,0.0,1017.0,0.0,100,,0.0,,3,addenbrookes_nhs
2022-01-01 02:00:00,12.6,93,11.5,20.8,36.7,0.0,1017.0,0.0,100,,0.0,,3,addenbrookes_nhs
2022-01-01 03:00:00,12.8,92,11.4,21.7,36.4,0.0,1016.8,0.0,100,,0.01,,3,addenbrookes_nhs
2022-01-01 04:00:00,12.6,90,11.0,23.2,39.6,0.0,1016.7,0.0,100,,0.01,,3,addenbrookes_nhs
2022-01-01 05:00:00,12.7,86,10.4,24.0,41.0,0.0,1016.4,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 06:00:00,12.6,85,10.1,22.7,41.0,0.0,1015.8,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 07:00:00,12.4,86,10.1,24.6,41.4,0.0,1014.7,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 08:00:00,12.4,86,10.1,28.3,48.2,0.0,1014.3,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 09:00:00,12.6,83,9.8,28.0,48.2,0.0,1013.8,0.0,100,,0.03,,3,addenbrookes_nhs
2022-01-01 10:00:00,12.9,78,9.2,29.8,50.0,0.0,1014.0,13.0,100,,0.06,,3,addenbrookes_nhs
2022-01-01 11:00:00,13.4,74,8.9,28.8,50.8,0.0,1014.7,73.0,71,,0.08,,2,addenbrookes_nhs
2022-01-01 12:00:00,14.0,71,8.8,27.1,49.3,0.0,1014.4,148.0,100,,0.11,,3,addenbrookes_nhs
2022-01-01 13:00:00,14.9,74,10.3,27.1,47.9,0.0,1014.1,167.0,100,,0.11,,3,addenbrookes_nhs
2022-01-01 14:00:00,14.9,75,10.6,26.3,46.4,0.0,1013.0,171.0,100,,0.11,,3,addenbrookes_nhs
2022-01-01 15:00:00,14.9,77,10.9,24.7,45.0,0.0,1012.3,108.0,100,,0.09,,3,addenbrookes_nhs
2022-01-01 16:00:00,14.6,79,10.9,25.4,43.6,0.0,1012.5,56.0,98,,0.07,,3,addenbrookes_nhs
2022-01-01 17:00:00,13.4,87,11.2,24.8,43.6,0.0,1012.6,20.0,100,,0.03,,3,addenbrookes_nhs
2022-01-01 18:00:00,13.6,85,11.2,25.3,43.2,0.0,1012.6,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 19:00:00,13.4,86,11.1,23.4,43.2,0.0,1012.4,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 20:00:00,13.0,87,10.9,22.5,39.6,0.0,1012.3,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 21:00:00,13.0,87,10.9,21.8,38.5,0.0,1012.0,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 22:00:00,13.1,86,10.8,21.6,37.1,0.0,1011.9,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-01 23:00:00,13.1,86,10.8,22.1,38.2,0.0,1011.7,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-02 00:00:00,12.9,87,10.9,21.8,37.8,0.0,1011.1,0.0,100,,0.02,,3,addenbrookes_nhs
2022-01-02 01:00:00,13.1,89,11.4,21.3,37.1,0.0,1010.1,0.0,100,,0.01,,3,addenbrookes_nhs
2022-01-02 02:00:00,12.3,92,11.0,19.4,35.6,0.0,1009.4,0.0,100,,0.0,,3,addenbrookes_nhs
2022-01-02 03:00:00,12.4,90,10.8,18.6,34.9,0.0,1008.6,0.0,99,,0.01,,3,addenbrookes_nhs
