datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.7,94,10.7,20.8,37.4,0.0,1002.3,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-01 01:00:00,12.0,94,11.1,24.5,42.8,0.3,1001.9,0.0,100,,0.0,,51,birmingham_heartlands_nhs
2022-01-01 02:00:00,12.1,90,10.6,25.6,45.7,0.0,1001.5,0.0,100,,0.01,,3,birmingham_heartlands_nhs
2022-01-01 03:00:00,12.0,85,9.6,27.5,52.6,0.0,1001.3,0.0,100,,0.02,,3,birmingham_heartlands_nhs
2022-01-01 04:00:00,11.9,84,9.2,25.8,50.0,0.0,1001.2,0.0,100,,0.03,,3,birmingham_heartlands_nhs
2022-01-01 05:00:00,11.8,84,9.1,26.6,48.6,0.0,1000.2,0.0,100,,0.03,,3,birmingham_heartlands_nhs
2022-01-01 06:00:00,11.6,84,9.0,26.2,49.0,0.0,999.6,0.0,100,,0.03,,3,birmingham_heartlands_nhs
2022-01-01 07:00:00,11.6,83,8.9,25.8,47.9,0.0,998.8,0.0,98,,0.03,,3,birmingham_heartlands_nhs
2022-01-01 08:00:00,11.9,79,8.4,26.7,48.2,0.0,998.2,0.0,100,,0.04,,3,birmingham_heartlands_nhs
2022-01-01 09:00:00,12.2,76,8.1,26.4,48.6,0.0,998.1,0.0,95,,0.05,,3,birmingham_heartlands_nhs
2022-01-01 10:00:00,12.6,73,7.8,28.8,52.2,0.0,998.5,9.0,100,,0.07,,3,birmingham_heartlands_nhs
2022-01-01 11:00:00,13.0,74,8.5,28.8,53.3,0.1,998.3,56.0,100,,0.08,,51,birmingham_heartlands_nhs
2022-01-01 12:00:00,13.2,77,9.3,28.4,53.6,0.0,998.2,63.0,100,,0.08,,3,birmingham_heartlands_nhs
2022-01-01 13:00:00,12.9,87,10.8,25.8,52.6,0.0,998.3,111.0,100,,0.06,,3,birmingham_heartlands_nhs
2022-01-01 14:00:00,13.2,89,11.4,18.8,44.6,0.0,997.6,113.0,55,,0.06,,2,birmingham_heartlands_nhs
2022-01-01 15:00:00,13.4,87,11.4,22.0,38.2,0.0,997.1,143.0,56,,0.07,,2,birmingham_heartlands_nhs
2022-01-01 16:00:00,13.1,85,10.6,26.9,49.3,0.0,997.5,98.0,29,,0.06,,1,birmingham_heartlands_nhs
2022-01-01 17:00:00,12.2,88,10.4,24.1,49.3,0.0,997.4,25.0,51,,0.03,,2,birmingham_heartlands_nhs
2022-01-01 18:00:00,11.4,92,10.1,22.8,43.9,0.0,997.1,0.0,31,,0.01,,1,birmingham_heartlands_nhs
2022-01-01 19:00:00,10.9,94,10.0,22.2,41.8,0.0,997.1,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-01 20:00:00,11.1,95,10.4,22.2,41.0,0.0,997.0,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-01 21:00:00,11.6,91,10.1,22.6,41.4,0.0,996.9,0.0,100,,0.01,,3,birmingham_heartlands_nhs
2022-01-01 22:00:00,11.4,91,9.9,22.2,41.4,0.0,996.8,0.0,100,,0.01,,3,birmingham_heartlands_nhs
2022-01-01 23:00:00,11.3,90,9.7,20.6,40.7,0.0,996.7,0.0,100,,0.01,,3,birmingham_heartlands_nhs
2022-01-02 00:00:00,10.6,94,9.6,18.7,38.2,0.0,996.2,0.0,90,,0.0,,3,birmingham_heartlands_nhs
2022-01-02 01:00:00,9.9,97,9.4,18.3,33.8,0.0,995.6,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-02 02:00:00,9.9,97,9.5,15.6,33.5,0.9,994.6,0.0,100,,0.0,,53,birmingham_heartlands_nhs
2022-01-02 03:00:00,10.0,96,9.4,14.7,28.1,0.0,993.8,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-02 04:00:00,9.8,97,9.4,14.5,28.8,0.4,993.0,0.0,100,,0.0,,51,birmingham_heartlands_nhs
2022-01-02 05:00:00,9.8,94,8.9,14.8,33.5,1.2,991.9,0.0,100,,0.0,,55,birmingham_heartlands_nhs
2022-01-02 06:00:00,10.1,92,8.9,28.6,52.6,2.2,990.8,0.0,100,,0.01,,61,birmingham_heartlands_nhs
2022-01-02 07:00:00,9.8,89,8.1,21.1,52.6,0.0,991.4,0.0,44,,0.01,,1,birmingham_heartlands_nhs
2022-01-02 08:00:00,8.8,89,7.2,21.1,38.2,0.0,992.0,0.0,12,,0.01,,0,birmingham_heartlands_nhs
2022-01-02 09:00:00,8.1,90,6.7,20.5,38.9,0.0,992.5,0.0,41,,0.01,,1,birmingham_heartlands_nhs
2022-01-02 10:00:00,8.1,91,6.8,19.4,36.7,0.0,993.0,10.0,18,,0.01,,0,birmingham_heartlands_nhs
2022-01-02 11:00:00,8.9,91,7.4,19.9,36.4,0.0,992.9,80.0,12,,0.03,,0,birmingham_heartlands_nhs
2022-01-02 12:00:00,9.7,91,8.2,19.3,40.0,0.0,992.6,152.0,89,,0.05,,3,birmingham_heartlands_nhs
2022-01-02 13:00:00,9.7,87,7.7,24.7,45.7,0.0,992.3,167.0,100,,0.06,,3,birmingham_heartlands_nhs
2022-01-02 14:00:00,9.4,92,8.1,20.7,47.5,0.8,991.4,146.0,100,,0.05,,53,birmingham_heartlands_nhs
2022-01-02 15:00:00,9.2,89,7.4,21.4,41.4,0.4,990.6,51.0,100,,0.04,,51,birmingham_heartlands_nhs
2022-01-02 16:00:00,8.6,89,6.8,22.8,44.6,1.6,990.4,11.0,100,,0.03,,61,birmingham_heartlands_nhs
2022-01-02 17:00:00,8.1,86,5.9,20.9,42.8,0.1,990.6,8.0,91,,0.03,,51,birmingham_heartlands_nhs
2022-01-02 18:00:00,7.7,89,5.9,21.9,39.6,0.0,990.8,0.0,54,,0.01,,2,birmingham_heartlands_nhs
2022-01-02 19:00:00,7.9,88,6.1,24.0,43.9,0.0,991.0,0.0,51,,0.01,,2,birmingham_heartlands_nhs
2022-01-02 20:00:00,7.9,87,5.8,25.4,47.2,0.0,991.5,0.0,75,,0.02,,2,birmingham_heartlands_nhs
2022-01-02 21:00:00,8.0,86,5.8,26.9,49.0,0.0,991.6,0.0,21,,0.02,,1,birmingham_heartlands_nhs
2022-01-02 22:00:00,8.1,84,5.5,27.8,50.4,0.0,991.7,0.0,30,,0.02,,1,birmingham_heartlands_nhs
2022-01-02 23:00:00,8.0,84,5.5,28.8,52.9,0.0,992.0,0.0,28,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 00:00:00,8.1,85,5.7,28.7,53.3,0.0,992.0,0.0,46,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 01:00:00,8.4,80,5.2,30.4,54.0,0.0,992.1,0.0,100,,0.03,,3,birmingham_heartlands_nhs
2022-01-03 02:00:00,8.2,81,5.2,27.3,56.2,0.0,992.3,0.0,41,,0.03,,1,birmingham_heartlands_nhs
2022-01-03 03:00:00,8.1,82,5.2,27.3,50.0,0.0,992.3,0.0,39,,0.03,,1,birmingham_heartlands_nhs
2022-01-03 04:00:00,7.8,81,4.8,26.9,50.8,0.0,992.2,0.0,40,,0.03,,1,birmingham_heartlands_nhs
2022-01-03 05:00:00,7.6,82,4.6,25.3,49.3,0.0,991.9,0.0,24,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 06:00:00,7.3,82,4.4,24.4,46.4,0.0,991.7,0.0,41,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 07:00:00,7.2,82,4.3,22.9,45.0,0.0,991.4,0.0,29,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 08:00:00,7.0,84,4.4,20.9,41.8,0.0,991.3,0.0,36,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 09:00:00,6.8,84,4.3,21.7,39.2,0.0,991.2,0.0,48,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 10:00:00,7.2,85,4.8,21.4,39.6,0.0,991.2,9.0,36,,0.02,,1,birmingham_heartlands_nhs
2022-01-03 11:00:00,8.1,82,5.1,22.0,40.7,0.0,991.1,65.0,36,,0.04,,1,birmingham_heartlands_nhs
2022-01-03 12:00:00,8.8,80,5.6,18.6,41.0,0.0,990.7,152.0,85,,0.06,,3,birmingham_heartlands_nhs
2022-01-03 13:00:00,9.4,76,5.3,21.6,46.8,0.0,990.2,179.0,100,,0.09,,3,birmingham_heartlands_nhs
2022-01-03 14:00:00,9.4,75,5.2,23.1,45.0,0.0,989.5,172.0,82,,0.09,,3,birmingham_heartlands_nhs
2022-01-03 15:00:00,9.3,77,5.6,25.6,46.1,0.0,988.8,154.0,33,,0.08,,1,birmingham_heartlands_nhs
2022-01-03 16:00:00,8.8,79,5.3,22.6,48.6,0.0,988.6,102.0,27,,0.06,,1,birmingham_heartlands_nhs
2022-01-03 17:00:00,7.8,83,5.1,18.8,41.4,0.0,988.3,31.0,60,,0.03,,2,birmingham_heartlands_nhs
2022-01-03 18:00:00,7.2,84,4.8,19.4,34.9,0.0,987.7,0.0,83,,0.01,,3,birmingham_heartlands_nhs
2022-01-03 19:00:00,6.7,86,4.6,19.6,35.6,0.0,987.3,0.0,73,,0.01,,2,birmingham_heartlands_nhs
2022-01-03 20:00:00,6.4,88,4.6,18.6,36.0,0.0,986.9,0.0,94,,0.01,,3,birmingham_heartlands_nhs
2022-01-03 21:00:00,5.9,91,4.6,17.6,33.8,0.0,986.3,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-03 22:00:00,5.8,93,4.7,18.1,32.8,0.0,985.7,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-03 23:00:00,5.7,93,4.7,17.3,32.8,0.0,985.2,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-04 00:00:00,5.4,94,4.6,15.1,31.3,0.0,984.7,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-04 01:00:00,6.6,92,5.3,15.0,26.6,0.0,984.4,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-04 02:00:00,6.1,93,5.0,12.1,26.6,0.0,983.6,0.0,100,,0.0,,3,birmingham_heartlands_nhs
2022-01-04 03:00:00,5.6,94,4.7,10.2,20.9,0.0,983.0,0.0,42,,0.0,,1,birmingham_heartlands_nhs
2022-01-04 04:00:00,4.8,93,3.7,8.8,18.0,0.1,982.6,0.0,82,,0.0,,51,birmingham_heartlands_nhs
2022-01-04 05:00:00,4.9,94,4.1,7.8,15.5,0.1,982.7,0.0,100,,0.0,,51,birmingham_heartlands_nhs
2022-01-04 06:00:00,5.3,95,4.6,14.2,24.5,0.4,982.6,0.0,100,,0.0,,51,birmingham_heartlands_nhs
2022-01-04 07:00:00,3.0,94,2.2,16.9,35.6,0.2,983.6,0.0,100,,0.0,,51,birmingham_heartlands_nhs
2022-01-04 08:00:00,2.9,93,1.9,14.8,32.4,0.1,984.6,0.0,100,,0.0,,51,birmingham_heartlands_nhs
2022-01-04 09:00:00,2.8,85,0.6,15.6,29.2,0.1,985.4,0.0,100,,0.01,,51,birmingham_heartlands_nhs
2022-01-04 10:00:00,2.3,84,-0.1,15.8,29.2,0.0,986.5,4.0,100,,0.02,,3,birmingham_heartlands_nhs
