datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,16.5,96,15.9,3.4,9.7,0.6,856.0,0.0,100,,0.0,,53,chuk_rwanda
2022-01-01 01:00:00,16.5,96,15.9,2.5,7.2,0.7,855.4,0.0,100,,0.0,,53,chuk_rwanda
2022-01-01 02:00:00,16.1,98,15.8,3.2,8.6,0.3,855.2,0.0,100,,0.0,,51,chuk_rwanda
2022-01-01 03:00:00,16.1,99,15.9,4.7,9.4,0.3,854.3,0.0,100,,0.0,,51,chuk_rwanda
2022-01-01 04:00:00,16.0,98,15.7,2.4,10.1,0.5,854.6,0.0,100,,0.0,,53,chuk_rwanda
2022-01-01 05:00:00,16.2,97,15.8,1.9,5.4,0.5,854.8,0.0,100,,0.0,,53,chuk_rwanda
2022-01-01 06:00:00,16.3,97,15.9,0.5,5.0,0.3,855.3,0.0,100,,0.01,,51,chuk_rwanda
2022-01-01 07:00:00,16.6,97,16.0,1.1,4.7,0.2,856.0,22.0,100,,0.02,,51,chuk_rwanda
2022-01-01 08:00:00,17.4,93,16.2,1.8,8.3,0.1,857.1,87.0,100,,0.06,,51,chuk_rwanda
2022-01-01 09:00:00,17.6,93,16.5,1.9,8.3,1.0,857.8,129.0,100,,0.09,,55,chuk_rwanda
2022-01-01 10:00:00,18.9,88,16.9,3.0,12.2,1.3,858.1,325.0,100,,0.22,,61,chuk_rwanda
2022-01-01 11:00:00,19.2,85,16.5,4.3,13.3,0.7,857.7,336.0,100,,0.23,,53,chuk_rwanda
2022-01-01 12:00:00,21.0,73,16.0,5.2,18.4,0.4,857.6,606.0,100,,0.41,,51,chuk_rwanda
2022-01-01 13:00:00,22.2,65,15.4,7.2,22.0,0.1,856.5,711.0,100,,0.48,,51,chuk_rwanda
2022-01-01 14:00:00,23.2,56,14.1,10.5,22.0,0.0,856.1,790.0,100,,0.54,,3,chuk_rwanda
2022-01-01 15:00:00,22.9,56,13.8,7.3,25.9,0.1,855.1,641.0,72,,0.44,,51,chuk_rwanda
2022-01-01 16:00:00,22.8,56,13.5,5.4,20.5,0.0,854.6,435.0,86,,0.31,,3,chuk_rwanda
2022-01-01 17:00:00,22.1,58,13.6,5.9,14.8,0.0,854.4,288.0,25,,0.2,,1,chuk_rwanda
2022-01-01 18:00:00,20.0,67,13.8,7.8,15.5,0.0,853.8,92.0,92,,0.07,,3,chuk_rwanda
2022-01-01 19:00:00,18.8,75,14.1,4.0,15.5,0.0,853.6,0.0,10,,0.03,,0,chuk_rwanda
2022-01-01 20:00:00,18.4,74,13.6,3.7,7.9,0.0,854.4,0.0,2,,0.0,,0,chuk_rwanda
2022-01-01 21:00:00,17.5,77,13.4,3.9,6.5,0.0,854.7,0.0,1,,0.0,,0,chuk_rwanda
2022-01-01 22:00:00,16.0,86,13.7,6.3,11.2,0.0,854.0,0.0,8,,0.0,,0,chuk_rwanda
2022-01-01 23:00:00,15.5,90,13.8,6.8,12.2,0.0,853.4,0.0,63,,0.0,,2,chuk_rwanda
2022-01-02 00:00:00,15.0,92,13.8,7.1,13.0,0.0,852.7,0.0,37,,0.0,,1,chuk_rwanda
2022-01-02 01:00:00,14.6,93,13.5,6.4,12.6,0.0,851.8,0.0,6,,0.0,,0,chuk_rwanda
2022-01-02 02:00:00,14.1,91,12.6,6.3,12.6,0.0,851.4,0.0,44,,0.0,,1,chuk_rwanda
2022-01-02 03:00:00,14.0,90,12.4,6.6,12.2,0.0,851.2,0.0,5,,0.0,,0,chuk_rwanda
2022-01-02 04:00:00,13.4,92,12.1,6.0,11.5,0.0,851.2,0.0,13,,0.0,,0,chuk_rwanda
2022-01-02 05:00:00,12.9,93,11.9,6.0,10.8,0.0,851.5,0.0,4,,0.0,,0,chuk_rwanda
2022-01-02 06:00:00,12.3,96,11.6,6.2,11.2,0.0,851.6,0.0,4,,0.0,,0,chuk_rwanda
2022-01-02 07:00:00,14.2,90,12.5,5.7,13.0,0.0,853.3,72.0,7,,0.03,,0,chuk_rwanda
2022-01-02 08:00:00,18.6,75,14.1,1.6,12.2,0.0,856.1,297.0,1,,0.17,,0,chuk_rwanda
2022-01-02 09:00:00,21.2,65,14.2,1.9,10.8,0.0,857.0,539.0,0,,0.35,,0,chuk_rwanda
2022-01-02 10:00:00,23.0,59,14.6,3.9,15.5,0.0,857.2,740.0,0,,0.5,,0,chuk_rwanda
2022-01-02 11:00:00,24.8,53,14.5,4.9,24.5,0.0,856.9,890.0,8,,0.62,,0,chuk_rwanda
2022-01-02 12:00:00,26.2,48,14.3,8.0,24.1,0.0,856.1,951.0,21,,0.68,,1,chuk_rwanda
2022-01-02 13:00:00,26.9,43,13.2,9.0,25.2,0.0,854.7,865.0,16,,0.64,,0,chuk_rwanda
2022-01-02 14:00:00,26.5,42,12.5,9.4,25.2,0.0,853.9,856.0,25,,0.63,,1,chuk_rwanda
2022-01-02 15:00:00,26.4,42,12.4,9.7,24.1,0.0,852.9,694.0,28,,0.52,,1,chuk_rwanda
2022-01-02 16:00:00,26.0,43,12.6,8.7,24.1,0.0,852.7,478.0,32,,0.37,,1,chuk_rwanda
2022-01-02 17:00:00,25.2,46,12.9,8.3,20.9,0.0,852.3,274.0,31,,0.23,,1,chuk_rwanda
2022-01-02 18:00:00,23.0,54,13.2,9.3,20.2,0.0,851.9,79.0,47,,0.1,,1,chuk_rwanda
