datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,15.6,79,11.9,8.4,12.6,0.0,1018.3,0.0,0,,0.01,,0,dhaka_bangladesh
2022-01-01 01:00:00,15.0,83,12.1,8.8,13.7,0.0,1018.1,0.0,0,,0.01,,0,dhaka_bangladesh
2022-01-01 02:00:00,14.7,87,12.5,10.4,15.8,0.0,1017.8,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-01 03:00:00,14.8,88,12.9,12.4,19.8,0.0,1017.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-01 04:00:00,14.6,90,13.1,12.2,20.2,0.0,1016.8,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-01 05:00:00,14.4,92,13.1,11.4,19.8,0.0,1016.7,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-01 06:00:00,14.2,94,13.3,12.0,18.4,0.0,1017.4,0.0,3,,0.0,,0,dhaka_bangladesh
2022-01-01 07:00:00,14.3,94,13.4,11.6,19.1,0.0,1018.4,2.0,2,,0.01,,0,dhaka_bangladesh
2022-01-01 08:00:00,15.7,90,14.1,12.8,20.5,0.0,1018.9,84.0,85,,0.04,,3,dhaka_bangladesh
2022-01-01 09:00:00,17.6,83,14.7,12.7,23.8,0.0,1019.2,235.0,0,,0.13,,0,dhaka_bangladesh
2022-01-01 10:00:00,19.7,77,15.5,10.8,24.5,0.0,1019.1,412.0,16,,0.24,,0,dhaka_bangladesh
2022-01-01 11:00:00,21.5,68,15.4,12.4,25.6,0.0,1018.3,540.0,9,,0.33,,0,dhaka_bangladesh
2022-01-01 12:00:00,22.8,61,14.9,11.5,25.2,0.0,1017.3,607.0,0,,0.39,,0,dhaka_bangladesh
2022-01-01 13:00:00,23.5,58,14.6,10.5,24.1,0.0,1015.8,613.0,0,,0.41,,0,dhaka_bangladesh
2022-01-01 14:00:00,23.8,56,14.4,9.8,22.7,0.0,1014.9,548.0,2,,0.37,,0,dhaka_bangladesh
2022-01-01 15:00:00,23.8,55,14.1,8.9,20.9,0.0,1014.5,424.0,76,,0.3,,2,dhaka_bangladesh
2022-01-01 16:00:00,23.2,57,14.4,6.5,18.0,0.0,1014.3,250.0,0,,0.18,,0,dhaka_bangladesh
2022-01-01 17:00:00,20.7,76,16.2,7.4,10.4,0.0,1014.4,93.0,0,,0.07,,0,dhaka_bangladesh
2022-01-01 18:00:00,18.4,79,14.7,8.0,8.3,0.0,1014.5,4.0,87,,0.02,,3,dhaka_bangladesh
2022-01-01 19:00:00,18.0,81,14.7,7.4,10.8,0.0,1015.1,0.0,1,,0.01,,0,dhaka_bangladesh
2022-01-01 20:00:00,17.6,81,14.3,8.2,12.6,0.0,1016.0,0.0,0,,0.01,,0,dhaka_bangladesh
2022-01-01 21:00:00,17.4,80,13.9,8.7,13.3,0.0,1016.5,0.0,1,,0.01,,0,dhaka_bangladesh
2022-01-01 22:00:00,17.0,81,13.8,8.9,14.0,0.0,1016.4,0.0,0,,0.01,,0,dhaka_bangladesh
2022-01-01 23:00:00,16.4,83,13.6,8.2,14.4,0.0,1016.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-02 00:00:00,15.6,87,13.4,7.3,12.6,0.0,1016.0,0.0,43,,0.0,,1,dhaka_bangladesh
2022-01-02 01:00:00,15.1,89,13.4,8.3,12.6,0.0,1015.9,0.0,9,,0.0,,0,dhaka_bangladesh
2022-01-02 02:00:00,14.8,91,13.4,8.7,14.0,0.0,1015.4,0.0,3,,0.0,,0,dhaka_bangladesh
2022-01-02 03:00:00,14.5,93,13.4,8.2,14.0,0.0,1015.0,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-02 04:00:00,14.2,94,13.2,8.4,13.3,0.0,1014.7,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-02 05:00:00,14.1,94,13.1,8.4,13.7,0.0,1014.9,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-02 06:00:00,13.6,96,13.0,8.0,13.3,0.0,1015.7,0.0,8,,0.0,,0,dhaka_bangladesh
2022-01-02 07:00:00,13.6,96,12.9,8.3,13.0,0.0,1016.6,2.0,39,,0.0,,1,dhaka_bangladesh
2022-01-02 08:00:00,15.1,91,13.6,10.4,17.6,0.0,1017.4,83.0,15,,0.04,,0,dhaka_bangladesh
2022-01-02 09:00:00,17.1,84,14.3,10.2,20.2,0.0,1017.8,248.0,0,,0.13,,0,dhaka_bangladesh
2022-01-02 10:00:00,19.2,76,14.9,10.0,21.6,0.0,1017.4,415.0,0,,0.24,,0,dhaka_bangladesh
2022-01-02 11:00:00,21.1,70,15.4,9.1,22.0,0.0,1016.4,544.0,0,,0.33,,0,dhaka_bangladesh
2022-01-02 12:00:00,22.5,64,15.4,7.6,20.9,0.0,1015.3,616.0,0,,0.39,,0,dhaka_bangladesh
2022-01-02 13:00:00,23.5,58,14.7,6.6,19.1,0.0,1014.2,619.0,0,,0.41,,0,dhaka_bangladesh
2022-01-02 14:00:00,23.9,54,14.1,6.3,17.3,0.0,1013.2,555.0,0,,0.37,,0,dhaka_bangladesh
2022-01-02 15:00:00,23.9,54,14.0,5.7,15.8,0.0,1012.8,431.0,0,,0.29,,0,dhaka_bangladesh
2022-01-02 16:00:00,23.5,57,14.4,5.3,13.7,0.0,1012.8,266.0,0,,0.18,,0,dhaka_bangladesh
2022-01-02 17:00:00,20.9,75,16.4,7.3,9.0,0.0,1013.2,96.0,0,,0.07,,0,dhaka_bangladesh
2022-01-02 18:00:00,18.5,83,15.5,7.2,10.4,0.0,1013.8,4.0,0,,0.02,,0,dhaka_bangladesh
2022-01-02 19:00:00,18.2,83,15.2,8.9,14.0,0.0,1014.1,0.0,2,,0.01,,0,dhaka_bangladesh
2022-01-02 20:00:00,17.7,82,14.6,9.2,14.8,0.0,1014.8,0.0,75,,0.01,,2,dhaka_bangladesh
2022-01-02 21:00:00,17.4,82,14.2,10.3,16.2,0.0,1015.2,0.0,98,,0.01,,3,dhaka_bangladesh
2022-01-02 22:00:00,16.8,83,13.9,9.4,16.2,0.0,1015.1,0.0,85,,0.01,,3,dhaka_bangladesh
2022-01-02 23:00:00,16.0,87,13.8,7.8,14.8,0.0,1015.2,0.0,45,,0.0,,1,dhaka_bangladesh
2022-01-03 00:00:00,15.2,90,13.6,7.1,12.2,0.0,1014.9,0.0,20,,0.0,,1,dhaka_bangladesh
2022-01-03 01:00:00,14.1,93,13.0,7.1,10.8,0.0,1014.3,0.0,56,,0.0,,2,dhaka_bangladesh
2022-01-03 02:00:00,13.9,94,12.9,6.7,10.4,0.0,1013.7,0.0,82,,0.0,,3,dhaka_bangladesh
2022-01-03 03:00:00,13.8,94,12.9,7.4,11.5,0.0,1013.1,0.0,71,,0.0,,2,dhaka_bangladesh
2022-01-03 04:00:00,13.7,95,12.9,8.2,13.0,0.0,1013.2,0.0,100,,0.0,,3,dhaka_bangladesh
2022-01-03 05:00:00,13.6,95,12.8,7.9,13.3,0.0,1013.5,0.0,40,,0.0,,1,dhaka_bangladesh
2022-01-03 06:00:00,13.6,96,13.0,9.2,13.0,0.0,1014.5,0.0,49,,0.0,,1,dhaka_bangladesh
2022-01-03 07:00:00,13.5,97,13.0,7.6,14.4,0.0,1014.9,2.0,44,,0.0,,1,dhaka_bangladesh
2022-01-03 08:00:00,14.9,93,13.8,7.3,13.7,0.0,1015.4,80.0,58,,0.04,,2,dhaka_bangladesh
2022-01-03 09:00:00,16.7,86,14.4,9.0,18.7,0.0,1016.2,227.0,8,,0.12,,0,dhaka_bangladesh
2022-01-03 10:00:00,18.9,79,15.1,8.2,19.4,0.0,1016.0,406.0,38,,0.23,,1,dhaka_bangladesh
2022-01-03 11:00:00,20.8,71,15.4,7.7,19.1,0.0,1015.3,525.0,50,,0.32,,2,dhaka_bangladesh
2022-01-03 12:00:00,22.1,66,15.5,6.6,19.1,0.0,1013.7,582.0,0,,0.37,,0,dhaka_bangladesh
2022-01-03 13:00:00,23.2,62,15.5,7.1,18.0,0.0,1012.6,613.0,0,,0.4,,0,dhaka_bangladesh
2022-01-03 14:00:00,23.8,59,15.2,7.7,18.4,0.0,1011.7,553.0,0,,0.37,,0,dhaka_bangladesh
2022-01-03 15:00:00,23.9,57,14.8,8.4,18.0,0.0,1011.5,430.0,0,,0.3,,0,dhaka_bangladesh
2022-01-03 16:00:00,23.3,58,14.6,7.8,17.3,0.0,1011.5,266.0,0,,0.19,,0,dhaka_bangladesh
2022-01-03 17:00:00,20.6,74,15.8,6.2,12.6,0.0,1011.9,98.0,0,,0.07,,0,dhaka_bangladesh
2022-01-03 18:00:00,18.5,79,14.7,7.5,11.2,0.0,1012.6,4.0,0,,0.02,,0,dhaka_bangladesh
2022-01-03 19:00:00,17.9,79,14.1,7.9,12.2,0.0,1013.4,0.0,0,,0.01,,0,dhaka_bangladesh
2022-01-03 20:00:00,16.9,81,13.6,7.7,11.9,0.0,1013.9,0.0,0,,0.01,,0,dhaka_bangladesh
2022-01-03 21:00:00,16.0,84,13.3,7.6,11.5,0.0,1014.5,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-03 22:00:00,15.1,87,13.1,8.5,11.5,0.0,1014.8,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-03 23:00:00,14.9,88,12.9,7.4,11.5,0.0,1015.1,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 00:00:00,14.8,88,12.9,8.5,13.3,0.0,1015.3,0.0,5,,0.0,,0,dhaka_bangladesh
2022-01-04 01:00:00,14.4,90,12.6,8.0,13.3,0.0,1015.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 02:00:00,13.9,91,12.5,7.7,12.6,0.0,1014.6,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 03:00:00,13.6,92,12.4,7.6,11.9,0.0,1014.0,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 04:00:00,13.4,94,12.4,8.2,13.3,0.0,1013.6,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 05:00:00,13.2,95,12.4,7.7,13.7,0.0,1013.7,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 06:00:00,12.8,96,12.1,7.2,12.6,0.0,1014.7,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 07:00:00,12.6,97,12.1,6.7,11.9,0.0,1015.6,2.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 08:00:00,14.2,93,13.1,7.2,13.3,0.0,1016.5,83.0,0,,0.04,,0,dhaka_bangladesh
2022-01-04 09:00:00,16.1,87,13.9,6.3,15.1,0.0,1017.1,249.0,0,,0.12,,0,dhaka_bangladesh
2022-01-04 10:00:00,18.4,80,14.8,7.0,17.3,0.0,1017.1,416.0,0,,0.23,,0,dhaka_bangladesh
2022-01-04 11:00:00,20.4,72,15.1,6.9,18.0,0.0,1016.4,544.0,0,,0.32,,0,dhaka_bangladesh
2022-01-04 12:00:00,21.9,66,15.2,6.9,18.4,0.0,1015.2,616.0,0,,0.38,,0,dhaka_bangladesh
2022-01-04 13:00:00,23.0,62,15.2,6.7,18.0,0.0,1014.1,620.0,0,,0.4,,0,dhaka_bangladesh
2022-01-04 14:00:00,23.6,58,14.9,6.8,17.6,0.0,1013.3,556.0,0,,0.37,,0,dhaka_bangladesh
2022-01-04 15:00:00,23.8,57,14.6,6.0,16.6,0.0,1012.8,434.0,0,,0.29,,0,dhaka_bangladesh
2022-01-04 16:00:00,23.3,58,14.6,5.8,13.7,0.0,1012.8,270.0,0,,0.19,,0,dhaka_bangladesh
2022-01-04 17:00:00,20.4,79,16.5,7.5,9.7,0.0,1013.1,100.0,0,,0.07,,0,dhaka_bangladesh
2022-01-04 18:00:00,17.6,83,14.7,8.1,10.4,0.0,1013.5,5.0,0,,0.02,,0,dhaka_bangladesh
2022-01-04 19:00:00,16.9,84,14.2,7.6,10.8,0.0,1014.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 20:00:00,16.2,85,13.6,7.7,11.2,0.0,1014.8,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 21:00:00,15.6,86,13.1,8.3,11.5,0.0,1015.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 22:00:00,15.0,87,12.8,8.9,11.9,0.0,1015.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-04 23:00:00,14.8,88,12.8,7.4,11.9,0.0,1015.0,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 00:00:00,14.4,90,12.9,7.6,11.9,0.0,1014.8,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 01:00:00,14.1,92,12.9,7.4,11.9,0.0,1014.4,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 02:00:00,13.6,94,12.8,7.0,11.5,0.0,1013.9,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 03:00:00,13.1,96,12.4,7.2,10.4,0.0,1013.1,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 04:00:00,12.6,97,12.1,7.7,11.2,0.0,1013.0,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 05:00:00,12.1,98,11.8,8.4,11.2,0.0,1013.2,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 06:00:00,12.3,99,12.1,6.0,11.2,0.0,1014.3,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 07:00:00,12.1,99,11.9,6.1,10.4,0.0,1014.7,2.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 08:00:00,14.1,96,13.4,5.8,11.5,0.0,1015.3,77.0,0,,0.03,,0,dhaka_bangladesh
2022-01-05 09:00:00,16.3,89,14.6,5.2,13.3,0.0,1015.8,232.0,0,,0.12,,0,dhaka_bangladesh
2022-01-05 10:00:00,18.9,81,15.6,6.0,15.8,0.0,1016.1,414.0,24,,0.23,,1,dhaka_bangladesh
2022-01-05 11:00:00,20.9,73,15.9,6.6,17.6,0.0,1015.1,539.0,7,,0.32,,0,dhaka_bangladesh
2022-01-05 12:00:00,22.2,68,15.9,5.8,18.0,0.0,1014.1,618.0,3,,0.39,,0,dhaka_bangladesh
2022-01-05 13:00:00,23.1,64,15.9,5.0,16.6,0.0,1013.0,621.0,4,,0.4,,0,dhaka_bangladesh
2022-01-05 14:00:00,23.6,60,15.6,5.9,15.8,0.0,1012.1,560.0,0,,0.37,,0,dhaka_bangladesh
2022-01-05 15:00:00,23.8,58,14.9,5.4,15.8,0.0,1011.8,438.0,0,,0.29,,0,dhaka_bangladesh
2022-01-05 16:00:00,23.4,59,14.9,5.6,13.3,0.0,1011.9,273.0,0,,0.19,,0,dhaka_bangladesh
2022-01-05 17:00:00,20.6,75,16.0,5.8,10.1,0.0,1012.6,102.0,0,,0.07,,0,dhaka_bangladesh
2022-01-05 18:00:00,17.9,86,15.6,6.9,11.2,0.0,1013.1,5.0,0,,0.01,,0,dhaka_bangladesh
2022-01-05 19:00:00,16.8,89,15.0,8.6,11.2,0.0,1013.3,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 20:00:00,16.2,90,14.6,7.8,11.5,0.0,1013.9,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 21:00:00,15.1,92,13.9,10.2,11.9,0.0,1014.4,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 22:00:00,14.6,93,13.4,9.7,12.6,0.0,1014.7,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-05 23:00:00,14.7,93,13.5,7.4,11.9,0.0,1014.9,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-06 00:00:00,14.6,93,13.5,7.2,12.2,0.0,1014.8,0.0,0,,0.0,,0,dhaka_bangladesh
2022-01-06 01:00:00,13.9,95,13.1,7.6,11.2,0.0,1014.5,0.0,0,,0.0,,0,dhaka_bangladesh
