datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,25.5,65,18.4,28.3,27.7,0.0,1012.1,0.0,100,,0.13,,3,fann_senegal
2022-01-01 01:00:00,25.3,66,18.5,27.7,35.3,0.0,1012.0,0.0,100,,0.12,,3,fann_senegal
2022-01-01 02:00:00,25.2,67,18.6,26.5,34.9,0.0,1011.8,0.0,100,,0.11,,3,fann_senegal
2022-01-01 03:00:00,24.9,67,18.4,24.5,33.1,0.0,1011.4,0.0,92,,0.11,,3,fann_senegal
2022-01-01 04:00:00,24.6,69,18.4,23.8,30.6,0.0,1010.7,0.0,98,,0.1,,3,fann_senegal
2022-01-01 05:00:00,24.4,65,17.3,21.7,29.9,0.0,1010.7,0.0,100,,0.1,,3,fann_senegal
2022-01-01 06:00:00,24.3,60,16.0,19.9,27.4,0.0,1010.9,0.0,88,,0.11,,3,fann_senegal
2022-01-01 07:00:00,24.3,58,15.5,21.7,27.0,0.0,1011.2,0.0,97,,0.12,,3,fann_senegal
2022-01-01 08:00:00,24.2,52,13.7,22.9,29.2,0.0,1011.6,6.0,96,,0.16,,3,fann_senegal
2022-01-01 09:00:00,24.1,48,12.5,21.8,29.2,0.0,1012.6,113.0,98,,0.21,,3,fann_senegal
2022-01-01 10:00:00,24.4,45,11.9,18.9,28.1,0.0,1013.5,284.0,97,,0.29,,3,fann_senegal
2022-01-01 11:00:00,25.0,50,13.8,17.8,24.5,0.0,1013.3,457.0,99,,0.37,,3,fann_senegal
2022-01-01 12:00:00,26.6,46,14.1,18.1,23.0,0.0,1012.5,588.0,55,,0.47,,2,fann_senegal
2022-01-01 13:00:00,26.7,53,16.2,13.6,21.6,0.0,1011.7,775.0,100,,0.54,,3,fann_senegal
2022-01-01 14:00:00,26.4,60,17.9,12.7,15.8,0.0,1011.0,773.0,100,,0.53,,3,fann_senegal
2022-01-01 15:00:00,25.8,64,18.4,16.0,19.1,0.0,1010.3,722.0,100,,0.48,,3,fann_senegal
2022-01-01 16:00:00,26.2,58,17.2,19.9,23.8,0.0,1010.0,585.0,100,,0.43,,3,fann_senegal
2022-01-01 17:00:00,26.9,56,17.5,22.0,27.0,0.0,1009.9,374.0,100,,0.33,,3,fann_senegal
2022-01-01 18:00:00,26.4,60,18.1,22.4,27.4,0.0,1010.4,176.0,100,,0.22,,3,fann_senegal
2022-01-01 19:00:00,26.3,62,18.4,25.2,30.6,0.0,1010.7,33.0,100,,0.15,,3,fann_senegal
2022-01-01 20:00:00,26.3,61,18.3,27.6,34.2,0.0,1011.3,0.0,100,,0.14,,3,fann_senegal
2022-01-01 21:00:00,26.1,63,18.4,28.2,34.9,0.0,1012.2,0.0,100,,0.14,,3,fann_senegal
2022-01-01 22:00:00,25.9,65,18.9,29.3,36.7,0.0,1012.4,0.0,100,,0.13,,3,fann_senegal
2022-01-01 23:00:00,25.7,67,19.1,26.9,36.7,0.0,1012.7,0.0,100,,0.12,,3,fann_senegal
2022-01-02 00:00:00,25.5,64,18.3,24.2,33.5,0.0,1013.0,0.0,100,,0.12,,3,fann_senegal
2022-01-02 01:00:00,25.9,50,14.6,25.3,31.0,0.0,1012.8,0.0,78,,0.18,,2,fann_senegal
2022-01-02 02:00:00,26.0,44,12.7,27.7,34.2,0.0,1012.4,0.0,84,,0.22,,3,fann_senegal
2022-01-02 03:00:00,25.7,43,12.3,28.1,35.3,0.0,1012.0,0.0,78,,0.22,,2,fann_senegal
2022-01-02 04:00:00,25.3,43,12.0,27.4,35.3,0.0,1011.6,0.0,94,,0.21,,3,fann_senegal
2022-01-02 05:00:00,24.8,51,14.0,26.8,35.3,0.0,1011.4,0.0,99,,0.17,,3,fann_senegal
2022-01-02 06:00:00,24.4,52,13.8,22.8,33.5,0.0,1011.4,0.0,85,,0.15,,3,fann_senegal
2022-01-02 07:00:00,24.0,54,14.0,23.2,29.5,0.0,1011.7,0.0,85,,0.14,,3,fann_senegal
2022-01-02 08:00:00,23.7,47,11.8,25.0,32.4,0.0,1012.4,6.0,67,,0.18,,2,fann_senegal
2022-01-02 09:00:00,23.5,46,11.3,24.2,32.4,0.0,1013.0,128.0,98,,0.22,,3,fann_senegal
2022-01-02 10:00:00,24.1,43,10.6,22.9,31.3,0.0,1014.0,338.0,7,,0.33,,0,fann_senegal
2022-01-02 11:00:00,24.7,45,11.9,21.7,29.5,0.0,1013.7,548.0,74,,0.43,,2,fann_senegal
2022-01-02 12:00:00,26.3,42,12.4,20.9,27.4,0.0,1013.3,706.0,14,,0.53,,0,fann_senegal
2022-01-02 13:00:00,26.6,47,14.4,16.0,25.9,0.0,1012.6,798.0,0,,0.57,,0,fann_senegal
2022-01-02 14:00:00,26.3,55,16.5,13.8,18.7,0.0,1011.5,816.0,0,,0.56,,0,fann_senegal
2022-01-02 15:00:00,25.6,63,18.2,19.1,22.3,0.0,1010.8,757.0,15,,0.49,,0,fann_senegal
2022-01-02 16:00:00,25.3,60,16.9,25.7,31.0,0.0,1010.4,627.0,99,,0.43,,3,fann_senegal
2022-01-02 17:00:00,25.8,58,16.9,29.3,36.4,0.0,1009.8,428.0,93,,0.35,,3,fann_senegal
2022-01-02 18:00:00,25.8,61,17.6,29.1,36.4,0.0,1009.9,210.0,100,,0.24,,3,fann_senegal
2022-01-02 19:00:00,25.7,61,17.7,30.8,38.5,0.0,1010.3,41.0,21,,0.17,,1,fann_senegal
2022-01-02 20:00:00,25.6,61,17.5,29.6,38.5,0.0,1011.2,0.0,9,,0.15,,0,fann_senegal
2022-01-02 21:00:00,25.5,64,18.1,28.9,37.1,0.0,1012.0,0.0,12,,0.14,,0,fann_senegal
2022-01-02 22:00:00,25.4,65,18.3,29.7,37.1,0.0,1012.7,0.0,41,,0.13,,1,fann_senegal
