datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,11.3,81,8.1,7.6,14.4,0.0,1012.9,0.0,98,20240.0,0.0,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,10.8,82,7.8,6.1,11.9,0.0,1012.9,0.0,100,19000.0,0.0,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,10.1,84,7.5,4.0,7.6,0.0,1012.6,0.0,100,16360.0,0.0,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,8.0,90,6.4,6.1,12.2,0.0,1011.9,0.0,2,11560.0,0.0,0.0,0,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,7.0,91,5.6,4.7,10.1,0.0,1011.6,0.0,5,10520.0,0.0,0.0,0,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,7.8,89,6.1,7.6,14.0,0.0,1011.6,0.0,77,9640.0,0.0,0.0,2,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,7.6,90,6.1,6.1,11.5,0.0,1011.7,7.0,84,9080.0,0.01,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,8.8,86,6.6,7.9,14.8,0.0,1011.6,70.0,98,13420.0,0.03,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,9.5,84,6.9,7.9,14.8,0.0,1011.8,111.0,100,14440.0,0.06,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,9.9,83,7.2,9.4,17.3,0.0,1011.8,136.0,100,15820.0,0.07,10.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,10.7,80,7.3,9.7,19.1,0.0,1011.5,268.0,98,17400.0,0.13,10.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,12.1,73,7.4,9.7,20.2,0.0,1011.3,435.0,98,20240.0,0.21,20.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,13.2,65,6.8,9.0,19.4,0.0,1011.2,433.0,100,23420.0,0.23,20.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,14.1,59,6.2,7.6,18.7,0.0,1011.1,454.0,98,26140.0,0.25,40.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,15.1,52,5.3,5.8,16.6,0.0,1010.6,459.0,100,29560.0,0.27,50.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,15.6,48,4.6,6.8,16.6,0.0,1010.0,251.0,92,31160.0,0.18,30.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,14.9,55,5.9,10.1,19.1,0.0,1009.7,142.0,100,25880.0,0.14,20.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,13.6,68,7.8,16.6,31.0,0.0,1009.9,102.0,100,19180.0,0.11,40.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,12.8,76,8.7,15.1,28.1,0.0,1010.0,76.0,100,18720.0,0.08,60.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,11.3,88,9.3,13.0,23.4,0.2,1010.3,27.0,100,15000.0,0.04,50.0,51,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,11.1,85,8.6,9.4,17.6,0.1,1010.6,11.0,100,23720.0,0.03,30.0,51,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,11.1,70,5.8,18.4,34.6,0.0,1010.9,0.0,99,36860.0,0.06,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,10.5,75,6.2,16.2,30.6,0.0,1011.1,0.0,98,28900.0,0.03,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,10.0,75,5.7,17.6,33.5,0.0,1011.2,0.0,99,32200.0,0.03,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,9.7,74,5.3,17.6,33.1,0.0,1011.4,0.0,100,36360.0,0.03,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,9.5,76,5.4,15.5,28.8,0.0,1011.4,0.0,100,35180.0,0.02,10.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,9.2,76,5.1,15.1,28.4,0.0,1011.1,0.0,85,36200.0,0.02,0.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,8.3,81,5.2,13.0,25.2,0.0,1010.8,0.0,61,32740.0,0.01,0.0,2,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,7.6,82,4.7,11.5,22.3,0.0,1010.6,0.0,0,31080.0,0.01,0.0,0,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,6.7,85,4.3,11.9,22.7,0.0,1010.7,0.0,16,31280.0,0.0,0.0,0,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,7.1,81,4.0,13.7,25.6,0.0,1010.8,13.0,2,33000.0,0.01,0.0,0,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,7.3,78,3.7,15.8,29.5,0.0,1011.0,117.0,0,33740.0,0.05,0.0,0,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,8.7,74,4.3,17.6,32.8,0.0,1011.1,242.0,42,32060.0,0.1,20.0,1,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,9.5,67,3.7,18.4,34.6,0.0,1011.4,198.0,90,35520.0,0.12,50.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 10:00:00,9.7,66,3.7,18.4,34.6,0.0,1011.6,120.0,97,36700.0,0.1,40.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 11:00:00,11.4,51,1.6,18.0,35.6,0.0,1011.4,447.0,60,42880.0,0.24,70.0,2,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 12:00:00,11.1,60,3.6,24.8,46.8,0.0,1011.5,357.0,83,43020.0,0.2,90.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 13:00:00,11.1,58,3.1,19.4,37.8,0.0,1011.5,269.0,98,42580.0,0.17,60.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 14:00:00,11.5,55,2.8,19.1,36.7,0.0,1011.4,371.0,95,43080.0,0.21,80.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 15:00:00,11.1,65,4.7,21.6,41.0,0.0,1011.5,513.0,70,41800.0,0.23,100.0,2,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 16:00:00,10.7,64,4.2,18.0,34.6,0.0,1011.5,221.0,100,41040.0,0.14,60.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
2026-05-06 17:00:00,10.4,65,4.1,18.7,35.3,0.0,1011.5,123.0,100,41360.0,0.11,30.0,3,addenbrookes_nhs,2026-05-05T12:18:53+00:00
