datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,16.2,97,15.8,3.2,9.4,0.0,854.6,0.0,98,17960.0,0.0,260.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,15.9,98,15.6,4.2,9.0,0.0,853.7,0.0,99,18020.0,0.0,320.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,15.9,98,15.6,9.4,9.4,0.0,854.0,0.0,100,6720.0,0.0,250.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,16.4,96,15.8,7.8,18.4,0.0,853.6,0.0,98,17140.0,0.0,260.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,15.9,96,15.2,5.4,15.1,0.0,852.9,0.0,98,26420.0,0.0,180.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,15.4,96,14.9,4.8,10.4,0.0,853.0,0.0,100,21140.0,0.0,190.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,15.4,96,14.7,5.4,11.2,0.0,853.4,0.0,99,26700.0,0.01,210.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,16.8,94,15.9,6.0,14.4,0.0,854.3,83.0,100,25660.0,0.03,160.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,19.1,89,17.4,3.1,13.0,0.0,856.4,307.0,98,27820.0,0.18,680.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,21.3,78,17.3,4.7,19.1,0.0,857.7,544.0,96,32460.0,0.34,730.0,3,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,22.6,73,17.5,5.9,20.9,0.1,858.1,726.0,89,33000.0,0.48,890.0,51,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,23.5,70,17.7,7.6,23.0,0.0,857.6,872.0,65,35380.0,0.58,950.0,2,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,24.2,67,17.8,7.6,23.4,0.0,856.9,923.0,34,36760.0,0.63,1140.0,1,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,24.1,66,17.4,6.8,23.0,0.0,855.6,735.0,59,37980.0,0.51,1070.0,2,chuk_rwanda,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,24.1,65,17.0,7.2,22.0,0.2,854.2,683.0,100,8000.0,0.48,960.0,51,chuk_rwanda,2026-05-05T12:18:53+00:00
