datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,25.0,91,23.4,5.8,13.3,0.0,1008.8,0.0,100,17200.0,0.0,1120.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,24.9,92,23.5,3.6,11.5,0.0,1008.6,0.0,100,15440.0,0.0,1210.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,24.8,93,23.5,3.5,8.3,0.0,1008.2,0.0,100,15040.0,0.0,1290.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,24.6,93,23.5,3.7,7.6,0.0,1008.1,0.0,100,15420.0,0.0,1300.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,23.0,97,22.5,16.1,28.1,1.5,1009.3,0.0,100,3880.0,0.0,820.0,80,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,21.8,97,21.3,6.6,37.4,1.2,1008.8,0.0,100,3080.0,0.0,630.0,55,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,23.7,96,23.0,7.7,16.6,0.3,1008.0,9.0,39,11120.0,0.01,860.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,25.0,91,23.5,8.6,20.5,0.0,1008.4,116.0,57,15380.0,0.08,1150.0,2,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,26.5,86,24.0,6.3,21.2,0.0,1009.0,297.0,91,18720.0,0.2,1570.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,27.9,80,24.0,3.9,17.3,0.0,1009.8,466.0,93,20260.0,0.33,1740.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,28.5,75,23.8,2.4,14.4,0.0,1010.1,434.0,100,20100.0,0.32,1650.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,28.1,75,23.4,4.2,16.6,2.1,1010.1,445.0,72,11740.0,0.33,1350.0,80,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,29.0,74,23.8,3.2,19.1,0.7,1008.7,682.0,97,16800.0,0.5,1720.0,53,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,30.1,70,24.0,3.6,16.2,0.0,1007.4,861.0,96,22480.0,0.64,1590.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,30.1,70,24.1,6.0,18.7,0.1,1006.3,696.0,100,22860.0,0.52,1620.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,29.1,76,24.4,6.9,19.1,0.5,1005.2,305.0,100,9520.0,0.24,1270.0,53,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,29.3,75,24.4,4.8,17.6,0.1,1004.6,320.0,79,22060.0,0.25,960.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,27.9,77,23.5,8.2,20.9,0.2,1004.4,254.0,100,16560.0,0.19,970.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,27.4,82,24.1,4.4,18.7,0.0,1004.8,82.0,100,18980.0,0.07,930.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,26.6,87,24.2,5.3,10.8,0.0,1005.6,7.0,2,17940.0,0.01,1030.0,0,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,26.2,88,24.1,6.5,13.3,0.0,1006.6,0.0,5,17540.0,0.0,840.0,0,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,25.8,89,23.9,5.7,13.3,0.0,1007.3,0.0,1,17560.0,0.0,770.0,0,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,25.5,89,23.6,6.3,12.6,0.0,1007.7,0.0,87,17620.0,0.0,900.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,25.4,90,23.6,5.0,12.6,0.0,1007.7,0.0,100,17660.0,0.0,1060.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,25.4,90,23.6,4.9,10.1,0.0,1007.0,0.0,99,17840.0,0.0,1330.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,25.0,91,23.5,5.0,9.7,0.0,1006.4,0.0,89,16080.0,0.0,1440.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,24.8,93,23.5,5.8,11.5,0.0,1005.9,0.0,100,16180.0,0.0,1500.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,24.4,95,23.5,6.5,13.3,0.0,1005.3,0.0,6,16320.0,0.0,1450.0,0,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,24.1,97,23.6,5.6,13.3,0.0,1005.4,0.0,0,12220.0,0.0,1450.0,0,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,23.9,98,23.5,7.2,14.8,0.0,1005.4,0.0,6,12220.0,0.0,1450.0,0,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,23.9,98,23.5,5.6,14.8,0.0,1005.9,14.0,97,12120.0,0.01,1390.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,25.0,94,23.9,3.5,11.9,0.0,1007.0,131.0,45,15940.0,0.08,1400.0,1,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,26.6,86,24.0,5.4,15.8,0.0,1007.9,309.0,54,17620.0,0.21,1750.0,2,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,24.8,86,22.2,9.0,32.0,3.5,1008.7,484.0,31,4220.0,0.31,1980.0,81,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 10:00:00,26.2,80,22.5,8.0,23.0,0.3,1009.2,513.0,21,8780.0,0.35,1970.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 11:00:00,27.9,75,22.9,1.2,23.0,0.1,1008.2,658.0,100,20800.0,0.48,2080.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 12:00:00,29.5,68,23.0,7.9,24.1,0.0,1006.8,821.0,100,22820.0,0.6,1100.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 13:00:00,30.3,67,23.5,6.6,22.7,0.0,1005.7,841.0,59,23160.0,0.62,1360.0,2,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 14:00:00,30.5,66,23.3,6.8,22.3,0.0,1004.6,774.0,42,23440.0,0.58,1830.0,1,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 15:00:00,30.7,64,23.0,7.0,20.5,0.0,1003.3,630.0,81,23580.0,0.48,2060.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 16:00:00,30.1,67,23.2,8.5,21.6,0.0,1003.0,439.0,49,23620.0,0.34,2020.0,1,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 17:00:00,29.5,71,23.7,6.7,21.6,0.0,1002.5,240.0,97,23680.0,0.2,2110.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 18:00:00,28.8,78,24.5,4.7,15.1,0.0,1002.8,101.0,23,17060.0,0.08,2350.0,1,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 19:00:00,27.8,86,25.1,3.0,10.1,0.0,1003.7,7.0,23,21100.0,0.01,2190.0,1,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 20:00:00,27.5,86,25.0,2.9,5.8,0.0,1005.0,0.0,23,18700.0,0.0,2060.0,1,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 21:00:00,27.0,86,24.6,7.9,15.1,0.1,1006.0,0.0,61,12620.0,0.01,2120.0,51,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 22:00:00,26.6,88,24.4,11.3,21.2,0.0,1006.1,0.0,92,17720.0,0.01,2070.0,3,dhaka_bangladesh,2026-05-05T12:18:53+00:00
2026-05-06 23:00:00,23.1,93,22.0,19.0,34.9,4.2,1007.8,0.0,27,5080.0,0.01,1910.0,81,dhaka_bangladesh,2026-05-05T12:18:53+00:00
