datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,20.6,92,19.3,15.6,10.8,0.0,1011.3,0.0,100,29200.0,0.0,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,21.1,91,19.6,15.2,18.4,0.0,1011.1,0.0,99,29200.0,0.01,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,20.9,92,19.5,12.8,18.0,0.0,1010.8,0.0,99,29200.0,0.0,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,20.7,93,19.5,12.2,14.8,0.0,1010.4,0.0,98,27420.0,0.0,300.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,20.7,93,19.5,12.7,14.8,0.0,1009.9,0.0,96,27420.0,0.0,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,20.7,93,19.6,13.6,15.8,0.0,1010.2,0.0,99,27420.0,0.0,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,20.6,93,19.5,11.9,16.2,0.0,1010.4,0.0,93,27420.0,0.0,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,20.4,94,19.4,8.1,14.0,0.0,1010.8,1.0,86,27420.0,0.01,0.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,20.5,93,19.4,8.6,9.4,0.0,1011.5,79.0,87,27420.0,0.04,330.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,20.8,92,19.4,10.3,11.5,0.0,1012.4,267.0,58,27420.0,0.15,330.0,2,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,21.0,91,19.5,9.8,12.2,0.0,1013.0,482.0,0,29200.0,0.27,250.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,21.3,90,19.6,9.4,11.2,0.0,1013.4,673.0,0,29200.0,0.38,250.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,21.7,89,19.7,11.6,13.0,0.0,1013.0,817.0,2,29200.0,0.46,200.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,22.0,88,19.9,14.1,16.2,0.0,1012.4,895.0,8,880.0,0.49,40.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,22.4,86,20.0,15.9,18.7,0.0,1011.6,903.0,12,380.0,0.49,150.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,22.4,86,20.0,14.1,18.7,0.0,1010.8,839.0,75,440.0,0.47,50.0,2,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,22.7,84,19.9,17.0,19.4,0.0,1009.9,711.0,94,1100.0,0.39,160.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,22.4,86,20.0,14.7,20.9,0.0,1009.6,527.0,99,5160.0,0.3,160.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,22.0,90,20.2,15.3,17.6,0.0,1009.2,310.0,51,11780.0,0.17,90.0,2,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,21.6,92,20.3,14.3,18.0,0.0,1009.7,115.0,9,17180.0,0.07,110.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,21.4,93,20.3,15.9,18.7,0.0,1010.1,7.0,55,27420.0,0.01,110.0,2,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,21.3,94,20.2,14.1,19.8,0.0,1011.0,0.0,6,27420.0,0.0,130.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,21.2,94,20.2,13.9,16.6,0.0,1011.8,0.0,8,27420.0,0.0,160.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,21.1,95,20.3,15.4,18.0,0.0,1012.1,0.0,16,27420.0,0.0,150.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,20.9,95,20.2,16.2,19.4,0.0,1012.2,0.0,13,23400.0,0.0,160.0,0,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,20.7,95,19.9,12.4,19.4,0.0,1011.4,0.0,30,27420.0,0.0,160.0,1,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,20.5,95,19.7,12.4,14.4,0.0,1010.6,0.0,34,27420.0,0.0,150.0,1,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,20.4,95,19.6,15.2,18.4,0.0,1009.9,0.0,27,27420.0,0.0,140.0,1,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,20.2,95,19.4,11.5,18.0,0.0,1009.8,0.0,97,27420.0,0.0,140.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,20.1,95,19.2,9.3,13.3,0.0,1010.1,0.0,65,27420.0,0.0,150.0,2,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,20.1,95,19.2,7.1,10.8,0.0,1010.2,0.0,30,27420.0,0.0,130.0,1,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,19.9,95,19.1,4.5,7.9,0.0,1010.8,1.0,30,27420.0,0.01,160.0,1,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,20.2,93,19.0,9.6,10.8,0.0,1011.2,73.0,96,27420.0,0.04,140.0,3,fann_senegal,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,21.0,88,18.9,14.7,16.6,0.0,1011.7,267.0,78,30360.0,0.15,0.0,2,fann_senegal,2026-05-05T12:18:53+00:00
