datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,11.9,89,10.2,6.9,22.7,0.2,1006.7,0.0,55,14880.0,0.0,80.0,51,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,11.6,90,10.0,4.0,22.0,0.0,1006.5,0.0,34,14920.0,0.0,70.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,11.2,91,9.8,4.2,16.6,0.0,1006.5,0.0,13,15480.0,0.0,120.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,10.5,94,9.5,3.9,15.8,0.0,1006.2,0.0,14,29940.0,0.0,30.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,10.2,94,9.3,5.2,16.6,0.0,1005.9,0.0,41,22100.0,0.0,10.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,9.4,95,8.6,4.4,16.6,0.0,1005.8,0.0,20,30040.0,0.0,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,9.3,95,8.6,5.4,18.4,0.0,1006.0,0.0,9,30980.0,0.0,0.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,8.7,96,8.1,4.7,18.4,0.0,1006.4,0.0,4,31560.0,0.0,0.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,9.2,96,8.6,4.3,16.9,0.0,1006.9,14.0,27,32040.0,0.0,180.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,11.1,95,10.2,4.5,15.8,0.0,1007.8,147.0,12,32280.0,0.05,40.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,13.1,86,10.8,4.4,15.5,0.0,1008.4,318.0,6,39640.0,0.14,340.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,14.6,78,10.8,5.4,18.7,0.0,1008.6,458.0,12,42020.0,0.23,260.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,15.3,73,10.5,6.8,22.0,0.0,1008.3,544.0,6,39200.0,0.28,190.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,15.6,72,10.5,8.4,25.6,0.0,1007.8,612.0,15,44100.0,0.31,160.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,15.2,74,10.6,8.3,26.6,0.0,1007.4,575.0,9,44100.0,0.29,130.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,15.2,75,10.7,7.6,24.8,0.0,1007.3,507.0,9,44100.0,0.25,110.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,14.9,76,10.8,6.1,23.0,0.0,1007.5,384.0,5,44100.0,0.19,120.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,14.4,79,10.8,5.5,19.8,0.0,1007.9,222.0,6,44100.0,0.1,110.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,13.1,87,11.0,3.3,16.9,0.0,1008.4,56.0,5,39640.0,0.01,80.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,12.0,91,10.6,2.7,15.1,0.0,1008.9,0.0,4,36540.0,0.0,10.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,11.6,91,10.2,2.0,16.9,0.0,1009.4,0.0,2,36340.0,0.0,0.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,11.1,94,10.1,1.7,16.2,0.0,1009.7,0.0,1,31320.0,0.0,0.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,10.9,93,9.9,2.8,15.1,0.0,1009.9,0.0,13,14940.0,0.0,0.0,0,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,11.1,94,10.2,2.2,14.0,0.1,1010.1,0.0,100,5320.0,0.0,0.0,51,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,11.7,98,11.4,7.2,22.3,2.2,1009.8,0.0,94,3820.0,0.0,0.0,61,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,11.4,99,11.2,6.0,21.2,3.0,1009.3,0.0,84,8860.0,0.0,0.0,63,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,11.4,99,11.2,10.0,19.8,0.0,1009.4,0.0,94,22360.0,0.0,0.0,3,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,11.1,99,10.9,9.5,28.1,0.0,1009.4,0.0,69,3900.0,0.0,0.0,2,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,10.5,97,10.1,8.1,27.4,0.0,1009.1,0.0,24,7540.0,0.0,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,9.9,98,9.6,8.7,28.4,0.0,1009.5,0.0,24,15560.0,0.0,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,9.6,97,9.1,5.0,28.4,0.0,1009.6,0.0,20,32320.0,0.0,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,9.1,96,8.6,4.3,21.6,0.0,1010.6,0.0,34,32320.0,0.0,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,9.5,96,8.9,3.5,18.7,0.0,1011.5,14.0,70,32320.0,0.0,0.0,2,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,11.6,96,10.9,4.0,18.7,0.0,1012.1,149.0,84,24280.0,0.05,0.0,3,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 10:00:00,13.5,91,12.1,0.9,18.7,0.0,1012.2,324.0,27,32320.0,0.15,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 11:00:00,15.1,84,12.4,4.2,22.0,0.0,1012.1,466.0,34,36980.0,0.23,0.0,1,groote_schuur_sa,2026-05-05T12:18:53+00:00
2026-05-06 12:00:00,16.1,78,12.2,6.5,27.7,0.0,1011.4,511.0,100,44140.0,0.27,0.0,3,groote_schuur_sa,2026-05-05T12:18:53+00:00
