datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,16.1,79,12.5,2.9,6.8,0.0,1012.2,0.0,100,33120.0,0.0,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,15.7,80,12.3,2.9,6.1,0.0,1011.9,0.0,100,31940.0,0.0,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,15.4,82,12.3,2.6,6.1,0.0,1011.1,0.0,100,30420.0,0.0,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,15.4,82,12.3,2.5,5.8,0.0,1010.3,0.0,100,30460.0,0.0,10.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,15.0,82,12.0,2.6,5.8,0.0,1010.4,0.0,100,30080.0,0.0,10.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,15.0,82,11.9,2.4,5.4,0.0,1010.2,0.0,100,30500.0,0.0,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,14.9,82,11.8,2.4,5.8,0.0,1010.3,0.0,100,30280.0,0.0,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,14.4,83,11.6,2.5,5.4,0.0,1010.7,3.0,100,29580.0,0.01,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,15.0,81,11.8,2.1,5.8,0.0,1010.8,53.0,100,30700.0,0.04,0.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,16.3,72,11.2,2.1,7.2,0.0,1010.6,181.0,98,34840.0,0.11,10.0,3,ibn_sina_morocco,2026-05-05T12:18:53+00:00
