datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,9.7,90,8.2,6.5,13.7,0.0,1002.0,0.0,56,15420.0,0.0,0.0,2,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,8.9,92,7.7,5.8,13.0,0.0,1001.9,0.0,15,13140.0,0.0,0.0,0,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,7.5,96,6.9,5.8,13.0,0.0,1001.5,0.0,55,9680.0,0.0,0.0,2,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,7.6,95,6.9,6.1,12.6,0.0,1001.1,0.0,80,8900.0,0.0,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,7.8,96,7.2,8.6,17.3,0.0,1000.9,0.0,45,8580.0,0.0,0.0,1,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,7.8,96,7.2,4.0,7.9,0.0,1000.8,0.0,100,7080.0,0.0,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,8.2,95,7.4,2.2,5.0,0.0,1001.0,1.0,100,6500.0,0.01,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,9.0,91,7.6,10.1,19.1,0.0,1000.9,63.0,98,9840.0,0.03,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,9.4,83,6.7,12.6,24.5,0.0,1001.1,136.0,100,15660.0,0.07,10.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,10.7,72,5.9,13.0,26.3,0.0,1001.0,344.0,100,23640.0,0.15,20.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,12.1,68,6.4,13.3,27.0,0.0,1000.6,503.0,55,25560.0,0.23,20.0,2,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,13.6,61,6.3,12.6,28.1,0.0,1000.4,641.0,48,28860.0,0.31,50.0,1,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,14.5,56,5.8,13.0,28.4,0.0,1000.4,527.0,68,33700.0,0.29,60.0,2,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,14.7,54,5.5,11.9,26.3,0.0,1000.3,351.0,100,33880.0,0.23,60.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,14.7,57,6.3,12.2,26.6,0.0,1000.0,403.0,81,27680.0,0.24,70.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,15.1,55,6.1,10.8,23.8,0.0,999.5,434.0,88,28300.0,0.26,90.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,14.4,58,6.3,11.5,23.4,0.0,999.2,221.0,93,29440.0,0.16,50.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,13.8,61,6.4,11.9,23.8,0.0,999.2,152.0,100,26360.0,0.13,40.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,13.7,62,6.5,10.1,20.2,0.0,999.2,116.0,98,28140.0,0.11,40.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,13.5,62,6.4,11.5,22.7,0.0,999.2,87.0,100,27960.0,0.09,30.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,12.3,71,7.2,14.0,28.1,0.0,999.4,31.0,100,20640.0,0.06,30.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,10.9,83,8.2,14.4,28.4,0.0,999.8,0.0,97,24340.0,0.03,40.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,10.4,78,6.7,15.1,29.9,0.0,1000.0,0.0,100,29880.0,0.02,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,9.9,77,6.1,14.8,29.9,0.0,1000.2,0.0,100,34760.0,0.02,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,9.5,79,6.1,14.8,29.5,0.0,1000.4,0.0,98,30660.0,0.02,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,9.3,79,5.8,13.3,26.3,0.0,1000.5,0.0,100,34440.0,0.02,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,8.8,81,5.7,13.7,26.6,0.0,1000.4,0.0,96,34000.0,0.01,10.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,8.4,80,5.2,13.0,25.6,0.0,1000.3,0.0,97,35320.0,0.01,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,8.3,78,4.7,12.2,23.8,0.0,1000.0,0.0,98,36720.0,0.01,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,8.0,78,4.4,13.7,26.6,0.0,1000.0,0.0,98,35920.0,0.02,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,7.6,77,3.9,11.5,23.0,0.0,1000.4,4.0,90,35620.0,0.03,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,7.5,76,3.5,14.8,29.2,0.0,1000.5,70.0,81,34680.0,0.05,0.0,3,john_radcliffe_nhs,2026-05-05T12:18:53+00:00
