datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,16.0,59,8.0,6.5,23.0,0.0,1016.1,0.0,2,40140.0,0.02,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,15.3,64,8.5,4.8,14.0,0.0,1015.7,0.0,19,39200.0,0.01,0.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,14.7,68,8.8,4.1,10.4,0.0,1015.4,0.0,0,38240.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,14.5,69,8.9,2.4,8.3,0.0,1014.5,0.0,35,37980.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,14.2,71,9.1,1.5,5.4,0.0,1014.4,0.0,52,37220.0,0.0,10.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,14.3,71,9.1,1.8,3.2,0.0,1014.3,0.0,66,37160.0,0.0,20.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,14.3,71,9.1,2.6,4.0,0.0,1013.9,0.0,50,37380.0,0.0,10.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,14.5,72,9.5,3.0,6.8,0.0,1014.5,29.0,67,36480.0,0.02,20.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,16.0,64,9.2,5.1,13.3,0.0,1014.8,155.0,60,38400.0,0.09,30.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,17.9,53,8.2,7.7,20.2,0.0,1014.8,350.0,52,40480.0,0.22,30.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,19.3,45,7.1,11.2,28.1,0.0,1014.8,516.0,63,41440.0,0.34,20.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,20.6,39,6.1,12.0,30.6,0.0,1015.3,645.0,74,42240.0,0.43,20.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,21.7,35,5.6,13.0,32.8,0.0,1014.6,782.0,62,42960.0,0.52,20.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,22.6,32,5.1,13.3,34.2,0.0,1014.5,796.0,42,44040.0,0.55,20.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,23.9,28,4.3,13.4,34.2,0.0,1013.7,937.0,60,45640.0,0.64,40.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,24.4,26,3.6,12.9,34.2,0.0,1013.2,816.0,36,47340.0,0.59,40.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,24.7,26,3.9,13.2,33.1,0.0,1012.8,740.0,40,47680.0,0.54,40.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,24.7,25,3.3,12.9,34.6,0.0,1012.1,540.0,45,48820.0,0.43,30.0,2,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,23.7,29,4.6,16.6,39.6,0.0,1012.6,326.0,41,46560.0,0.32,20.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,22.5,28,3.1,13.6,38.5,0.0,1012.7,147.0,19,47700.0,0.2,10.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,20.9,33,4.1,13.9,32.8,0.0,1013.4,13.0,8,45560.0,0.13,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,19.6,37,4.5,12.8,31.3,0.0,1014.3,0.0,8,43860.0,0.11,0.0,1,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,18.2,42,5.1,10.9,32.4,0.0,1015.0,0.0,0,42640.0,0.08,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,17.2,47,5.8,9.1,24.5,0.0,1015.2,0.0,0,41700.0,0.06,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,16.2,53,6.6,6.2,20.5,0.0,1015.2,0.0,0,41020.0,0.03,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,15.4,59,7.4,4.1,13.3,0.0,1014.9,0.0,0,40240.0,0.01,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,14.7,63,7.7,2.6,9.0,0.0,1014.6,0.0,0,39460.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,14.1,67,8.1,2.3,5.4,0.0,1014.3,0.0,0,38740.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,13.7,71,8.5,1.8,4.3,0.0,1014.2,0.0,0,38180.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,13.4,70,8.0,2.9,4.0,0.0,1014.1,0.0,0,37680.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,12.9,72,8.0,2.2,4.0,0.0,1014.4,0.0,0,37240.0,0.0,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,12.7,72,7.8,1.9,4.0,0.0,1015.0,40.0,0,36520.0,0.01,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,15.1,61,7.6,2.1,6.8,0.0,1015.5,221.0,0,39380.0,0.1,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,17.8,51,7.5,5.2,14.0,0.0,1016.2,446.0,0,40760.0,0.25,0.0,0,kasr_alainy_egypt,2026-05-05T12:18:53+00:00
