datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,17.4,91,15.9,2.4,3.6,0.0,833.4,0.0,68,41940.0,0.0,240.0,2,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,17.5,90,15.9,5.3,8.6,0.0,833.2,0.0,84,25960.0,0.0,300.0,3,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,17.1,93,15.9,5.5,9.7,0.0,832.6,0.0,44,29020.0,0.0,280.0,1,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,17.1,94,16.1,1.6,9.7,0.0,832.3,0.0,100,20240.0,0.0,270.0,3,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,17.0,93,15.9,2.4,5.8,0.0,832.3,0.0,100,20920.0,0.0,270.0,3,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,16.5,96,15.9,1.5,5.8,0.1,832.1,0.0,100,13100.0,0.0,220.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,16.4,97,15.9,0.8,4.0,0.0,832.3,0.0,100,19000.0,0.0,220.0,3,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,16.7,95,15.9,1.7,4.3,0.0,832.9,9.0,100,19960.0,0.01,180.0,3,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,17.1,91,15.8,2.1,9.4,0.2,833.6,100.0,47,18320.0,0.06,130.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,18.7,82,15.6,4.0,14.0,0.1,834.7,305.0,96,26840.0,0.19,130.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,19.7,79,15.9,5.1,17.3,0.3,835.2,483.0,88,6600.0,0.31,130.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,21.1,70,15.6,5.5,18.7,0.3,835.6,655.0,70,14660.0,0.43,170.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,22.6,64,15.4,8.2,23.8,0.1,835.3,863.0,55,18380.0,0.57,210.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,23.1,63,15.6,10.3,28.1,0.1,834.4,930.0,23,13680.0,0.62,250.0,51,kenyatta_kenya,2026-05-05T12:18:53+00:00
