datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,13.6,73,8.9,11.5,25.6,0.0,1012.8,0.0,100,19400.0,0.02,10.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,12.3,86,10.0,10.4,22.7,0.0,1012.9,0.0,100,12460.0,0.0,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,11.9,83,9.1,8.6,19.1,0.0,1012.6,0.0,100,15920.0,0.0,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,11.6,83,8.8,8.3,18.4,0.0,1011.9,0.0,100,15560.0,0.0,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,11.4,86,9.2,6.8,15.5,0.1,1011.6,0.0,100,10160.0,0.0,10.0,51,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,11.4,84,8.8,8.6,19.1,0.0,1011.5,0.0,100,11720.0,0.0,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,11.4,82,8.5,7.6,16.6,0.0,1011.7,3.0,100,12340.0,0.02,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,11.7,80,8.3,8.3,17.6,0.0,1011.2,45.0,100,12640.0,0.04,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,12.1,74,7.6,8.6,19.4,0.0,1011.5,36.0,100,14000.0,0.05,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,12.4,69,6.9,9.4,21.2,0.0,1011.5,143.0,98,15300.0,0.1,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,13.0,63,6.1,10.1,23.0,0.0,1011.3,202.0,99,16520.0,0.14,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,13.9,56,5.3,10.4,24.8,0.0,1011.1,386.0,91,18240.0,0.22,30.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,15.4,45,3.5,11.9,28.4,0.0,1011.1,521.0,92,21740.0,0.31,60.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,16.3,41,3.0,11.2,28.1,0.0,1010.7,623.0,93,23300.0,0.37,80.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,16.7,42,3.7,11.2,27.4,0.0,1010.4,432.0,79,23320.0,0.29,90.0,2,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,17.1,42,4.1,10.4,26.6,0.0,1009.9,285.0,100,23580.0,0.23,80.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,17.1,42,4.1,11.2,27.4,0.0,1009.5,219.0,100,22880.0,0.2,90.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,16.1,50,5.7,13.3,30.2,0.0,1009.4,97.0,100,22000.0,0.14,70.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,15.8,51,5.7,8.3,19.8,0.0,1009.3,64.0,100,20480.0,0.1,50.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,15.6,53,6.0,10.4,23.8,0.0,1009.3,28.0,99,21060.0,0.09,50.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,15.2,55,6.2,11.2,25.6,0.0,1009.6,17.0,100,21560.0,0.08,60.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,13.6,67,7.6,16.9,36.7,0.0,1010.2,0.0,100,20240.0,0.07,60.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,12.7,70,7.3,15.8,34.2,0.0,1010.5,0.0,100,24120.0,0.04,40.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,12.3,68,6.6,14.8,32.8,0.0,1010.7,0.0,100,28520.0,0.04,20.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,11.4,69,5.9,15.8,34.6,0.1,1011.0,0.0,100,24680.0,0.04,10.0,51,kings_college_nhs,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,11.1,69,5.6,13.7,30.6,0.0,1011.0,0.0,100,29160.0,0.03,10.0,3,kings_college_nhs,2026-05-05T12:18:53+00:00
