datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,27.9,86,25.3,5.6,16.2,0.0,1010.1,0.0,22,43380.0,0.0,3080.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,27.6,88,25.3,6.4,13.0,0.0,1009.9,0.0,21,39880.0,0.0,3110.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,27.3,89,25.3,6.3,13.0,0.0,1009.3,0.0,20,41460.0,0.0,3090.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,26.9,92,25.4,6.4,13.0,0.0,1009.3,0.0,27,38200.0,0.0,3120.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,26.5,94,25.5,6.0,13.0,0.0,1009.6,0.0,28,42640.0,0.0,3090.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,26.1,96,25.3,6.3,12.6,0.0,1009.7,0.0,10,38120.0,0.0,2840.0,0,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,26.0,95,25.2,5.1,12.6,0.0,1010.0,1.0,10,39700.0,0.0,3430.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,27.1,91,25.4,3.5,10.4,0.0,1010.8,89.0,9,36200.0,0.06,3630.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,28.6,81,25.1,7.4,20.9,0.2,1011.4,295.0,12,19420.0,0.21,3000.0,95,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,29.8,74,24.7,8.3,24.8,0.2,1011.7,493.0,94,13920.0,0.36,2680.0,51,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,30.8,69,24.5,9.5,27.7,0.1,1011.6,654.0,98,22600.0,0.49,2600.0,51,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,31.5,66,24.5,11.2,32.4,0.0,1011.2,808.0,100,39180.0,0.61,2250.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,32.0,64,24.2,13.7,37.8,0.0,1010.6,908.0,99,53800.0,0.68,1850.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,31.9,63,23.9,14.8,40.7,0.1,1009.4,889.0,98,34580.0,0.67,2080.0,51,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,31.6,63,23.8,15.5,41.4,0.0,1008.6,813.0,100,41140.0,0.61,2610.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,31.1,65,23.9,15.5,41.4,0.0,1007.8,631.0,100,53860.0,0.49,2550.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,30.6,69,24.2,17.1,43.6,0.0,1007.5,496.0,100,52860.0,0.39,2520.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,29.9,70,24.0,16.9,43.6,0.0,1007.7,281.0,41,52880.0,0.25,2460.0,1,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,29.1,73,23.9,16.1,41.8,0.1,1008.5,68.0,50,52900.0,0.11,1890.0,51,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,28.7,77,24.2,14.2,38.2,0.1,1008.5,0.0,21,34500.0,0.07,1870.0,51,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,28.7,77,24.2,14.2,35.6,0.0,1009.1,0.0,100,40860.0,0.05,1890.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,28.6,78,24.3,12.2,33.1,0.0,1010.3,0.0,100,52960.0,0.04,2180.0,3,korle_bu_ghana,2026-05-05T12:18:53+00:00
