datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,21.0,88,19.0,11.0,19.4,0.0,890.9,0.0,98,36200.0,0.0,1000.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,20.8,87,18.6,11.0,19.1,0.0,890.5,0.0,100,36300.0,0.0,1030.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,20.6,87,18.5,10.8,18.7,0.0,889.8,0.0,100,36400.0,0.0,980.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,20.5,87,18.4,10.4,20.9,0.0,889.5,0.0,90,36440.0,0.0,870.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,20.2,91,18.7,12.9,21.2,1.0,889.3,0.0,66,36480.0,0.0,1330.0,55,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,20.2,93,19.0,10.6,21.6,0.0,889.3,0.0,44,33740.0,0.0,1870.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,19.7,96,19.0,10.8,18.0,1.2,889.5,0.0,95,16660.0,0.0,1550.0,55,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,20.0,95,19.2,10.5,19.1,0.0,889.6,3.0,95,28020.0,0.0,1380.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,21.6,93,20.5,11.0,20.5,0.0,890.7,120.0,89,33580.0,0.07,1620.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,24.0,83,21.0,9.9,21.6,0.0,892.4,343.0,97,37480.0,0.22,3510.0,95,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,23.0,76,18.5,19.5,38.5,1.3,893.3,522.0,99,5980.0,0.33,1620.0,80,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,22.6,85,19.9,13.9,38.9,0.2,893.1,323.0,100,19900.0,0.22,1550.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,25.4,75,20.7,13.6,30.6,0.4,893.4,694.0,100,16960.0,0.47,2670.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,25.9,73,20.7,12.2,30.2,0.2,892.7,672.0,100,11640.0,0.47,1540.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,27.0,68,20.5,8.9,27.4,0.1,891.8,828.0,100,25940.0,0.59,1240.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,26.8,66,19.8,10.3,25.6,0.1,890.6,696.0,100,43280.0,0.5,1530.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,27.1,64,19.8,8.5,24.5,0.0,889.3,542.0,100,43520.0,0.4,1930.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,25.0,70,19.1,11.0,21.6,0.0,889.2,400.0,100,14280.0,0.29,2130.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,21.8,83,18.9,7.1,29.5,0.1,888.3,118.0,100,18880.0,0.09,2230.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,20.9,90,19.1,9.6,16.2,0.0,889.1,36.0,100,26760.0,0.03,2120.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,21.0,90,19.3,9.7,19.1,0.0,889.6,0.0,100,33760.0,0.0,1890.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,21.0,92,19.6,9.1,16.2,0.0,890.5,0.0,100,33600.0,0.0,2090.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,20.6,94,19.6,8.6,17.3,0.0,891.3,0.0,100,33220.0,0.0,1980.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,20.1,95,19.4,7.7,14.8,0.0,891.5,0.0,100,33320.0,0.0,1400.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,19.9,96,19.2,8.1,13.7,0.0,891.4,0.0,100,27100.0,0.0,1690.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,19.8,95,19.0,10.3,17.3,0.0,890.8,0.0,100,33460.0,0.0,1530.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,19.6,95,18.8,10.0,17.6,0.0,890.3,0.0,100,33600.0,0.0,1470.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,19.5,95,18.6,10.7,18.7,0.0,889.8,0.0,99,33660.0,0.0,1470.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,19.3,95,18.5,9.3,18.7,0.0,889.4,0.0,100,33700.0,0.0,1340.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,19.1,95,18.4,9.4,15.8,0.0,889.4,0.0,1,33700.0,0.0,1170.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,19.1,96,18.4,9.6,16.2,0.0,889.5,0.0,0,33700.0,0.0,1070.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,19.0,96,18.4,9.4,16.2,0.0,889.8,4.0,0,33620.0,0.0,920.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,20.9,90,19.1,8.6,17.6,0.0,891.2,116.0,0,36200.0,0.07,1000.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,23.4,81,20.0,9.1,20.5,0.0,892.9,338.0,0,38440.0,0.22,1830.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 10:00:00,25.3,73,20.0,10.7,24.8,0.0,893.5,579.0,6,41080.0,0.39,2290.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 11:00:00,26.5,66,19.8,10.1,25.2,0.1,893.7,764.0,15,42500.0,0.53,2460.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 12:00:00,27.5,63,19.9,9.3,25.2,0.1,893.4,843.0,32,42740.0,0.61,2520.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 13:00:00,28.4,60,19.9,7.4,24.8,0.0,892.4,920.0,96,44300.0,0.67,2600.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 14:00:00,28.6,58,19.5,6.4,22.0,0.0,891.3,864.0,100,44540.0,0.64,2430.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 15:00:00,28.6,56,19.1,6.4,19.8,0.0,889.8,686.0,96,44800.0,0.52,2110.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 16:00:00,26.6,63,19.1,5.7,18.7,0.1,888.5,531.0,100,41200.0,0.39,1850.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 17:00:00,23.6,77,19.4,4.5,16.9,2.2,888.5,290.0,100,7600.0,0.21,1680.0,80,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 18:00:00,22.7,83,19.6,6.3,13.0,0.2,888.2,110.0,100,19120.0,0.09,1350.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 19:00:00,21.9,91,20.3,5.7,15.1,0.0,888.1,34.0,100,30900.0,0.02,1390.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 20:00:00,21.6,92,20.3,6.1,14.0,0.0,889.1,0.0,100,32140.0,0.0,1310.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 21:00:00,21.3,93,20.1,5.5,10.1,0.0,890.2,0.0,100,33000.0,0.0,1410.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 22:00:00,21.3,92,20.0,7.2,12.2,0.0,890.9,0.0,100,33560.0,0.0,1400.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-06 23:00:00,20.9,93,19.6,7.6,12.6,0.0,890.8,0.0,96,33520.0,0.0,1140.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 00:00:00,20.8,93,19.5,8.1,13.0,0.0,890.5,0.0,100,33560.0,0.0,1010.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 01:00:00,20.6,92,19.3,9.9,16.6,0.0,890.0,0.0,100,33660.0,0.0,1080.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 02:00:00,20.4,92,19.1,10.2,18.0,0.0,889.5,0.0,95,33740.0,0.0,1560.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 03:00:00,20.1,93,19.0,9.1,17.3,0.0,888.9,0.0,52,33840.0,0.0,1580.0,2,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 04:00:00,20.0,95,19.0,9.1,15.5,0.0,888.4,0.0,73,33880.0,0.0,1450.0,2,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 05:00:00,19.7,95,19.0,8.9,15.8,0.0,888.5,0.0,94,33880.0,0.0,1400.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 06:00:00,19.5,97,19.0,8.5,15.1,0.0,888.9,0.0,23,27160.0,0.0,1570.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 07:00:00,19.8,97,19.3,9.5,15.8,0.0,889.5,3.0,2,27000.0,0.0,1680.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 08:00:00,21.6,93,20.5,10.1,19.8,0.0,891.0,122.0,1,33580.0,0.07,1750.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 09:00:00,24.0,85,21.2,10.6,23.8,0.0,892.7,346.0,10,36100.0,0.22,3040.0,95,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 10:00:00,25.4,77,21.0,11.1,25.9,0.2,893.6,535.0,71,41080.0,0.36,2670.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 11:00:00,26.5,71,20.9,10.7,27.0,0.1,893.7,717.0,84,41180.0,0.5,2770.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 12:00:00,27.6,65,20.5,9.4,27.0,0.0,893.3,812.0,59,42780.0,0.58,2980.0,2,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 13:00:00,28.5,60,19.9,9.1,25.6,0.0,892.4,852.0,88,44320.0,0.63,2710.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 14:00:00,28.2,59,19.4,9.2,24.1,0.1,891.0,682.0,34,44580.0,0.52,1970.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 15:00:00,28.0,61,19.8,8.2,24.1,0.2,889.6,668.0,31,43500.0,0.5,1840.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 16:00:00,27.8,62,19.8,9.7,26.6,0.2,888.8,576.0,23,43620.0,0.43,1790.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 17:00:00,27.3,62,19.3,7.7,25.6,0.0,888.2,445.0,20,43700.0,0.33,1550.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 18:00:00,26.1,64,18.9,5.6,20.2,0.0,888.3,216.0,39,43600.0,0.16,1790.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 19:00:00,24.0,79,20.1,5.4,10.4,0.2,888.6,39.0,20,18220.0,0.04,2760.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 20:00:00,23.0,84,20.1,5.2,9.7,0.0,889.0,0.0,31,34420.0,0.0,2830.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 21:00:00,22.0,90,20.3,4.8,9.0,0.0,889.7,0.0,17,36180.0,0.0,2370.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 22:00:00,21.8,91,20.1,7.8,13.0,0.0,890.2,0.0,5,36440.0,0.0,2170.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-07 23:00:00,21.6,89,19.8,10.0,16.2,0.0,890.3,0.0,5,36160.0,0.0,1830.0,0,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 00:00:00,21.2,91,19.8,11.1,18.7,0.0,890.3,0.0,26,36440.0,0.0,1810.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 01:00:00,20.8,94,19.7,11.4,19.1,0.0,889.9,0.0,100,33740.0,0.0,1650.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 02:00:00,18.6,96,18.0,17.3,29.9,6.3,890.9,0.0,100,5520.0,0.0,1580.0,81,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 03:00:00,18.9,96,18.1,6.4,31.0,2.5,889.6,0.0,99,13420.0,0.0,1780.0,81,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 04:00:00,18.8,96,18.1,5.2,12.2,0.0,889.2,0.0,33,25920.0,0.0,1550.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 05:00:00,18.6,98,18.3,5.1,9.7,0.0,888.7,0.0,100,27500.0,0.0,830.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 06:00:00,18.5,98,18.1,0.5,11.2,0.0,889.2,0.0,100,27460.0,0.0,690.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 07:00:00,18.2,98,18.0,3.5,5.8,0.0,888.9,3.0,99,27460.0,0.0,630.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 08:00:00,20.5,93,19.3,3.6,11.9,0.0,890.3,123.0,100,33660.0,0.06,830.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 09:00:00,22.9,86,20.5,5.1,14.8,0.0,892.1,345.0,100,36240.0,0.22,1810.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 10:00:00,25.0,75,20.4,7.3,19.4,0.0,893.0,584.0,100,35580.0,0.39,2750.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 11:00:00,26.5,65,19.3,9.8,24.8,0.1,893.2,751.0,92,19740.0,0.53,3120.0,95,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 12:00:00,27.3,63,19.6,8.5,25.2,0.1,892.7,837.0,97,25820.0,0.6,2940.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 13:00:00,28.0,62,20.1,6.9,23.4,0.0,891.9,904.0,98,43100.0,0.66,2790.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 14:00:00,28.4,61,20.2,5.1,21.2,0.0,890.7,896.0,100,43320.0,0.66,2340.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 15:00:00,28.5,61,20.2,4.3,19.1,0.0,889.5,818.0,46,44820.0,0.6,2230.0,1,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 16:00:00,28.4,61,20.1,3.3,16.6,0.0,888.6,667.0,72,43680.0,0.49,2180.0,2,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 17:00:00,27.4,64,20.1,0.6,13.3,0.2,888.1,447.0,75,43700.0,0.32,2000.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 18:00:00,24.5,79,20.6,3.1,10.4,2.3,888.3,222.0,98,20700.0,0.15,1910.0,80,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 19:00:00,23.0,90,21.2,3.8,11.2,0.3,888.1,35.0,100,26060.0,0.02,2070.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 20:00:00,22.0,93,20.9,9.8,15.8,0.0,888.9,0.0,100,21680.0,0.0,2210.0,3,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 21:00:00,21.8,91,20.3,8.9,16.9,0.0,890.1,0.0,76,33180.0,0.0,2050.0,2,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 22:00:00,21.2,93,20.1,9.6,17.3,0.4,890.3,0.0,17,27620.0,0.0,1750.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-08 23:00:00,20.8,94,19.9,11.2,16.9,0.4,890.4,0.0,17,22040.0,0.0,1870.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
2026-05-09 00:00:00,20.4,95,19.5,11.0,17.3,0.4,890.3,0.0,12,16480.0,0.0,1760.0,51,lacor_uganda,2026-05-05T12:18:53+00:00
