datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,27.7,81,24.1,5.2,11.2,0.0,1009.5,0.0,99,47180.0,0.01,1980.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,27.1,85,24.3,6.3,11.5,0.0,1008.9,0.0,88,47180.0,0.0,2000.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,27.2,84,24.2,5.9,12.6,0.0,1008.6,0.0,60,47200.0,0.0,2180.0,2,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,27.0,85,24.2,5.2,11.5,0.0,1008.2,0.0,52,45520.0,0.0,2170.0,2,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,27.0,85,24.3,5.5,9.7,0.0,1008.4,0.0,16,45540.0,0.0,2250.0,0,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,27.0,85,24.4,6.1,11.2,0.0,1008.9,0.0,11,45560.0,0.0,2320.0,0,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,27.0,85,24.4,5.7,11.2,0.0,1009.4,0.0,23,45580.0,0.0,2410.0,1,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,27.1,85,24.5,4.6,10.1,0.0,1009.8,7.0,20,39460.0,0.01,2840.0,1,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,28.3,79,24.4,4.9,13.0,0.0,1010.4,127.0,11,43600.0,0.1,2850.0,0,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,29.8,70,23.8,6.6,20.2,0.0,1010.9,336.0,16,43920.0,0.26,2660.0,0,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,31.1,63,23.2,7.8,24.5,0.0,1010.9,546.0,23,50040.0,0.42,2290.0,1,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,32.2,57,22.5,9.3,28.8,0.0,1010.7,705.0,20,50860.0,0.55,2350.0,1,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,32.6,56,22.7,9.5,30.6,0.0,1010.3,836.0,48,50880.0,0.65,1890.0,1,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,32.5,58,23.2,10.5,32.4,0.0,1009.5,874.0,93,50080.0,0.68,2170.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,31.6,62,23.4,11.1,35.3,0.0,1008.8,720.0,99,50100.0,0.56,2380.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,31.7,61,23.2,13.3,37.4,0.0,1008.0,631.0,99,50120.0,0.51,2580.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,31.5,61,23.2,12.1,38.2,0.0,1007.1,539.0,97,34740.0,0.44,2630.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,31.0,62,23.0,13.3,35.6,0.0,1006.4,350.0,99,50140.0,0.31,2570.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,29.6,72,24.0,14.7,37.8,0.0,1006.7,197.0,100,49240.0,0.19,2160.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,29.0,74,23.9,12.7,37.4,0.1,1007.4,34.0,100,49260.0,0.08,1850.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,28.6,76,24.0,10.1,31.3,0.2,1008.3,0.0,100,33440.0,0.03,2130.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,28.4,79,24.4,9.6,24.5,0.1,1009.2,0.0,100,28820.0,0.03,2280.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,28.1,82,24.8,8.7,23.8,0.0,1010.2,0.0,95,28260.0,0.02,2230.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,27.7,85,24.9,8.6,21.2,0.0,1010.6,0.0,80,27480.0,0.01,2310.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,27.5,85,24.8,7.4,19.4,0.0,1010.4,0.0,45,28000.0,0.01,2350.0,1,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,27.4,84,24.5,6.6,18.7,0.1,1010.1,0.0,91,20120.0,0.01,2310.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,27.1,85,24.5,7.5,17.3,0.0,1009.7,0.0,87,19620.0,0.01,2350.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,27.0,85,24.4,6.8,17.6,0.0,1009.3,0.0,99,33440.0,0.01,2270.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,26.8,87,24.5,6.9,16.6,0.0,1008.7,0.0,100,34100.0,0.0,2400.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,26.5,89,24.6,6.4,15.5,0.0,1008.5,0.0,100,32320.0,0.0,2490.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,26.7,88,24.5,6.0,14.4,0.0,1008.6,0.0,100,32320.0,0.0,2470.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,26.9,86,24.5,6.3,14.4,0.0,1008.7,5.0,73,25780.0,0.02,2420.0,2,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,27.7,82,24.4,6.8,17.3,0.0,1009.0,83.0,100,28920.0,0.08,2330.0,3,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,29.5,73,24.0,10.1,27.0,0.1,1009.7,307.0,100,49500.0,0.24,2410.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 10:00:00,29.8,71,24.0,10.3,27.7,0.2,1010.2,366.0,100,8880.0,0.29,2460.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 11:00:00,30.5,68,23.9,11.8,32.8,0.2,1010.2,598.0,100,8760.0,0.46,2540.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
2026-05-06 12:00:00,31.0,67,24.0,13.3,36.0,0.3,1009.7,722.0,100,7760.0,0.55,2300.0,51,luth_nigeria,2026-05-05T12:18:53+00:00
