datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,10.0,71,5.0,5.8,11.9,0.0,1010.0,0.0,73,25280.0,0.01,0.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,9.2,78,5.5,5.0,10.8,0.0,1009.9,0.0,50,22180.0,0.0,0.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,8.4,80,5.2,4.7,9.7,0.0,1009.5,0.0,36,19460.0,0.0,0.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,7.8,84,5.3,4.0,9.4,0.0,1009.1,0.0,32,15860.0,0.0,0.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,6.9,91,5.5,4.0,8.6,0.0,1008.9,0.0,0,12100.0,0.0,0.0,0,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,6.3,92,5.1,4.0,9.0,0.0,1008.7,0.0,0,9240.0,0.0,0.0,0,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,6.0,91,4.7,3.2,6.8,0.0,1008.8,6.0,0,8580.0,0.0,0.0,0,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,6.9,89,5.2,2.5,5.8,0.0,1009.1,96.0,0,8440.0,0.02,0.0,0,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,8.2,81,5.1,0.7,3.6,0.0,1009.1,240.0,0,9060.0,0.09,0.0,0,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,10.5,67,4.6,7.9,17.6,0.0,1008.9,341.0,45,24560.0,0.15,20.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,11.8,57,3.5,10.1,23.0,0.0,1009.1,340.0,74,32560.0,0.18,50.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,11.8,60,4.3,12.2,27.0,0.0,1009.2,162.0,98,26800.0,0.13,60.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,12.4,56,3.8,7.9,19.1,0.1,1008.8,350.0,93,32740.0,0.2,50.0,51,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,12.7,54,3.6,7.6,18.0,0.0,1008.8,244.0,95,30240.0,0.16,40.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,13.3,51,3.4,7.9,20.2,0.0,1008.6,381.0,95,31220.0,0.23,60.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,13.6,50,3.3,8.3,19.8,0.0,1008.3,231.0,95,30220.0,0.17,60.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,13.4,53,4.0,10.4,23.4,0.0,1008.3,123.0,100,28600.0,0.13,50.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,12.9,59,5.1,10.8,23.0,0.0,1008.3,182.0,99,21940.0,0.14,50.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,11.8,73,7.1,9.0,19.4,0.4,1008.6,81.0,100,15540.0,0.07,80.0,51,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,11.4,74,6.9,14.0,29.2,0.2,1008.7,37.0,100,22620.0,0.06,50.0,51,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,10.6,70,5.3,18.7,39.2,0.0,1009.0,44.0,97,24480.0,0.07,10.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,9.2,71,4.2,15.8,33.8,0.0,1009.6,0.0,98,23960.0,0.05,10.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,8.7,70,3.5,11.2,23.8,0.0,1010.0,0.0,97,27360.0,0.02,10.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,8.3,68,2.7,13.3,28.1,0.0,1009.8,0.0,97,32860.0,0.03,10.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,7.9,68,2.3,11.9,24.8,0.0,1009.9,0.0,99,36240.0,0.03,0.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,7.7,70,2.5,12.6,26.3,0.0,1009.8,0.0,100,36900.0,0.03,0.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,7.5,70,2.4,11.9,24.5,0.0,1009.9,0.0,98,36140.0,0.02,0.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,7.3,68,1.8,9.7,20.5,0.0,1009.7,0.0,100,36060.0,0.02,0.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,6.9,67,1.2,7.6,16.2,0.0,1009.6,0.0,83,34780.0,0.01,0.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,6.5,65,0.4,8.3,17.3,0.0,1009.5,0.0,16,31320.0,0.02,0.0,0,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 06:00:00,6.5,64,0.2,5.4,11.9,0.0,1009.8,7.0,64,26860.0,0.01,0.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 07:00:00,6.7,61,-0.3,6.8,14.0,0.0,1010.1,61.0,80,25180.0,0.04,0.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 08:00:00,7.4,58,-0.3,10.1,21.2,0.0,1010.2,208.0,44,29180.0,0.1,10.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 09:00:00,8.4,58,0.6,11.9,25.9,0.0,1010.3,309.0,63,30940.0,0.15,20.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 10:00:00,9.5,53,0.4,11.5,25.6,0.0,1010.3,497.0,33,32060.0,0.22,30.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 11:00:00,10.5,50,0.5,13.7,30.6,0.0,1010.3,613.0,26,34440.0,0.28,60.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 12:00:00,11.3,47,0.4,14.4,32.8,0.0,1010.1,659.0,30,35040.0,0.31,90.0,1,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 13:00:00,11.9,44,-0.0,13.0,30.2,0.0,1009.9,612.0,59,35660.0,0.31,100.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 14:00:00,12.5,41,-0.4,9.7,25.6,0.0,1009.6,682.0,58,35940.0,0.35,100.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 15:00:00,12.7,42,0.1,13.3,31.0,0.0,1009.4,378.0,85,30960.0,0.24,110.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 16:00:00,12.3,44,0.4,11.2,26.3,0.0,1009.3,183.0,98,25240.0,0.16,90.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 17:00:00,11.7,49,1.4,12.2,27.4,0.0,1009.3,104.0,98,26380.0,0.12,70.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 18:00:00,11.4,49,1.0,13.0,27.7,0.0,1009.2,218.0,93,32820.0,0.15,40.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 19:00:00,11.1,47,0.2,12.6,27.4,0.0,1009.1,113.0,81,35020.0,0.12,20.0,3,manchester_nhs,2026-05-05T12:18:53+00:00
2026-05-06 20:00:00,10.7,48,0.1,12.2,25.9,0.0,1009.1,57.0,62,32820.0,0.09,20.0,2,manchester_nhs,2026-05-05T12:18:53+00:00
