datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,24.0,94,23.1,9.0,19.4,0.3,1013.1,0.0,93,26860.0,0.0,770.0,51,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,24.1,95,23.2,8.7,17.3,0.0,1012.6,0.0,80,11080.0,0.0,890.0,3,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,24.0,97,23.4,9.0,17.6,0.2,1011.9,0.0,54,14340.0,0.0,780.0,51,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,24.1,95,23.3,7.4,20.5,0.0,1011.4,0.0,30,17980.0,0.0,740.0,1,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,24.0,96,23.2,7.5,15.5,0.0,1011.2,0.0,16,20060.0,0.0,740.0,0,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,23.9,96,23.2,9.5,18.4,0.0,1011.2,0.0,21,25640.0,0.0,770.0,1,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,23.8,96,23.1,7.9,18.4,0.0,1011.6,0.0,23,19540.0,0.0,630.0,1,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,24.0,94,23.0,9.5,18.7,0.0,1012.4,17.0,16,42040.0,0.01,480.0,0,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,25.2,90,23.5,8.9,20.9,0.0,1013.0,162.0,34,30940.0,0.1,850.0,1,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,26.6,84,23.7,10.3,26.3,0.0,1013.7,374.0,21,9460.0,0.25,1370.0,1,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,27.5,81,23.9,11.3,29.9,0.6,1014.1,565.0,16,8100.0,0.38,1410.0,53,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,27.4,81,23.8,8.1,30.2,0.5,1014.0,568.0,63,3760.0,0.39,1350.0,53,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,28.6,76,24.0,6.6,25.2,0.5,1013.0,656.0,97,49540.0,0.47,1370.0,53,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,29.5,71,23.5,8.9,26.3,0.0,1012.1,776.0,100,61280.0,0.56,1140.0,3,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,29.6,68,23.1,9.4,27.0,0.0,1011.3,718.0,18,17500.0,0.52,1110.0,0,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,28.9,71,23.0,11.9,29.2,0.1,1010.4,606.0,79,13420.0,0.44,1080.0,51,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,28.8,70,22.9,11.1,29.5,0.1,1009.6,523.0,76,18680.0,0.38,810.0,51,muhimbili_tanzania,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,28.5,70,22.5,12.6,28.1,0.0,1009.3,298.0,99,61220.0,0.24,780.0,3,muhimbili_tanzania,2026-05-05T12:18:53+00:00
