datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,16.2,79,12.5,10.6,19.1,0.0,856.2,0.0,0,60260.0,0.01,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,15.6,82,12.4,11.4,20.5,0.0,855.6,0.0,0,55800.0,0.01,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,15.0,85,12.6,10.6,21.6,0.0,855.2,0.0,0,55800.0,0.0,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,14.7,87,12.6,10.3,19.1,0.0,854.7,0.0,0,52400.0,0.0,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,14.4,89,12.6,10.3,18.7,0.0,854.2,0.0,0,52420.0,0.0,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,13.9,91,12.5,9.6,18.7,0.0,854.3,0.0,0,52400.0,0.0,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,13.6,92,12.4,9.7,17.3,0.0,854.6,0.0,0,47760.0,0.0,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,14.4,90,12.8,11.5,20.5,0.0,855.5,49.0,0,52360.0,0.01,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,17.2,77,13.2,11.0,24.8,0.0,857.3,261.0,0,60220.0,0.14,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,19.6,65,12.9,11.3,28.1,0.0,858.5,489.0,0,63020.0,0.29,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,21.6,55,12.2,11.5,29.9,0.0,859.1,679.0,0,65380.0,0.44,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,23.1,47,11.2,11.4,31.0,0.0,859.0,811.0,0,67540.0,0.54,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,24.4,41,10.1,11.7,31.3,0.0,858.4,875.0,0,67580.0,0.61,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,25.0,39,9.9,12.3,32.4,0.0,857.6,865.0,0,67620.0,0.61,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,25.2,38,10.1,12.8,32.8,0.0,856.6,781.0,0,67640.0,0.56,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,25.0,39,10.1,13.0,32.8,0.0,856.0,625.0,0,67640.0,0.46,0.0,0,parirenyatwa_zimbabwe,2026-05-05T12:18:53+00:00
