datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,22.0,35,5.8,14.8,21.6,0.0,972.9,0.0,99,15700.0,0.13,0.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,22.8,27,2.8,8.5,16.9,0.0,973.5,0.0,100,64900.0,0.09,0.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,21.6,38,6.7,6.6,16.2,0.0,972.9,0.0,100,50200.0,0.06,10.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,20.9,45,8.6,5.6,18.7,0.0,971.9,0.0,49,42300.0,0.04,10.0,1,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,20.0,48,8.6,10.7,17.3,0.0,972.2,0.0,100,39200.0,0.07,10.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,19.6,49,8.6,13.5,20.2,0.0,972.3,0.0,100,37300.0,0.09,10.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,18.4,56,9.5,13.0,18.4,0.0,971.9,3.0,73,31800.0,0.08,0.0,2,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,18.5,52,8.4,11.0,14.8,0.0,972.9,127.0,20,34800.0,0.11,0.0,1,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,19.4,44,6.9,12.0,15.8,0.0,973.7,297.0,49,42200.0,0.22,0.0,1,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,20.0,42,6.7,13.4,17.6,0.0,973.8,415.0,52,44200.0,0.3,0.0,2,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,20.5,41,6.8,13.8,17.6,0.0,973.9,419.0,100,45400.0,0.32,0.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,21.5,37,6.2,11.0,14.4,0.0,973.8,550.0,87,50600.0,0.4,10.0,3,phoenix_usa,2026-05-05T12:18:53+00:00
