datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital,fetched_at
2026-05-05 00:00:00,16.2,70,10.7,3.0,7.9,0.0,775.2,0.0,3,28300.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 01:00:00,15.1,74,10.6,3.7,9.0,0.0,773.9,0.0,13,27640.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 02:00:00,14.1,78,10.3,4.0,9.7,0.0,773.0,0.0,5,27640.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 03:00:00,12.3,80,8.9,7.4,10.8,0.0,771.4,0.0,6,27640.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 04:00:00,12.0,81,8.8,7.1,16.2,0.0,770.8,0.0,2,26400.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 05:00:00,11.5,83,8.8,6.3,15.5,0.0,770.7,0.0,8,26400.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 06:00:00,11.3,84,8.7,6.0,14.4,0.0,770.9,0.0,5,26400.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 07:00:00,12.6,78,8.8,6.2,14.0,0.0,772.2,46.0,2,27600.0,0.02,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 08:00:00,17.8,55,8.5,2.4,14.0,0.0,776.5,256.0,0,28780.0,0.15,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 09:00:00,19.7,46,7.8,5.6,19.1,0.0,777.9,506.0,0,29200.0,0.33,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 10:00:00,21.7,39,7.1,7.9,24.5,0.0,778.5,729.0,1,29200.0,0.5,10.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 11:00:00,23.8,31,5.7,12.7,34.2,0.0,779.0,888.0,3,29940.0,0.64,10.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 12:00:00,25.0,27,4.5,15.0,38.2,0.0,778.7,927.0,16,30140.0,0.69,10.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 13:00:00,26.0,24,4.1,16.6,41.0,0.0,778.3,981.0,24,30120.0,0.75,0.0,1,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 14:00:00,26.2,25,4.5,16.8,41.4,0.0,777.6,877.0,87,30120.0,0.69,0.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 15:00:00,25.8,26,4.9,18.9,44.3,0.0,776.9,803.0,98,18600.0,0.64,10.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 16:00:00,24.8,28,5.1,19.2,45.4,0.0,775.8,604.0,89,15160.0,0.5,0.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 17:00:00,23.4,32,5.8,18.1,43.9,0.0,775.3,391.0,85,25700.0,0.35,0.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 18:00:00,22.4,35,6.2,17.2,40.3,0.0,775.1,160.0,81,29860.0,0.21,10.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 19:00:00,21.2,38,6.3,15.7,36.7,0.0,775.1,15.0,91,29860.0,0.12,20.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 20:00:00,19.9,41,6.2,15.9,33.8,0.0,775.4,0.0,90,29120.0,0.1,30.0,3,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 21:00:00,18.8,45,6.8,12.3,33.1,0.0,775.7,0.0,76,29120.0,0.07,10.0,2,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 22:00:00,18.0,49,7.0,7.6,25.2,0.0,775.8,0.0,20,29100.0,0.04,0.0,1,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-05 23:00:00,17.4,50,6.8,5.9,16.9,0.0,775.5,0.0,2,29100.0,0.02,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-06 00:00:00,16.7,52,6.7,4.8,14.0,0.0,774.7,0.0,2,29080.0,0.01,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-06 01:00:00,16.3,52,6.5,4.6,11.5,0.0,774.4,0.0,0,29080.0,0.01,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-06 02:00:00,15.5,56,6.9,4.4,10.4,0.0,773.7,0.0,0,28640.0,0.01,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-06 03:00:00,14.8,60,7.2,3.3,9.4,0.0,773.0,0.0,2,28640.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-06 04:00:00,14.0,63,7.1,3.2,7.2,0.0,772.4,0.0,0,28640.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
2026-05-06 05:00:00,13.5,66,7.2,4.0,9.0,0.0,772.4,0.0,0,28100.0,0.0,0.0,0,tikur_ethiopia,2026-05-05T12:18:53+00:00
