datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,14.6,89,12.8,12.0,39.2,0.0,1008.7,0.0,35,,0.0,,1,groote_schuur_sa
2022-01-01 01:00:00,14.9,88,12.9,13.1,41.8,0.0,1008.6,0.0,57,,0.01,,2,groote_schuur_sa
2022-01-01 02:00:00,14.4,91,12.9,14.0,44.6,0.0,1008.7,0.0,100,,0.0,,3,groote_schuur_sa
2022-01-01 03:00:00,14.6,90,13.0,15.5,47.2,0.0,1008.2,0.0,87,,0.0,,3,groote_schuur_sa
2022-01-01 04:00:00,15.1,87,12.9,16.1,49.0,0.0,1007.9,0.0,44,,0.01,,1,groote_schuur_sa
2022-01-01 05:00:00,14.8,87,12.6,15.8,49.0,0.1,1008.0,0.0,100,,0.01,,51,groote_schuur_sa
2022-01-01 06:00:00,14.9,86,12.6,15.1,49.3,0.2,1008.2,1.0,100,,0.03,,51,groote_schuur_sa
2022-01-01 07:00:00,14.9,85,12.4,15.5,51.5,0.3,1008.7,33.0,100,,0.05,,51,groote_schuur_sa
2022-01-01 08:00:00,14.4,98,14.1,12.0,51.5,1.3,1009.4,58.0,100,,0.04,,61,groote_schuur_sa
2022-01-01 09:00:00,14.9,98,14.6,13.2,46.1,1.3,1010.3,75.0,100,,0.04,,61,groote_schuur_sa
2022-01-01 10:00:00,15.7,95,14.9,16.5,46.4,0.5,1010.5,160.0,100,,0.08,,53,groote_schuur_sa
2022-01-01 11:00:00,16.5,94,15.4,9.6,43.9,0.1,1010.8,224.0,98,,0.13,,51,groote_schuur_sa
2022-01-01 12:00:00,18.5,71,13.1,12.0,38.9,0.0,1010.9,546.0,47,,0.32,,1,groote_schuur_sa
2022-01-01 13:00:00,20.2,56,11.1,15.1,45.7,0.0,1010.9,959.0,28,,0.55,,1,groote_schuur_sa
2022-01-01 14:00:00,19.4,50,8.6,14.4,49.0,0.0,1011.0,1045.0,11,,0.59,,0,groote_schuur_sa
2022-01-01 15:00:00,19.3,48,8.1,15.0,46.8,0.0,1011.0,832.0,1,,0.49,,0,groote_schuur_sa
2022-01-01 16:00:00,19.0,47,7.4,16.4,50.4,0.0,1010.8,856.0,0,,0.49,,0,groote_schuur_sa
2022-01-01 17:00:00,18.6,46,6.9,14.4,50.8,0.0,1010.5,695.0,0,,0.41,,0,groote_schuur_sa
2022-01-01 18:00:00,18.0,50,7.4,11.4,45.7,0.0,1010.5,487.0,0,,0.29,,0,groote_schuur_sa
2022-01-01 19:00:00,17.3,52,7.4,8.2,37.4,0.0,1010.9,256.0,0,,0.16,,0,groote_schuur_sa
