datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.9,93,10.8,8.3,11.2,0.0,1018.4,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 01:00:00,12.4,91,10.9,10.4,11.2,0.0,1018.1,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 02:00:00,11.4,92,10.1,11.3,14.0,0.0,1018.0,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 03:00:00,11.2,91,9.9,9.3,14.0,0.0,1018.0,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 04:00:00,11.1,91,9.6,8.5,12.2,0.0,1018.0,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 05:00:00,10.7,90,9.2,9.2,12.2,0.0,1018.0,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 06:00:00,10.4,90,8.8,8.4,12.2,0.0,1017.9,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 07:00:00,9.8,89,8.1,7.8,11.2,0.0,1018.2,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 08:00:00,9.7,87,7.7,7.5,10.4,0.0,1018.8,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 09:00:00,10.4,85,7.9,6.5,10.4,0.0,1019.3,7.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 10:00:00,14.0,75,9.6,6.5,10.1,0.0,1019.9,124.0,0,,0.06,,0,ibn_sina_morocco
2022-01-01 11:00:00,16.7,70,11.1,6.8,13.7,0.0,1020.3,293.0,0,,0.15,,0,ibn_sina_morocco
2022-01-01 12:00:00,19.2,66,12.6,5.4,13.7,0.0,1020.3,435.0,0,,0.25,,0,ibn_sina_morocco
2022-01-01 13:00:00,20.6,65,13.9,1.9,12.6,0.0,1020.1,528.0,0,,0.31,,0,ibn_sina_morocco
2022-01-01 14:00:00,20.6,67,14.1,6.6,15.1,0.0,1019.7,558.0,74,,0.33,,2,ibn_sina_morocco
2022-01-01 15:00:00,19.6,67,13.4,8.2,18.0,0.0,1019.4,528.0,41,,0.3,,1,ibn_sina_morocco
2022-01-01 16:00:00,19.0,64,12.0,5.9,17.3,0.0,1019.2,437.0,46,,0.25,,1,ibn_sina_morocco
2022-01-01 17:00:00,18.2,66,11.7,3.2,13.3,0.0,1019.4,298.0,6,,0.16,,0,ibn_sina_morocco
2022-01-01 18:00:00,17.5,68,11.6,1.6,7.9,0.0,1019.8,129.0,0,,0.05,,0,ibn_sina_morocco
2022-01-01 19:00:00,16.7,72,11.6,2.2,2.5,0.0,1020.2,9.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 20:00:00,16.5,73,11.6,2.5,2.9,0.0,1020.6,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 21:00:00,12.6,88,10.6,6.0,8.3,0.0,1020.7,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 22:00:00,11.7,91,10.4,8.1,10.8,0.0,1020.9,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-01 23:00:00,10.9,93,9.9,9.1,11.9,0.0,1021.1,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-02 00:00:00,10.4,94,9.6,7.5,11.9,0.0,1021.4,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-02 01:00:00,10.9,95,10.1,4.9,10.4,0.0,1021.1,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-02 02:00:00,10.0,95,9.2,6.5,9.7,0.0,1020.7,0.0,0,,0.0,,0,ibn_sina_morocco
2022-01-02 03:00:00,9.9,94,9.1,4.5,9.7,0.0,1020.7,0.0,1,,0.0,,0,ibn_sina_morocco
2022-01-02 04:00:00,10.6,91,9.2,4.2,6.5,0.0,1021.1,0.0,9,,0.0,,0,ibn_sina_morocco
2022-01-02 05:00:00,9.9,92,8.7,6.3,8.3,0.0,1020.7,0.0,18,,0.0,,0,ibn_sina_morocco
2022-01-02 06:00:00,10.0,92,8.7,7.4,10.1,0.0,1020.8,0.0,11,,0.0,,0,ibn_sina_morocco
2022-01-02 07:00:00,9.6,92,8.4,6.9,10.4,0.0,1020.6,0.0,6,,0.0,,0,ibn_sina_morocco
2022-01-02 08:00:00,9.4,92,8.2,5.9,9.7,0.0,1021.0,0.0,3,,0.0,,0,ibn_sina_morocco
2022-01-02 09:00:00,9.2,93,8.2,5.9,9.7,0.0,1021.2,7.0,1,,0.0,,0,ibn_sina_morocco
2022-01-02 10:00:00,12.5,86,10.2,5.6,10.1,0.0,1021.8,124.0,0,,0.04,,0,ibn_sina_morocco
2022-01-02 11:00:00,15.5,81,12.3,3.1,10.4,0.0,1022.2,296.0,22,,0.14,,1,ibn_sina_morocco
2022-01-02 12:00:00,17.4,76,13.1,1.8,9.7,0.0,1022.1,439.0,0,,0.23,,0,ibn_sina_morocco
2022-01-02 13:00:00,17.1,85,14.6,8.1,18.4,0.0,1022.2,533.0,0,,0.27,,0,ibn_sina_morocco
2022-01-02 14:00:00,17.0,87,14.9,9.4,20.9,0.0,1021.4,565.0,27,,0.28,,1,ibn_sina_morocco
2022-01-02 15:00:00,16.8,89,15.0,9.2,20.5,0.0,1020.7,532.0,42,,0.26,,1,ibn_sina_morocco
2022-01-02 16:00:00,16.2,91,14.8,9.2,20.2,0.0,1020.5,439.0,27,,0.2,,1,ibn_sina_morocco
2022-01-02 17:00:00,15.4,93,14.3,8.4,19.1,0.0,1020.6,283.0,100,,0.12,,3,ibn_sina_morocco
2022-01-02 18:00:00,14.2,97,13.9,8.0,16.9,0.0,1020.7,111.0,100,,0.04,,3,ibn_sina_morocco
2022-01-02 19:00:00,13.6,100,13.6,6.2,14.4,0.0,1020.9,7.0,100,,0.0,,3,ibn_sina_morocco
2022-01-02 20:00:00,13.8,99,13.6,4.1,10.4,0.0,1021.2,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-02 21:00:00,13.4,99,13.2,2.9,6.5,0.0,1021.5,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-02 22:00:00,12.4,100,12.4,4.6,6.8,0.0,1021.7,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-02 23:00:00,12.9,99,12.8,4.2,7.6,0.0,1021.7,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 00:00:00,13.1,99,13.0,5.8,10.1,0.0,1021.6,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 01:00:00,13.0,99,12.9,4.8,11.5,0.0,1021.4,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 02:00:00,12.9,99,12.7,3.1,7.9,0.0,1021.2,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 03:00:00,12.6,100,12.5,3.9,6.1,0.0,1020.9,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 04:00:00,12.4,100,12.4,5.4,9.0,0.0,1020.5,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 05:00:00,12.4,95,11.7,5.0,10.1,0.0,1020.1,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 06:00:00,11.9,97,11.5,3.3,8.3,0.0,1019.8,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 07:00:00,11.6,96,11.1,5.6,10.4,0.0,1019.7,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 08:00:00,11.6,93,10.5,5.4,10.8,0.0,1020.0,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 09:00:00,11.4,92,10.2,6.5,10.8,0.0,1020.2,5.0,100,,0.0,,3,ibn_sina_morocco
2022-01-03 10:00:00,11.4,93,10.3,6.3,13.3,0.0,1020.6,77.0,96,,0.03,,3,ibn_sina_morocco
2022-01-03 11:00:00,12.4,92,11.1,3.4,13.0,0.0,1020.8,246.0,2,,0.11,,0,ibn_sina_morocco
2022-01-03 12:00:00,14.2,87,12.1,0.0,11.5,0.0,1020.7,420.0,3,,0.21,,0,ibn_sina_morocco
2022-01-03 13:00:00,14.9,89,13.1,4.8,12.6,0.0,1020.3,520.0,5,,0.25,,0,ibn_sina_morocco
2022-01-03 14:00:00,15.5,88,13.6,6.9,17.3,0.0,1019.6,517.0,46,,0.25,,1,ibn_sina_morocco
2022-01-03 15:00:00,15.4,88,13.6,7.7,18.4,0.0,1019.0,513.0,43,,0.24,,1,ibn_sina_morocco
2022-01-03 16:00:00,15.2,88,13.2,6.6,18.4,0.0,1018.6,431.0,37,,0.2,,1,ibn_sina_morocco
2022-01-03 17:00:00,14.8,89,12.9,5.9,15.8,0.0,1018.6,297.0,13,,0.13,,0,ibn_sina_morocco
2022-01-03 18:00:00,14.3,92,12.9,3.8,13.7,0.0,1018.8,132.0,11,,0.05,,0,ibn_sina_morocco
2022-01-03 19:00:00,13.9,94,13.0,2.2,5.8,0.0,1018.7,10.0,7,,0.0,,0,ibn_sina_morocco
2022-01-03 20:00:00,12.9,96,12.4,3.1,4.0,0.0,1018.7,0.0,3,,0.0,,0,ibn_sina_morocco
2022-01-03 21:00:00,11.9,98,11.7,4.9,8.3,0.0,1018.6,0.0,59,,0.0,,2,ibn_sina_morocco
2022-01-03 22:00:00,11.4,98,11.1,7.3,11.9,0.0,1018.3,0.0,97,,0.0,,3,ibn_sina_morocco
2022-01-03 23:00:00,10.8,99,10.6,8.5,14.0,0.0,1018.4,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 00:00:00,11.6,87,9.4,7.4,15.1,0.0,1018.0,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 01:00:00,12.9,84,10.2,4.6,13.3,0.0,1017.9,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 02:00:00,12.4,89,10.6,4.4,9.4,0.0,1017.4,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 03:00:00,12.4,91,11.0,5.8,11.2,0.0,1016.8,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 04:00:00,12.4,92,11.1,6.1,12.2,0.0,1016.4,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 05:00:00,12.4,92,11.1,4.9,11.5,0.0,1016.0,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 06:00:00,12.1,93,11.1,5.2,9.4,0.0,1015.5,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 07:00:00,11.9,96,11.3,5.5,9.7,0.0,1015.6,0.0,100,,0.0,,3,ibn_sina_morocco
2022-01-04 08:00:00,11.6,97,11.1,5.6,9.7,0.0,1015.9,0.0,99,,0.0,,3,ibn_sina_morocco
2022-01-04 09:00:00,11.9,94,10.9,8.7,13.7,0.0,1016.2,4.0,100,,0.01,,3,ibn_sina_morocco
2022-01-04 10:00:00,12.8,88,10.8,11.0,19.4,0.0,1016.9,68.0,100,,0.04,,3,ibn_sina_morocco
