datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,12.6,93,11.6,19.7,33.5,0.0,1006.4,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-01 01:00:00,12.9,92,11.6,20.7,33.5,0.0,1006.1,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-01 02:00:00,12.9,88,10.9,19.0,35.3,0.0,1005.8,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 03:00:00,12.4,86,10.2,17.4,32.0,0.0,1005.9,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 04:00:00,12.3,86,10.1,24.6,40.3,0.0,1005.5,0.0,100,,0.02,,3,john_radcliffe_nhs
2022-01-01 05:00:00,12.1,89,10.2,27.5,46.8,0.0,1004.8,0.0,100,,0.02,,3,john_radcliffe_nhs
2022-01-01 06:00:00,12.1,89,10.4,28.7,50.0,0.0,1003.9,0.0,100,,0.02,,3,john_radcliffe_nhs
2022-01-01 07:00:00,12.0,88,10.1,28.4,49.0,0.0,1003.4,0.0,100,,0.02,,3,john_radcliffe_nhs
2022-01-01 08:00:00,12.2,84,9.5,26.0,48.6,0.0,1002.9,0.0,96,,0.03,,3,john_radcliffe_nhs
2022-01-01 09:00:00,11.9,80,8.6,26.9,45.7,0.0,1002.5,0.0,46,,0.04,,1,john_radcliffe_nhs
2022-01-01 10:00:00,12.4,75,8.1,28.4,48.6,0.0,1003.3,14.0,100,,0.06,,3,john_radcliffe_nhs
2022-01-01 11:00:00,13.2,72,8.3,25.0,48.2,0.0,1003.3,61.0,100,,0.08,,3,john_radcliffe_nhs
2022-01-01 12:00:00,13.8,74,9.2,25.3,43.2,0.1,1003.2,111.0,100,,0.09,,51,john_radcliffe_nhs
2022-01-01 13:00:00,14.0,82,10.9,24.0,47.5,0.2,1002.7,111.0,100,,0.08,,51,john_radcliffe_nhs
2022-01-01 14:00:00,14.6,83,11.8,23.3,42.1,0.0,1001.9,183.0,100,,0.09,,3,john_radcliffe_nhs
2022-01-01 15:00:00,14.2,85,11.8,23.7,40.3,0.0,1001.7,84.0,83,,0.06,,3,john_radcliffe_nhs
2022-01-01 16:00:00,13.7,89,11.9,22.7,41.0,0.0,1001.8,87.0,100,,0.05,,3,john_radcliffe_nhs
2022-01-01 17:00:00,13.3,90,11.8,21.7,39.2,0.1,1001.7,15.0,100,,0.03,,51,john_radcliffe_nhs
2022-01-01 18:00:00,13.1,92,11.7,23.0,39.6,0.0,1001.6,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 19:00:00,13.1,90,11.5,23.4,40.7,0.0,1001.3,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 20:00:00,13.0,90,11.4,23.2,40.7,0.0,1001.2,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 21:00:00,12.9,90,11.3,22.6,40.0,0.0,1001.0,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 22:00:00,12.7,91,11.3,21.3,38.9,0.0,1000.9,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-01 23:00:00,12.6,91,11.2,21.1,36.4,0.0,1000.7,0.0,100,,0.01,,3,john_radcliffe_nhs
2022-01-02 00:00:00,12.4,91,11.1,21.1,36.0,0.1,999.9,0.0,100,,0.01,,51,john_radcliffe_nhs
2022-01-02 01:00:00,12.2,93,11.2,19.8,35.6,0.0,999.1,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-02 02:00:00,12.0,92,10.8,18.5,34.2,0.0,998.2,0.0,97,,0.0,,3,john_radcliffe_nhs
2022-01-02 03:00:00,11.2,94,10.2,15.4,31.7,0.0,997.3,0.0,74,,0.0,,2,john_radcliffe_nhs
2022-01-02 04:00:00,10.7,94,9.8,16.5,27.7,0.0,996.7,0.0,49,,0.0,,1,john_radcliffe_nhs
2022-01-02 05:00:00,10.9,93,9.7,21.9,41.4,0.2,996.0,0.0,100,,0.0,,51,john_radcliffe_nhs
2022-01-02 06:00:00,10.9,92,9.7,24.1,49.0,0.7,995.4,0.0,100,,0.01,,53,john_radcliffe_nhs
2022-01-02 07:00:00,11.1,90,9.5,26.1,47.9,0.2,995.2,0.0,49,,0.01,,51,john_radcliffe_nhs
2022-01-02 08:00:00,10.5,87,8.5,25.9,45.0,0.0,995.9,0.0,18,,0.02,,0,john_radcliffe_nhs
2022-01-02 09:00:00,9.5,90,7.9,22.1,44.3,0.0,996.4,0.0,45,,0.01,,1,john_radcliffe_nhs
2022-01-02 10:00:00,9.6,90,8.1,20.1,37.4,0.0,997.3,13.0,26,,0.02,,1,john_radcliffe_nhs
2022-01-02 11:00:00,10.0,89,8.2,19.4,34.2,0.0,997.4,78.0,45,,0.03,,1,john_radcliffe_nhs
2022-01-02 12:00:00,10.6,88,8.8,17.0,33.8,0.0,997.3,164.0,99,,0.06,,3,john_radcliffe_nhs
2022-01-02 13:00:00,10.9,83,8.1,20.2,29.2,0.0,997.0,135.0,100,,0.07,,3,john_radcliffe_nhs
2022-01-02 14:00:00,11.3,80,7.9,19.7,36.0,0.0,995.7,199.0,100,,0.09,,3,john_radcliffe_nhs
2022-01-02 15:00:00,10.4,86,8.2,26.9,50.0,0.9,994.6,63.0,100,,0.05,,53,john_radcliffe_nhs
2022-01-02 16:00:00,9.8,89,8.0,26.0,52.6,0.5,994.1,13.0,93,,0.04,,53,john_radcliffe_nhs
2022-01-02 17:00:00,9.6,87,7.6,26.1,45.7,0.0,994.6,23.0,91,,0.03,,3,john_radcliffe_nhs
2022-01-02 18:00:00,9.4,88,7.4,25.1,44.3,0.0,994.9,0.0,75,,0.01,,2,john_radcliffe_nhs
2022-01-02 19:00:00,8.8,87,6.8,28.0,47.5,0.0,995.6,0.0,59,,0.02,,2,john_radcliffe_nhs
2022-01-02 20:00:00,8.6,86,6.4,27.2,49.0,0.0,996.0,0.0,7,,0.02,,0,john_radcliffe_nhs
2022-01-02 21:00:00,8.4,86,6.3,26.7,46.8,0.0,996.4,0.0,43,,0.02,,1,john_radcliffe_nhs
2022-01-02 22:00:00,8.6,86,6.4,26.9,46.1,0.0,996.6,0.0,26,,0.02,,1,john_radcliffe_nhs
2022-01-02 23:00:00,8.6,86,6.4,27.8,47.2,0.0,996.9,0.0,59,,0.02,,2,john_radcliffe_nhs
2022-01-03 00:00:00,8.5,87,6.5,27.6,47.5,0.0,997.1,0.0,53,,0.02,,2,john_radcliffe_nhs
2022-01-03 01:00:00,8.9,82,5.9,25.6,48.6,0.0,997.1,0.0,59,,0.03,,2,john_radcliffe_nhs
2022-01-03 02:00:00,8.7,82,5.8,25.9,44.6,0.0,997.1,0.0,20,,0.03,,1,john_radcliffe_nhs
2022-01-03 03:00:00,8.6,81,5.7,27.0,46.1,0.0,997.1,0.0,69,,0.03,,2,john_radcliffe_nhs
2022-01-03 04:00:00,8.4,84,5.8,27.7,47.5,0.0,997.0,0.0,97,,0.02,,3,john_radcliffe_nhs
2022-01-03 05:00:00,8.4,84,5.8,27.8,47.9,0.0,996.6,0.0,78,,0.02,,2,john_radcliffe_nhs
2022-01-03 06:00:00,8.5,83,5.8,27.0,47.5,0.0,996.4,0.0,43,,0.03,,1,john_radcliffe_nhs
2022-01-03 07:00:00,8.3,83,5.6,24.9,46.1,0.0,996.0,0.0,36,,0.02,,1,john_radcliffe_nhs
2022-01-03 08:00:00,7.9,85,5.6,21.9,42.5,0.0,995.7,0.0,26,,0.02,,1,john_radcliffe_nhs
2022-01-03 09:00:00,7.8,85,5.4,21.4,37.8,0.0,995.6,0.0,51,,0.02,,2,john_radcliffe_nhs
2022-01-03 10:00:00,8.4,83,5.7,21.3,37.1,0.0,995.7,11.0,100,,0.03,,3,john_radcliffe_nhs
2022-01-03 11:00:00,9.0,82,6.2,20.3,36.4,0.0,995.6,54.0,100,,0.04,,3,john_radcliffe_nhs
2022-01-03 12:00:00,9.4,83,6.7,14.9,34.9,0.0,995.1,89.0,100,,0.05,,3,john_radcliffe_nhs
2022-01-03 13:00:00,9.9,78,6.2,16.8,30.6,0.0,994.6,108.0,100,,0.07,,3,john_radcliffe_nhs
2022-01-03 14:00:00,9.8,79,6.3,20.5,37.1,0.0,994.2,117.0,100,,0.07,,3,john_radcliffe_nhs
2022-01-03 15:00:00,9.8,81,6.6,18.9,35.3,0.0,993.1,104.0,100,,0.06,,3,john_radcliffe_nhs
2022-01-03 16:00:00,9.6,82,6.7,21.1,36.4,0.0,992.7,58.0,100,,0.05,,3,john_radcliffe_nhs
2022-01-03 17:00:00,8.9,85,6.5,16.1,36.0,0.0,992.2,20.0,100,,0.03,,3,john_radcliffe_nhs
2022-01-03 18:00:00,8.3,87,6.2,13.8,27.4,0.0,991.8,0.0,100,,0.02,,3,john_radcliffe_nhs
2022-01-03 19:00:00,7.8,90,6.2,13.0,23.4,0.0,991.3,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-03 20:00:00,7.4,92,6.2,12.0,22.0,0.0,990.8,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-03 21:00:00,6.9,93,5.8,10.7,20.2,0.0,990.0,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-03 22:00:00,7.0,93,6.0,11.0,18.7,0.0,989.5,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-03 23:00:00,7.3,91,6.1,10.0,19.1,0.0,988.9,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-04 00:00:00,7.1,93,6.0,10.8,18.0,0.0,988.3,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-04 01:00:00,7.3,94,6.3,11.2,19.1,0.0,987.7,0.0,100,,0.0,,3,john_radcliffe_nhs
2022-01-04 02:00:00,7.3,94,6.4,11.5,20.2,0.0,986.9,0.0,100,,0.0,,3,john_radcliffe_nhs
