datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.6,95,10.9,13.4,24.1,0.0,1011.2,0.0,26,,0.0,,1,kasr_alainy_egypt
2022-01-01 01:00:00,10.9,96,10.4,13.8,24.8,0.0,1011.0,0.0,9,,0.0,,0,kasr_alainy_egypt
2022-01-01 02:00:00,10.6,96,9.9,13.7,25.9,0.0,1010.8,0.0,12,,0.0,,0,kasr_alainy_egypt
2022-01-01 03:00:00,10.6,95,9.9,11.2,24.5,0.0,1010.3,0.0,14,,0.0,,0,kasr_alainy_egypt
2022-01-01 04:00:00,10.2,96,9.6,7.6,19.1,0.0,1010.4,0.0,2,,0.0,,0,kasr_alainy_egypt
2022-01-01 05:00:00,9.6,96,9.1,5.8,13.3,0.0,1010.3,0.0,31,,0.0,,1,kasr_alainy_egypt
2022-01-01 06:00:00,8.8,97,8.3,6.5,10.1,0.0,1010.1,0.0,83,,0.0,,3,kasr_alainy_egypt
2022-01-01 07:00:00,8.6,96,8.1,7.6,11.2,0.0,1010.7,0.0,96,,0.0,,3,kasr_alainy_egypt
2022-01-01 08:00:00,10.0,93,8.9,4.5,9.0,0.0,1011.1,0.0,97,,0.01,,3,kasr_alainy_egypt
2022-01-01 09:00:00,10.4,93,9.2,1.3,5.4,0.0,1011.8,61.0,99,,0.02,,3,kasr_alainy_egypt
2022-01-01 10:00:00,12.2,86,9.9,1.8,9.7,0.0,1012.1,183.0,100,,0.08,,3,kasr_alainy_egypt
2022-01-01 11:00:00,14.4,77,10.3,6.2,17.3,0.0,1012.1,318.0,99,,0.16,,3,kasr_alainy_egypt
2022-01-01 12:00:00,16.2,67,10.1,8.3,22.7,0.0,1011.6,456.0,100,,0.25,,3,kasr_alainy_egypt
2022-01-01 13:00:00,17.6,56,8.6,4.4,22.3,0.1,1010.9,528.0,100,,0.3,,51,kasr_alainy_egypt
2022-01-01 14:00:00,18.0,50,7.6,1.0,16.9,0.1,1010.3,455.0,91,,0.26,,51,kasr_alainy_egypt
2022-01-01 15:00:00,18.1,47,6.7,4.5,11.9,0.0,1010.2,457.0,18,,0.27,,0,kasr_alainy_egypt
2022-01-01 16:00:00,18.3,46,6.6,4.5,14.8,0.0,1010.1,276.0,66,,0.18,,2,kasr_alainy_egypt
2022-01-01 17:00:00,17.8,48,6.5,8.6,18.4,0.0,1010.2,192.0,73,,0.15,,2,kasr_alainy_egypt
2022-01-01 18:00:00,16.0,59,8.1,11.6,20.9,0.0,1010.7,46.0,48,,0.08,,1,kasr_alainy_egypt
2022-01-01 19:00:00,14.5,69,8.9,11.4,21.6,0.0,1011.6,0.0,13,,0.05,,0,kasr_alainy_egypt
2022-01-01 20:00:00,13.4,76,9.2,8.7,19.8,0.0,1011.9,0.0,16,,0.01,,0,kasr_alainy_egypt
2022-01-01 21:00:00,12.9,79,9.3,7.9,15.1,0.0,1012.5,0.0,15,,0.01,,0,kasr_alainy_egypt
2022-01-01 22:00:00,12.1,84,9.4,6.3,13.3,0.0,1012.9,0.0,22,,0.0,,1,kasr_alainy_egypt
2022-01-01 23:00:00,10.9,91,9.4,6.4,10.8,0.0,1013.1,0.0,26,,0.0,,1,kasr_alainy_egypt
2022-01-02 00:00:00,10.0,94,9.0,8.4,10.4,0.0,1013.4,0.0,25,,0.0,,1,kasr_alainy_egypt
2022-01-02 01:00:00,10.0,94,9.0,7.2,10.1,0.0,1013.3,0.0,12,,0.0,,0,kasr_alainy_egypt
2022-01-02 02:00:00,10.0,94,9.1,6.4,8.6,0.0,1012.9,0.0,2,,0.0,,0,kasr_alainy_egypt
2022-01-02 03:00:00,10.1,94,9.3,5.2,8.6,0.0,1013.0,0.0,1,,0.0,,0,kasr_alainy_egypt
2022-01-02 04:00:00,9.9,96,9.3,5.9,7.6,0.0,1013.2,0.0,0,,0.0,,0,kasr_alainy_egypt
2022-01-02 05:00:00,9.6,97,9.2,6.3,7.6,0.0,1013.2,0.0,1,,0.0,,0,kasr_alainy_egypt
2022-01-02 06:00:00,8.8,98,8.4,7.6,9.4,0.0,1013.3,0.0,0,,0.0,,0,kasr_alainy_egypt
2022-01-02 07:00:00,9.5,96,8.9,6.5,9.7,0.0,1013.7,0.0,1,,0.0,,0,kasr_alainy_egypt
2022-01-02 08:00:00,8.9,96,8.3,4.8,7.9,0.0,1014.1,0.0,0,,0.01,,0,kasr_alainy_egypt
2022-01-02 09:00:00,10.6,90,9.1,3.3,8.6,0.0,1014.7,67.0,5,,0.02,,0,kasr_alainy_egypt
2022-01-02 10:00:00,13.1,78,9.4,2.5,11.5,0.0,1015.3,228.0,16,,0.1,,0,kasr_alainy_egypt
2022-01-02 11:00:00,15.6,68,9.7,1.6,12.2,0.0,1015.6,385.0,8,,0.2,,0,kasr_alainy_egypt
2022-01-02 12:00:00,17.7,60,9.9,5.1,16.9,0.0,1015.0,500.0,44,,0.28,,1,kasr_alainy_egypt
2022-01-02 13:00:00,19.0,54,9.4,8.4,22.3,0.1,1014.1,542.0,59,,0.32,,51,kasr_alainy_egypt
2022-01-02 14:00:00,19.4,52,9.3,9.5,24.1,0.2,1013.4,491.0,98,,0.31,,51,kasr_alainy_egypt
2022-01-02 15:00:00,18.5,57,9.7,8.7,25.2,0.2,1013.9,418.0,100,,0.26,,51,kasr_alainy_egypt
2022-01-02 16:00:00,18.7,58,10.3,7.8,20.2,0.0,1014.1,228.0,100,,0.17,,3,kasr_alainy_egypt
2022-01-02 17:00:00,18.5,57,9.9,6.3,18.7,0.0,1014.2,131.0,100,,0.11,,3,kasr_alainy_egypt
2022-01-02 18:00:00,16.9,66,10.4,4.8,14.0,0.1,1014.5,40.0,100,,0.04,,51,kasr_alainy_egypt
2022-01-02 19:00:00,15.2,78,11.3,7.3,11.5,0.0,1015.1,0.0,100,,0.03,,3,kasr_alainy_egypt
2022-01-02 20:00:00,14.1,87,12.0,8.4,15.8,0.0,1015.6,0.0,44,,0.0,,1,kasr_alainy_egypt
2022-01-02 21:00:00,13.3,93,12.1,7.4,14.4,0.0,1016.2,0.0,29,,0.0,,1,kasr_alainy_egypt
2022-01-02 22:00:00,12.8,95,11.9,6.3,13.0,0.0,1016.6,0.0,32,,0.0,,1,kasr_alainy_egypt
2022-01-02 23:00:00,12.4,95,11.6,5.1,12.2,0.0,1016.7,0.0,12,,0.0,,0,kasr_alainy_egypt
2022-01-03 00:00:00,11.1,96,10.6,8.9,10.4,0.0,1016.7,0.0,9,,0.0,,0,kasr_alainy_egypt
2022-01-03 01:00:00,10.7,97,10.2,9.3,11.2,0.0,1016.6,0.0,4,,0.0,,0,kasr_alainy_egypt
2022-01-03 02:00:00,11.1,97,10.6,8.0,11.2,0.0,1016.5,0.0,4,,0.0,,0,kasr_alainy_egypt
2022-01-03 03:00:00,11.4,97,10.9,7.6,9.7,0.0,1016.5,0.0,10,,0.0,,0,kasr_alainy_egypt
2022-01-03 04:00:00,11.7,95,11.0,7.3,8.6,0.0,1016.3,0.0,1,,0.0,,0,kasr_alainy_egypt
2022-01-03 05:00:00,11.8,95,11.1,6.7,8.6,0.0,1016.1,0.0,7,,0.0,,0,kasr_alainy_egypt
2022-01-03 06:00:00,11.6,95,10.9,6.8,8.3,0.0,1016.1,0.0,4,,0.0,,0,kasr_alainy_egypt
2022-01-03 07:00:00,12.1,93,11.1,5.4,7.9,0.0,1016.5,0.0,11,,0.0,,0,kasr_alainy_egypt
2022-01-03 08:00:00,10.2,96,9.6,5.5,6.8,0.0,1017.1,0.0,14,,0.01,,0,kasr_alainy_egypt
2022-01-03 09:00:00,12.1,91,10.8,5.1,9.4,0.0,1017.7,64.0,24,,0.02,,1,kasr_alainy_egypt
2022-01-03 10:00:00,14.4,81,11.1,3.9,12.6,0.0,1018.2,209.0,11,,0.1,,0,kasr_alainy_egypt
2022-01-03 11:00:00,16.6,71,11.4,4.1,15.5,0.0,1018.5,388.0,4,,0.21,,0,kasr_alainy_egypt
2022-01-03 12:00:00,18.6,60,10.7,5.7,18.0,0.0,1018.1,514.0,21,,0.3,,1,kasr_alainy_egypt
2022-01-03 13:00:00,20.1,50,9.5,8.3,22.7,0.0,1017.6,539.0,38,,0.34,,1,kasr_alainy_egypt
2022-01-03 14:00:00,20.5,47,8.9,9.8,24.5,0.0,1017.0,473.0,37,,0.32,,1,kasr_alainy_egypt
2022-01-03 15:00:00,19.9,50,9.2,8.4,25.2,0.0,1017.0,454.0,35,,0.29,,1,kasr_alainy_egypt
2022-01-03 16:00:00,20.3,48,8.9,8.9,22.0,0.0,1017.1,319.0,53,,0.23,,2,kasr_alainy_egypt
2022-01-03 17:00:00,19.6,50,8.9,9.2,20.9,0.0,1017.3,178.0,47,,0.15,,1,kasr_alainy_egypt
2022-01-03 18:00:00,17.4,60,9.6,4.9,18.7,0.0,1017.7,58.0,20,,0.05,,1,kasr_alainy_egypt
2022-01-03 19:00:00,15.8,70,10.4,6.9,11.5,0.0,1018.2,0.0,8,,0.04,,0,kasr_alainy_egypt
2022-01-03 20:00:00,14.8,78,10.9,6.5,12.2,0.0,1018.6,0.0,15,,0.0,,0,kasr_alainy_egypt
2022-01-03 21:00:00,13.7,84,11.1,6.8,10.8,0.0,1019.2,0.0,100,,0.0,,3,kasr_alainy_egypt
2022-01-03 22:00:00,14.8,79,11.2,7.1,11.9,0.0,1019.8,0.0,61,,0.0,,2,kasr_alainy_egypt
2022-01-03 23:00:00,13.4,86,11.0,5.1,11.9,0.0,1020.0,0.0,49,,0.0,,1,kasr_alainy_egypt
