datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,15.2,88,13.2,5.3,9.7,0.0,833.0,0.0,83,,0.0,,3,kenyatta_kenya
2022-01-01 01:00:00,14.6,90,13.0,5.5,9.4,0.0,832.2,0.0,53,,0.0,,2,kenyatta_kenya
2022-01-01 02:00:00,13.9,92,12.7,5.4,9.7,0.0,831.3,0.0,13,,0.0,,0,kenyatta_kenya
2022-01-01 03:00:00,13.8,90,12.2,5.8,9.0,0.0,831.1,0.0,12,,0.0,,0,kenyatta_kenya
2022-01-01 04:00:00,13.0,93,11.9,5.4,9.4,0.0,830.6,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-01 05:00:00,13.3,92,12.1,6.4,11.2,0.0,831.1,0.0,63,,0.0,,2,kenyatta_kenya
2022-01-01 06:00:00,13.1,92,11.8,6.5,11.5,0.0,831.4,0.0,78,,0.0,,2,kenyatta_kenya
2022-01-01 07:00:00,13.8,88,11.9,6.5,11.2,0.0,832.1,12.0,18,,0.0,,0,kenyatta_kenya
2022-01-01 08:00:00,17.0,75,12.6,5.6,14.4,0.0,834.7,182.0,0,,0.1,,0,kenyatta_kenya
2022-01-01 09:00:00,19.2,64,12.3,6.3,18.4,0.0,835.7,434.0,0,,0.26,,0,kenyatta_kenya
2022-01-01 10:00:00,21.2,56,12.0,7.9,22.7,0.0,836.5,669.0,0,,0.43,,0,kenyatta_kenya
2022-01-01 11:00:00,23.0,48,11.6,8.1,23.8,0.0,836.3,855.0,0,,0.58,,0,kenyatta_kenya
2022-01-01 12:00:00,24.2,45,11.4,10.0,27.0,0.0,835.8,931.0,0,,0.65,,0,kenyatta_kenya
2022-01-01 13:00:00,25.3,42,11.3,10.7,29.2,0.0,835.2,1006.0,100,,0.71,,3,kenyatta_kenya
2022-01-01 14:00:00,26.0,38,10.8,10.3,28.4,0.0,834.4,964.0,76,,0.7,,2,kenyatta_kenya
2022-01-01 15:00:00,25.2,42,11.2,11.6,27.4,0.0,833.6,801.0,34,,0.58,,1,kenyatta_kenya
2022-01-01 16:00:00,23.8,46,11.4,12.0,28.8,0.0,832.7,587.0,39,,0.43,,1,kenyatta_kenya
2022-01-01 17:00:00,22.8,51,12.1,10.2,28.8,0.0,832.7,405.0,66,,0.3,,2,kenyatta_kenya
2022-01-01 18:00:00,22.0,55,12.4,8.7,23.8,0.0,832.5,178.0,96,,0.15,,3,kenyatta_kenya
2022-01-01 19:00:00,19.9,64,12.9,9.2,17.6,0.0,832.1,25.0,100,,0.05,,3,kenyatta_kenya
2022-01-01 20:00:00,18.9,69,13.1,7.7,16.9,0.0,832.5,0.0,91,,0.02,,3,kenyatta_kenya
2022-01-01 21:00:00,17.6,75,13.2,7.6,14.0,0.0,833.0,0.0,100,,0.01,,3,kenyatta_kenya
2022-01-01 22:00:00,16.5,82,13.4,7.8,13.7,0.0,833.2,0.0,33,,0.0,,1,kenyatta_kenya
2022-01-01 23:00:00,15.5,89,13.6,6.6,13.7,0.0,833.0,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 00:00:00,15.1,91,13.8,6.2,11.9,0.0,832.5,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 01:00:00,15.6,89,13.9,5.4,12.2,0.0,832.4,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 02:00:00,15.3,93,14.1,5.2,9.7,0.0,831.7,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 03:00:00,14.9,92,13.6,4.3,9.0,0.0,831.1,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 04:00:00,15.3,90,13.6,3.9,8.3,0.0,831.0,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 05:00:00,15.4,89,13.7,4.7,8.3,0.0,831.4,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 06:00:00,15.4,90,13.7,5.3,10.1,0.0,831.7,0.0,100,,0.0,,3,kenyatta_kenya
2022-01-02 07:00:00,14.9,92,13.6,5.9,10.1,0.0,831.9,10.0,77,,0.0,,2,kenyatta_kenya
2022-01-02 08:00:00,17.1,82,14.1,5.8,14.4,0.0,833.7,162.0,31,,0.09,,1,kenyatta_kenya
2022-01-02 09:00:00,19.5,70,14.0,9.4,23.4,0.0,834.8,425.0,48,,0.26,,1,kenyatta_kenya
2022-01-02 10:00:00,21.3,61,13.6,8.9,25.9,0.0,835.1,601.0,26,,0.39,,1,kenyatta_kenya
2022-01-02 11:00:00,23.1,51,12.4,9.7,27.0,0.0,835.6,843.0,32,,0.57,,1,kenyatta_kenya
2022-01-02 12:00:00,24.5,46,12.2,9.8,27.7,0.0,835.2,982.0,65,,0.68,,2,kenyatta_kenya
2022-01-02 13:00:00,25.7,41,11.4,10.0,28.1,0.0,834.8,1028.0,54,,0.73,,2,kenyatta_kenya
2022-01-02 14:00:00,26.5,36,10.2,10.3,28.1,0.0,833.9,1000.0,78,,0.73,,2,kenyatta_kenya
2022-01-02 15:00:00,25.7,40,11.1,10.0,29.2,0.0,832.7,893.0,96,,0.64,,3,kenyatta_kenya
2022-01-02 16:00:00,25.5,40,10.8,12.4,29.2,0.0,832.1,698.0,31,,0.52,,1,kenyatta_kenya
2022-01-02 17:00:00,24.6,42,10.8,14.7,31.7,0.0,831.7,475.0,37,,0.37,,1,kenyatta_kenya
2022-01-02 18:00:00,22.8,47,11.0,13.6,31.7,0.0,831.4,219.0,15,,0.2,,0,kenyatta_kenya
2022-01-02 19:00:00,20.5,55,11.1,11.8,27.0,0.0,831.0,29.0,18,,0.07,,0,kenyatta_kenya
2022-01-02 20:00:00,18.7,62,11.1,8.0,21.6,0.0,830.9,0.0,13,,0.03,,0,kenyatta_kenya
2022-01-02 21:00:00,17.0,69,11.2,7.6,14.4,0.0,831.0,0.0,3,,0.01,,0,kenyatta_kenya
2022-01-02 22:00:00,16.2,72,11.2,9.0,15.8,0.0,831.4,0.0,3,,0.02,,0,kenyatta_kenya
2022-01-02 23:00:00,15.5,78,11.7,7.6,16.2,0.0,831.6,0.0,1,,0.0,,0,kenyatta_kenya
