datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,26.4,89,24.5,5.1,13.7,0.0,1011.4,0.0,26,,0.0,,1,korle_bu_ghana
2022-01-01 01:00:00,26.2,91,24.6,4.2,7.9,0.0,1010.8,0.0,59,,0.0,,2,korle_bu_ghana
2022-01-01 02:00:00,25.6,95,24.7,5.1,6.1,0.0,1010.2,0.0,31,,0.0,,1,korle_bu_ghana
2022-01-01 03:00:00,25.4,96,24.7,4.7,6.1,0.0,1010.0,0.0,67,,0.0,,2,korle_bu_ghana
2022-01-01 04:00:00,25.2,97,24.7,4.3,5.4,0.0,1009.7,0.0,61,,0.0,,2,korle_bu_ghana
2022-01-01 05:00:00,25.3,92,23.9,3.4,6.1,1.0,1009.9,0.0,97,,0.0,,55,korle_bu_ghana
2022-01-01 06:00:00,24.5,91,22.9,10.4,17.6,1.8,1011.1,0.0,100,,0.0,,61,korle_bu_ghana
2022-01-01 07:00:00,25.3,89,23.3,5.4,17.6,0.1,1011.7,12.0,100,,0.03,,51,korle_bu_ghana
2022-01-01 08:00:00,26.2,84,23.3,3.3,10.1,0.0,1012.5,99.0,99,,0.08,,3,korle_bu_ghana
2022-01-01 09:00:00,27.3,78,23.2,4.7,14.0,0.0,1012.7,271.0,100,,0.2,,3,korle_bu_ghana
2022-01-01 10:00:00,28.0,76,23.3,5.8,15.8,0.1,1012.4,420.0,100,,0.31,,51,korle_bu_ghana
2022-01-01 11:00:00,28.8,72,23.2,6.1,16.6,0.0,1011.8,589.0,97,,0.43,,3,korle_bu_ghana
2022-01-01 12:00:00,30.3,65,23.0,8.3,19.8,0.0,1010.9,736.0,100,,0.55,,3,korle_bu_ghana
2022-01-01 13:00:00,30.2,65,22.9,11.5,25.6,0.1,1009.6,760.0,88,,0.56,,51,korle_bu_ghana
2022-01-01 14:00:00,30.0,65,22.6,13.4,28.1,0.0,1008.6,703.0,89,,0.52,,3,korle_bu_ghana
2022-01-01 15:00:00,29.9,64,22.3,11.6,28.1,0.0,1007.8,537.0,85,,0.42,,3,korle_bu_ghana
2022-01-01 16:00:00,29.3,68,22.8,11.6,24.8,0.0,1007.6,359.0,73,,0.29,,2,korle_bu_ghana
2022-01-01 17:00:00,28.7,70,22.8,10.9,23.4,0.0,1007.8,198.0,89,,0.18,,3,korle_bu_ghana
2022-01-01 18:00:00,28.0,77,23.5,12.0,20.5,0.0,1008.7,42.0,75,,0.07,,2,korle_bu_ghana
2022-01-01 19:00:00,27.6,80,23.8,11.4,20.5,0.0,1009.7,0.0,93,,0.03,,3,korle_bu_ghana
