datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,22.3,72,17.0,12.8,23.0,0.0,892.5,0.0,97,,0.04,,3,lacor_uganda
2022-01-01 01:00:00,21.6,79,17.8,14.6,27.0,0.0,891.9,0.0,98,,0.03,,3,lacor_uganda
2022-01-01 02:00:00,21.1,82,18.0,14.8,28.1,0.0,891.3,0.0,11,,0.02,,0,lacor_uganda
2022-01-01 03:00:00,21.0,78,17.1,12.5,27.7,0.0,891.2,0.0,49,,0.02,,1,lacor_uganda
2022-01-01 04:00:00,20.6,81,17.4,10.7,22.3,0.0,890.6,0.0,43,,0.01,,1,lacor_uganda
2022-01-01 05:00:00,20.4,83,17.5,10.7,19.1,0.0,890.8,0.0,41,,0.01,,1,lacor_uganda
2022-01-01 06:00:00,20.0,85,17.5,9.3,18.7,0.0,891.4,0.0,100,,0.0,,3,lacor_uganda
2022-01-01 07:00:00,19.7,86,17.2,8.7,16.6,0.0,891.6,0.0,99,,0.03,,3,lacor_uganda
2022-01-01 08:00:00,21.1,78,17.1,8.9,16.9,0.0,892.9,67.0,96,,0.06,,3,lacor_uganda
2022-01-01 09:00:00,23.9,64,16.6,7.7,19.8,0.0,894.4,266.0,100,,0.19,,3,lacor_uganda
2022-01-01 10:00:00,26.2,52,15.6,6.1,25.9,0.0,895.1,495.0,100,,0.36,,3,lacor_uganda
2022-01-01 11:00:00,27.8,44,14.6,2.5,25.6,0.0,895.1,678.0,89,,0.49,,3,lacor_uganda
2022-01-01 12:00:00,28.9,41,14.1,4.1,16.9,0.0,894.6,714.0,75,,0.54,,2,lacor_uganda
2022-01-01 13:00:00,30.0,36,13.4,4.5,18.4,0.0,893.8,862.0,84,,0.65,,3,lacor_uganda
2022-01-01 14:00:00,30.6,34,12.9,5.2,19.4,0.0,892.7,823.0,100,,0.64,,3,lacor_uganda
2022-01-01 15:00:00,28.8,39,13.4,5.9,18.7,0.0,891.8,723.0,90,,0.55,,3,lacor_uganda
2022-01-01 16:00:00,29.0,39,13.4,1.9,18.0,0.0,891.1,504.0,100,,0.38,,3,lacor_uganda
2022-01-01 17:00:00,28.6,40,13.6,0.8,12.6,0.0,890.7,316.0,91,,0.23,,3,lacor_uganda
2022-01-01 18:00:00,28.0,41,13.6,2.2,8.6,0.1,890.7,140.0,80,,0.12,,51,lacor_uganda
2022-01-01 19:00:00,26.4,47,14.3,6.1,10.4,0.0,890.5,33.0,38,,0.07,,1,lacor_uganda
2022-01-01 20:00:00,25.5,50,14.2,5.6,10.8,0.0,890.7,0.0,100,,0.03,,3,lacor_uganda
2022-01-01 21:00:00,24.6,63,17.1,2.6,7.6,0.0,891.3,0.0,100,,0.0,,3,lacor_uganda
2022-01-01 22:00:00,24.0,55,14.4,9.5,15.1,0.0,891.8,0.0,87,,0.05,,3,lacor_uganda
2022-01-01 23:00:00,23.5,56,14.2,12.4,23.4,0.0,891.8,0.0,15,,0.07,,0,lacor_uganda
2022-01-02 00:00:00,22.8,59,14.5,11.8,22.7,0.0,891.0,0.0,15,,0.06,,0,lacor_uganda
2022-01-02 01:00:00,22.3,62,14.6,11.2,22.0,0.0,890.5,0.0,14,,0.05,,0,lacor_uganda
2022-01-02 02:00:00,21.9,64,14.8,10.9,20.5,0.0,890.2,0.0,0,,0.04,,0,lacor_uganda
2022-01-02 03:00:00,21.0,71,15.6,10.9,19.8,0.0,890.0,0.0,11,,0.03,,0,lacor_uganda
2022-01-02 04:00:00,20.5,76,16.0,10.1,19.4,0.0,890.2,0.0,36,,0.02,,1,lacor_uganda
2022-01-02 05:00:00,20.1,80,16.5,9.8,18.7,0.0,890.6,0.0,80,,0.01,,3,lacor_uganda
2022-01-02 06:00:00,20.0,82,16.8,10.1,18.4,0.0,891.0,0.0,60,,0.01,,2,lacor_uganda
2022-01-02 07:00:00,19.7,85,17.0,9.1,18.4,0.0,891.4,0.0,22,,0.03,,1,lacor_uganda
2022-01-02 08:00:00,20.6,81,17.3,1.5,16.2,0.0,892.4,67.0,73,,0.03,,2,lacor_uganda
2022-01-02 09:00:00,23.1,70,17.3,4.7,14.4,0.0,893.7,265.0,39,,0.18,,1,lacor_uganda
