datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,10.6,92,9.4,16.1,32.8,0.0,1009.8,0.0,100,,0.0,,3,leeds_general_nhs
2022-01-01 01:00:00,11.4,89,9.7,9.4,28.1,0.0,1008.7,0.0,100,,0.0,,3,leeds_general_nhs
2022-01-01 02:00:00,10.8,92,9.6,12.3,21.6,0.0,1008.4,0.0,100,,0.0,,3,leeds_general_nhs
2022-01-01 03:00:00,12.1,89,10.2,15.5,27.7,0.1,1007.7,0.0,100,,0.01,,51,leeds_general_nhs
2022-01-01 04:00:00,11.8,88,9.9,12.7,27.4,0.0,1007.3,0.0,100,,0.0,,3,leeds_general_nhs
2022-01-01 05:00:00,12.3,81,9.2,16.9,29.2,0.0,1006.4,0.0,100,,0.02,,3,leeds_general_nhs
2022-01-01 06:00:00,12.2,77,8.3,19.1,33.1,0.0,1005.5,0.0,100,,0.03,,3,leeds_general_nhs
2022-01-01 07:00:00,12.5,73,7.8,22.3,38.9,0.0,1004.8,0.0,100,,0.05,,3,leeds_general_nhs
2022-01-01 08:00:00,12.9,71,7.7,23.1,41.0,0.0,1004.0,0.0,100,,0.05,,3,leeds_general_nhs
2022-01-01 09:00:00,13.1,70,7.7,23.4,42.5,0.0,1003.8,0.0,100,,0.06,,3,leeds_general_nhs
2022-01-01 10:00:00,13.2,70,7.9,21.9,41.4,0.0,1003.5,4.0,100,,0.07,,3,leeds_general_nhs
2022-01-01 11:00:00,13.8,69,8.3,25.4,45.0,0.0,1003.6,43.0,100,,0.08,,3,leeds_general_nhs
2022-01-01 12:00:00,14.2,70,8.9,27.7,48.2,0.0,1003.4,71.0,100,,0.1,,3,leeds_general_nhs
2022-01-01 13:00:00,14.0,77,9.9,29.8,54.4,0.0,1003.6,96.0,100,,0.09,,3,leeds_general_nhs
2022-01-01 14:00:00,13.6,78,9.9,27.2,52.6,0.0,1003.0,72.0,93,,0.08,,3,leeds_general_nhs
2022-01-01 15:00:00,13.4,80,10.1,25.5,47.9,0.0,1002.9,101.0,20,,0.08,,1,leeds_general_nhs
2022-01-01 16:00:00,12.8,83,9.9,23.2,45.0,0.0,1003.2,83.0,11,,0.05,,0,leeds_general_nhs
2022-01-01 17:00:00,11.9,85,9.4,20.7,40.7,0.0,1003.6,19.0,5,,0.03,,0,leeds_general_nhs
2022-01-01 18:00:00,11.3,85,8.9,19.3,36.7,0.0,1003.2,0.0,47,,0.02,,1,leeds_general_nhs
2022-01-01 19:00:00,11.1,80,7.7,20.3,35.3,0.0,1002.9,0.0,17,,0.03,,0,leeds_general_nhs
2022-01-01 20:00:00,10.6,82,7.7,18.8,35.6,0.0,1003.0,0.0,16,,0.02,,0,leeds_general_nhs
2022-01-01 21:00:00,10.1,87,8.1,18.6,33.5,0.0,1003.0,0.0,80,,0.01,,3,leeds_general_nhs
2022-01-01 22:00:00,10.3,87,8.2,20.9,36.4,0.0,1002.7,0.0,82,,0.01,,3,leeds_general_nhs
