datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,26.5,84,23.6,9.7,16.9,0.0,1010.9,0.0,52,,0.01,,2,luth_nigeria
2022-01-01 01:00:00,25.9,91,24.2,6.1,16.6,0.0,1010.4,0.0,55,,0.0,,2,luth_nigeria
2022-01-01 02:00:00,25.8,91,24.2,5.9,10.8,0.0,1009.9,0.0,100,,0.0,,3,luth_nigeria
2022-01-01 03:00:00,25.5,93,24.2,6.2,9.4,0.0,1009.5,0.0,99,,0.0,,3,luth_nigeria
2022-01-01 04:00:00,24.8,95,23.9,4.3,9.0,0.0,1009.4,0.0,100,,0.0,,3,luth_nigeria
2022-01-01 05:00:00,24.8,94,23.8,6.4,10.8,0.0,1009.6,0.0,100,,0.0,,3,luth_nigeria
2022-01-01 06:00:00,24.2,97,23.6,6.8,11.5,0.0,1010.0,0.0,99,,0.0,,3,luth_nigeria
2022-01-01 07:00:00,23.7,97,23.2,4.5,13.3,0.1,1010.6,0.0,98,,0.0,,51,luth_nigeria
2022-01-01 08:00:00,24.8,93,23.5,2.3,9.0,0.1,1011.3,39.0,99,,0.03,,51,luth_nigeria
2022-01-01 09:00:00,26.3,87,24.0,0.4,8.3,0.0,1012.1,180.0,87,,0.12,,3,luth_nigeria
2022-01-01 10:00:00,28.0,78,23.9,4.3,14.4,0.0,1012.1,353.0,75,,0.26,,2,luth_nigeria
2022-01-01 11:00:00,29.5,71,23.5,4.2,15.5,0.0,1011.7,513.0,47,,0.38,,1,luth_nigeria
2022-01-01 12:00:00,30.3,67,23.6,7.1,22.0,0.3,1011.2,647.0,54,,0.49,,51,luth_nigeria
2022-01-01 13:00:00,31.6,59,22.5,5.8,25.2,0.1,1009.9,662.0,63,,0.52,,51,luth_nigeria
2022-01-01 14:00:00,31.4,60,22.6,8.8,22.7,0.1,1009.1,685.0,98,,0.53,,51,luth_nigeria
2022-01-01 15:00:00,30.5,63,22.8,12.0,27.4,0.9,1008.2,640.0,98,,0.49,,53,luth_nigeria
2022-01-01 16:00:00,29.8,66,22.9,13.6,28.1,0.0,1007.4,388.0,96,,0.33,,3,luth_nigeria
2022-01-01 17:00:00,29.3,69,23.0,11.8,28.4,0.0,1007.3,316.0,55,,0.26,,2,luth_nigeria
2022-01-01 18:00:00,28.5,73,23.2,10.2,24.1,0.0,1007.7,140.0,88,,0.13,,3,luth_nigeria
