datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.8,89,10.1,14.2,28.4,0.0,1010.5,0.0,100,,0.0,,3,manchester_nhs
2022-01-01 01:00:00,12.4,87,10.2,20.3,26.3,0.0,1009.3,0.0,100,,0.01,,3,manchester_nhs
2022-01-01 02:00:00,12.9,86,10.6,20.5,35.6,0.0,1009.2,0.0,100,,0.02,,3,manchester_nhs
2022-01-01 03:00:00,12.9,85,10.5,20.5,36.4,0.0,1008.4,0.0,100,,0.02,,3,manchester_nhs
2022-01-01 04:00:00,12.9,81,9.9,20.9,36.0,0.0,1008.0,0.0,100,,0.03,,3,manchester_nhs
2022-01-01 05:00:00,12.9,77,8.9,25.2,43.6,0.0,1006.9,0.0,100,,0.04,,3,manchester_nhs
2022-01-01 06:00:00,12.9,74,8.4,27.8,48.6,0.0,1006.3,0.0,100,,0.05,,3,manchester_nhs
2022-01-01 07:00:00,12.8,75,8.4,28.4,50.8,0.0,1005.6,0.0,100,,0.05,,3,manchester_nhs
2022-01-01 08:00:00,12.9,74,8.4,27.2,50.0,0.0,1005.3,0.0,100,,0.05,,3,manchester_nhs
2022-01-01 09:00:00,13.1,72,8.2,26.6,47.5,0.0,1005.1,0.0,100,,0.06,,3,manchester_nhs
2022-01-01 10:00:00,13.6,71,8.4,28.2,49.3,0.0,1005.0,4.0,93,,0.08,,3,manchester_nhs
2022-01-01 11:00:00,14.1,71,8.8,27.9,50.4,0.0,1005.0,45.0,100,,0.09,,3,manchester_nhs
2022-01-01 12:00:00,14.6,71,9.4,26.4,48.6,0.0,1005.2,71.0,100,,0.1,,3,manchester_nhs
2022-01-01 13:00:00,14.4,78,10.6,23.8,46.1,0.0,1005.4,95.0,100,,0.08,,3,manchester_nhs
2022-01-01 14:00:00,14.1,81,10.8,23.8,45.0,0.5,1004.8,102.0,46,,0.08,,53,manchester_nhs
2022-01-01 15:00:00,13.9,82,11.0,19.7,46.1,0.8,1004.6,125.0,25,,0.07,,53,manchester_nhs
2022-01-01 16:00:00,13.4,83,10.4,18.5,40.7,0.1,1005.0,84.0,18,,0.05,,51,manchester_nhs
2022-01-01 17:00:00,12.5,84,9.9,19.0,33.8,0.0,1005.1,21.0,7,,0.03,,0,manchester_nhs
2022-01-01 18:00:00,11.7,84,9.0,19.6,33.8,0.0,1004.6,0.0,65,,0.02,,2,manchester_nhs
2022-01-01 19:00:00,11.2,84,8.6,21.7,37.4,0.0,1004.6,0.0,12,,0.02,,0,manchester_nhs
2022-01-01 20:00:00,10.9,87,8.8,21.5,38.5,0.0,1004.7,0.0,78,,0.01,,2,manchester_nhs
2022-01-01 21:00:00,10.9,88,9.0,21.3,37.4,0.0,1004.6,0.0,93,,0.01,,3,manchester_nhs
2022-01-01 22:00:00,11.2,87,9.1,21.0,37.4,0.0,1004.4,0.0,92,,0.01,,3,manchester_nhs
2022-01-01 23:00:00,10.9,87,8.9,19.8,36.4,0.0,1004.3,0.0,83,,0.01,,3,manchester_nhs
2022-01-02 00:00:00,10.9,88,9.0,20.3,35.3,0.0,1003.9,0.0,72,,0.01,,2,manchester_nhs
2022-01-02 01:00:00,10.9,87,8.8,21.2,35.6,0.0,1003.5,0.0,100,,0.01,,3,manchester_nhs
2022-01-02 02:00:00,10.8,87,8.6,17.8,37.1,0.0,1002.4,0.0,100,,0.01,,3,manchester_nhs
2022-01-02 03:00:00,10.9,85,8.4,17.9,32.8,0.0,1001.8,0.0,100,,0.02,,3,manchester_nhs
