datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,27.3,78,23.1,14.2,24.8,0.0,1011.7,0.0,100,,0.04,,3,muhimbili_tanzania
2022-01-01 01:00:00,27.2,78,23.0,14.4,25.6,0.0,1011.0,0.0,98,,0.04,,3,muhimbili_tanzania
2022-01-01 02:00:00,27.0,79,23.1,13.0,25.2,0.0,1010.3,0.0,64,,0.03,,2,muhimbili_tanzania
2022-01-01 03:00:00,26.9,82,23.5,13.8,22.7,0.0,1009.9,0.0,36,,0.03,,1,muhimbili_tanzania
2022-01-01 04:00:00,26.8,82,23.5,12.7,24.5,0.0,1010.0,0.0,64,,0.03,,2,muhimbili_tanzania
2022-01-01 05:00:00,26.9,80,23.1,13.6,23.4,0.0,1010.6,0.0,61,,0.04,,2,muhimbili_tanzania
2022-01-01 06:00:00,26.8,80,23.1,13.4,25.9,0.0,1011.1,0.0,73,,0.03,,2,muhimbili_tanzania
2022-01-01 07:00:00,27.1,78,23.0,13.0,23.4,0.1,1011.9,32.0,99,,0.06,,51,muhimbili_tanzania
2022-01-01 08:00:00,27.0,80,23.2,13.0,26.6,1.9,1012.7,191.0,95,,0.15,,61,muhimbili_tanzania
2022-01-01 09:00:00,25.6,85,23.0,12.2,31.7,6.6,1013.4,242.0,100,,0.17,,63,muhimbili_tanzania
2022-01-01 10:00:00,25.4,86,23.0,7.6,26.6,3.3,1013.9,229.0,100,,0.17,,63,muhimbili_tanzania
2022-01-01 11:00:00,26.5,81,23.0,10.5,21.2,0.0,1012.9,309.0,100,,0.23,,3,muhimbili_tanzania
2022-01-01 12:00:00,28.7,72,23.1,12.8,28.1,0.1,1012.1,797.0,98,,0.56,,51,muhimbili_tanzania
2022-01-01 13:00:00,28.6,74,23.5,14.3,32.4,0.1,1011.2,834.0,99,,0.57,,51,muhimbili_tanzania
2022-01-01 14:00:00,28.6,74,23.6,15.0,32.8,0.0,1010.2,801.0,100,,0.55,,3,muhimbili_tanzania
2022-01-01 15:00:00,30.2,64,22.7,13.8,32.8,0.0,1008.9,710.0,100,,0.53,,3,muhimbili_tanzania
2022-01-01 16:00:00,29.7,67,23.0,12.2,29.9,0.2,1008.1,614.0,35,,0.45,,51,muhimbili_tanzania
2022-01-01 17:00:00,29.4,69,23.0,14.6,28.8,0.0,1008.1,402.0,23,,0.32,,1,muhimbili_tanzania
2022-01-01 18:00:00,28.4,75,23.4,16.4,31.3,0.0,1008.7,203.0,8,,0.18,,0,muhimbili_tanzania
2022-01-01 19:00:00,27.4,81,23.7,16.2,31.7,0.0,1009.3,26.0,1,,0.06,,0,muhimbili_tanzania
2022-01-01 20:00:00,27.3,81,23.6,14.3,29.2,0.0,1010.3,0.0,5,,0.04,,0,muhimbili_tanzania
2022-01-01 21:00:00,27.3,81,23.6,15.3,27.4,0.0,1011.3,0.0,6,,0.04,,0,muhimbili_tanzania
2022-01-01 22:00:00,27.2,81,23.8,13.5,27.0,0.0,1011.8,0.0,33,,0.03,,1,muhimbili_tanzania
2022-01-01 23:00:00,27.2,81,23.8,12.5,23.8,0.0,1011.7,0.0,91,,0.03,,3,muhimbili_tanzania
2022-01-02 00:00:00,27.1,82,23.8,11.5,22.3,0.0,1011.1,0.0,29,,0.03,,1,muhimbili_tanzania
2022-01-02 01:00:00,26.9,82,23.6,10.7,20.2,0.0,1010.4,0.0,78,,0.02,,2,muhimbili_tanzania
2022-01-02 02:00:00,26.8,83,23.6,9.9,19.1,0.0,1009.9,0.0,85,,0.02,,3,muhimbili_tanzania
2022-01-02 03:00:00,26.9,81,23.3,11.4,18.0,0.0,1009.5,0.0,73,,0.03,,2,muhimbili_tanzania
2022-01-02 04:00:00,26.9,81,23.4,9.8,20.5,0.0,1009.4,0.0,21,,0.02,,1,muhimbili_tanzania
2022-01-02 05:00:00,26.5,83,23.4,8.7,17.6,0.0,1009.6,0.0,22,,0.01,,1,muhimbili_tanzania
2022-01-02 06:00:00,26.4,83,23.3,8.7,15.8,0.0,1010.1,0.0,27,,0.01,,1,muhimbili_tanzania
2022-01-02 07:00:00,26.8,83,23.5,10.9,18.7,0.0,1011.1,34.0,28,,0.05,,1,muhimbili_tanzania
2022-01-02 08:00:00,27.5,77,23.2,12.7,25.2,0.1,1011.9,199.0,34,,0.16,,51,muhimbili_tanzania
