datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.5,90,9.9,16.8,28.4,0.0,1005.1,0.0,100,,0.0,,3,newcastle_rvi_nhs
2022-01-01 01:00:00,12.1,86,9.8,13.0,29.9,0.0,1004.4,0.0,100,,0.01,,3,newcastle_rvi_nhs
2022-01-01 02:00:00,12.1,86,9.9,10.4,22.3,0.0,1003.6,0.0,100,,0.0,,3,newcastle_rvi_nhs
2022-01-01 03:00:00,12.1,87,10.1,12.9,22.3,0.0,1003.1,0.0,100,,0.01,,3,newcastle_rvi_nhs
2022-01-01 04:00:00,12.3,86,10.1,17.0,29.2,0.0,1002.1,0.0,100,,0.01,,3,newcastle_rvi_nhs
2022-01-01 05:00:00,12.4,85,10.0,17.2,29.9,0.0,1000.9,0.0,100,,0.01,,3,newcastle_rvi_nhs
2022-01-01 06:00:00,12.9,80,9.4,20.9,36.4,0.0,1000.2,0.0,98,,0.03,,3,newcastle_rvi_nhs
2022-01-01 07:00:00,12.9,75,8.6,24.2,41.8,0.0,999.4,0.0,100,,0.05,,3,newcastle_rvi_nhs
2022-01-01 08:00:00,12.9,73,8.1,24.9,45.7,0.0,998.9,0.0,100,,0.05,,3,newcastle_rvi_nhs
2022-01-01 09:00:00,12.6,72,7.7,18.4,43.9,0.0,998.6,0.0,100,,0.04,,3,newcastle_rvi_nhs
2022-01-01 10:00:00,13.2,69,7.7,15.9,32.0,0.0,998.0,2.0,90,,0.05,,3,newcastle_rvi_nhs
2022-01-01 11:00:00,14.4,67,8.4,23.7,41.4,0.0,997.8,36.0,100,,0.09,,3,newcastle_rvi_nhs
2022-01-01 12:00:00,14.5,69,8.9,24.9,44.6,0.0,997.8,71.0,100,,0.1,,3,newcastle_rvi_nhs
2022-01-01 13:00:00,14.3,73,9.4,25.2,45.4,0.0,998.0,59.0,100,,0.09,,3,newcastle_rvi_nhs
2022-01-01 14:00:00,13.9,70,8.6,25.6,47.2,0.0,997.8,77.0,82,,0.1,,3,newcastle_rvi_nhs
2022-01-01 15:00:00,13.5,67,7.4,23.3,45.4,0.0,997.6,103.0,35,,0.1,,1,newcastle_rvi_nhs
2022-01-01 16:00:00,12.8,69,7.2,24.1,42.5,0.0,997.8,67.0,67,,0.08,,2,newcastle_rvi_nhs
2022-01-01 17:00:00,12.1,72,7.2,22.7,43.2,0.0,997.8,12.0,63,,0.06,,2,newcastle_rvi_nhs
2022-01-01 18:00:00,12.1,71,6.9,22.9,40.7,0.0,997.4,0.0,73,,0.05,,2,newcastle_rvi_nhs
2022-01-01 19:00:00,11.9,73,7.2,21.3,40.7,0.0,997.0,0.0,76,,0.04,,2,newcastle_rvi_nhs
2022-01-01 20:00:00,11.9,74,7.4,21.4,38.5,0.0,997.0,0.0,86,,0.04,,3,newcastle_rvi_nhs
2022-01-01 21:00:00,12.1,72,7.3,21.2,38.5,0.0,997.0,0.0,99,,0.05,,3,newcastle_rvi_nhs
2022-01-01 22:00:00,12.2,72,7.3,20.3,37.4,0.0,997.2,0.0,99,,0.05,,3,newcastle_rvi_nhs
2022-01-01 23:00:00,12.0,75,7.7,18.2,36.0,0.0,997.5,0.0,100,,0.04,,3,newcastle_rvi_nhs
2022-01-02 00:00:00,11.8,76,7.6,16.1,32.4,0.0,997.3,0.0,100,,0.03,,3,newcastle_rvi_nhs
2022-01-02 01:00:00,11.2,79,7.6,15.9,28.4,0.0,996.8,0.0,100,,0.02,,3,newcastle_rvi_nhs
2022-01-02 02:00:00,11.0,80,7.7,16.4,29.9,0.0,996.5,0.0,98,,0.02,,3,newcastle_rvi_nhs
2022-01-02 03:00:00,10.9,78,7.2,15.6,29.2,0.0,996.0,0.0,100,,0.02,,3,newcastle_rvi_nhs
2022-01-02 04:00:00,10.6,78,6.9,14.3,27.4,0.0,995.6,0.0,100,,0.02,,3,newcastle_rvi_nhs
2022-01-02 05:00:00,10.1,76,6.1,13.1,25.2,0.0,994.8,0.0,100,,0.02,,3,newcastle_rvi_nhs
2022-01-02 06:00:00,9.7,77,5.9,12.9,23.0,0.0,994.0,0.0,100,,0.02,,3,newcastle_rvi_nhs
2022-01-02 07:00:00,9.2,81,6.2,14.7,25.6,0.0,993.4,0.0,100,,0.01,,3,newcastle_rvi_nhs
2022-01-02 08:00:00,9.8,80,6.4,17.8,31.0,0.0,993.0,0.0,97,,0.02,,3,newcastle_rvi_nhs
2022-01-02 09:00:00,9.2,82,6.3,16.9,31.7,0.0,992.8,0.0,99,,0.02,,3,newcastle_rvi_nhs
2022-01-02 10:00:00,9.4,81,6.4,18.3,31.7,0.0,992.7,2.0,76,,0.03,,2,newcastle_rvi_nhs
2022-01-02 11:00:00,9.7,80,6.3,19.5,33.8,0.0,992.4,43.0,61,,0.04,,2,newcastle_rvi_nhs
2022-01-02 12:00:00,10.4,74,6.0,19.1,34.9,0.0,991.9,111.0,27,,0.07,,1,newcastle_rvi_nhs
2022-01-02 13:00:00,10.5,71,5.4,20.3,38.5,0.0,991.6,138.0,74,,0.08,,2,newcastle_rvi_nhs
2022-01-02 14:00:00,10.6,72,5.7,19.0,37.4,0.0,990.9,162.0,57,,0.09,,2,newcastle_rvi_nhs
