datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,8.3,100,8.2,5.3,7.2,0.0,1010.4,0.0,100,,0.0,,3,nyc_elmhurst
2022-01-01 01:00:00,8.2,100,8.1,6.6,9.7,0.0,1010.2,0.0,100,,0.0,,3,nyc_elmhurst
2022-01-01 02:00:00,7.9,100,7.9,5.8,10.1,0.0,1010.3,0.0,100,,0.0,,3,nyc_elmhurst
2022-01-01 03:00:00,7.8,100,7.8,7.7,11.2,0.0,1009.5,0.0,100,,0.0,,3,nyc_elmhurst
2022-01-01 04:00:00,7.9,100,7.8,4.7,13.0,0.1,1009.3,0.0,100,,0.0,,51,nyc_elmhurst
2022-01-01 05:00:00,8.3,100,8.3,9.2,13.7,0.1,1008.0,0.0,100,,0.0,,51,nyc_elmhurst
2022-01-01 06:00:00,9.0,99,8.9,8.7,13.7,0.8,1007.3,0.0,100,,0.0,,53,nyc_elmhurst
2022-01-01 07:00:00,9.2,99,9.1,8.7,17.6,1.0,1007.0,0.0,100,,0.0,,55,nyc_elmhurst
2022-01-01 08:00:00,9.6,100,9.6,2.7,14.4,0.6,1007.1,0.0,100,,0.0,,53,nyc_elmhurst
2022-01-01 09:00:00,9.9,99,9.8,8.4,12.2,0.6,1006.9,2.0,100,,0.01,,53,nyc_elmhurst
2022-01-01 10:00:00,10.4,99,10.2,9.8,14.4,0.7,1007.2,37.0,100,,0.02,,53,nyc_elmhurst
2022-01-01 11:00:00,10.7,99,10.6,11.6,16.9,1.0,1007.6,41.0,100,,0.02,,55,nyc_elmhurst
2022-01-01 12:00:00,11.6,96,10.9,11.2,18.0,0.6,1006.6,103.0,100,,0.05,,53,nyc_elmhurst
2022-01-01 13:00:00,11.6,98,11.3,12.3,18.4,0.6,1005.4,69.0,100,,0.04,,53,nyc_elmhurst
2022-01-01 14:00:00,11.7,98,11.4,9.7,18.0,0.9,1004.5,61.0,100,,0.04,,53,nyc_elmhurst
2022-01-01 15:00:00,12.0,98,11.6,9.4,14.4,0.6,1004.3,62.0,100,,0.04,,53,nyc_elmhurst
2022-01-01 16:00:00,11.9,98,11.6,8.2,14.4,0.1,1003.4,28.0,100,,0.02,,51,nyc_elmhurst
2022-01-01 17:00:00,11.6,99,11.4,4.6,12.2,0.2,1003.3,38.0,100,,0.02,,51,nyc_elmhurst
