datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,8.3,100,8.2,4.0,7.2,0.0,1012.2,0.0,100,,0.0,,3,nyc_lincoln
2022-01-01 01:00:00,8.2,100,8.2,6.4,10.1,0.0,1012.0,0.0,100,,0.0,,3,nyc_lincoln
2022-01-01 02:00:00,8.1,100,8.1,5.5,10.8,0.0,1012.1,0.0,100,,0.0,,3,nyc_lincoln
2022-01-01 03:00:00,7.9,100,7.8,7.1,10.8,0.0,1011.3,0.0,100,,0.0,,3,nyc_lincoln
2022-01-01 04:00:00,7.8,100,7.8,4.2,13.0,0.1,1011.2,0.0,100,,0.0,,51,nyc_lincoln
2022-01-01 05:00:00,8.1,99,8.1,10.3,15.8,0.0,1009.9,0.0,100,,0.0,,3,nyc_lincoln
2022-01-01 06:00:00,8.8,99,8.6,6.4,16.2,0.8,1009.3,0.0,100,,0.0,,53,nyc_lincoln
2022-01-01 07:00:00,9.1,99,8.9,7.4,17.3,1.3,1008.9,0.0,100,,0.0,,61,nyc_lincoln
2022-01-01 08:00:00,9.5,99,9.4,2.1,14.8,0.5,1009.0,0.0,100,,0.0,,53,nyc_lincoln
2022-01-01 09:00:00,9.8,99,9.7,7.9,12.6,0.5,1008.8,2.0,100,,0.01,,53,nyc_lincoln
2022-01-01 10:00:00,10.4,98,10.2,9.4,14.4,0.6,1009.1,40.0,100,,0.02,,53,nyc_lincoln
2022-01-01 11:00:00,10.6,99,10.4,11.3,18.0,0.7,1009.4,41.0,100,,0.03,,53,nyc_lincoln
2022-01-01 12:00:00,11.3,98,10.9,10.3,19.1,0.4,1008.3,104.0,100,,0.05,,51,nyc_lincoln
2022-01-01 13:00:00,11.4,98,11.1,11.9,18.7,0.5,1007.2,67.0,100,,0.04,,53,nyc_lincoln
2022-01-01 14:00:00,11.7,98,11.4,8.9,18.7,0.8,1006.3,66.0,100,,0.04,,53,nyc_lincoln
2022-01-01 15:00:00,11.9,98,11.6,8.5,13.7,0.6,1006.0,66.0,100,,0.04,,53,nyc_lincoln
2022-01-01 16:00:00,11.7,98,11.4,8.3,15.8,0.2,1005.2,24.0,100,,0.02,,51,nyc_lincoln
2022-01-01 17:00:00,11.4,99,11.2,4.9,12.6,0.3,1005.1,30.0,100,,0.02,,51,nyc_lincoln
2022-01-01 18:00:00,10.9,100,10.9,2.8,5.8,1.2,1004.8,2.0,100,,0.01,,55,nyc_lincoln
2022-01-01 19:00:00,10.6,100,10.6,3.1,4.3,0.9,1004.5,0.0,100,,0.0,,53,nyc_lincoln
2022-01-01 20:00:00,9.9,100,9.9,4.5,9.7,1.5,1004.9,0.0,100,,0.0,,61,nyc_lincoln
2022-01-01 21:00:00,11.0,100,10.9,6.2,9.4,1.7,1004.0,0.0,100,,0.0,,61,nyc_lincoln
