datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,8.2,100,8.2,6.6,11.9,0.0,1008.8,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-01 01:00:00,8.2,100,8.1,7.6,11.9,0.0,1008.6,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-01 02:00:00,7.8,100,7.8,5.5,12.2,0.0,1008.7,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-01 03:00:00,7.8,100,7.8,5.9,9.7,0.0,1007.9,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-01 04:00:00,8.2,99,8.1,6.3,13.7,0.1,1007.6,0.0,100,,0.0,,51,nyc_nyp_brooklyn
2022-01-01 05:00:00,8.6,99,8.4,10.1,15.8,0.8,1006.4,0.0,100,,0.0,,53,nyc_nyp_brooklyn
2022-01-01 06:00:00,9.2,99,9.1,13.2,21.2,0.1,1005.6,0.0,100,,0.0,,51,nyc_nyp_brooklyn
2022-01-01 07:00:00,9.3,99,9.1,11.6,20.5,1.2,1005.4,0.0,100,,0.0,,55,nyc_nyp_brooklyn
2022-01-01 08:00:00,9.7,99,9.6,3.4,18.4,0.5,1005.6,0.0,100,,0.0,,53,nyc_nyp_brooklyn
2022-01-01 09:00:00,9.9,100,9.8,9.2,13.7,0.7,1005.4,2.0,100,,0.01,,53,nyc_nyp_brooklyn
2022-01-01 10:00:00,10.3,100,10.3,10.1,15.1,0.8,1005.8,33.0,100,,0.02,,53,nyc_nyp_brooklyn
2022-01-01 11:00:00,10.6,100,10.6,11.2,17.3,1.1,1006.1,40.0,100,,0.02,,55,nyc_nyp_brooklyn
2022-01-01 12:00:00,11.4,99,11.3,11.7,19.1,0.8,1005.1,97.0,100,,0.04,,53,nyc_nyp_brooklyn
2022-01-01 13:00:00,11.6,100,11.5,12.3,19.8,0.7,1003.9,72.0,100,,0.04,,53,nyc_nyp_brooklyn
2022-01-01 14:00:00,11.6,100,11.6,9.7,19.4,0.9,1002.9,57.0,100,,0.03,,53,nyc_nyp_brooklyn
2022-01-01 15:00:00,11.9,99,11.9,10.2,16.9,0.5,1002.7,62.0,100,,0.03,,53,nyc_nyp_brooklyn
2022-01-01 16:00:00,11.9,99,11.8,8.7,16.2,0.2,1001.9,34.0,100,,0.02,,51,nyc_nyp_brooklyn
2022-01-01 17:00:00,11.7,100,11.7,3.4,14.0,0.1,1001.6,45.0,100,,0.02,,51,nyc_nyp_brooklyn
2022-01-01 18:00:00,11.4,100,11.4,1.0,5.8,1.1,1001.3,3.0,100,,0.01,,55,nyc_nyp_brooklyn
2022-01-01 19:00:00,11.1,100,11.0,3.8,7.6,0.7,1000.9,0.0,100,,0.0,,53,nyc_nyp_brooklyn
2022-01-01 20:00:00,10.4,100,10.4,3.3,12.2,1.2,1001.5,0.0,100,,0.0,,55,nyc_nyp_brooklyn
2022-01-01 21:00:00,11.1,100,11.0,7.2,10.4,0.8,1000.5,0.0,100,,0.0,,53,nyc_nyp_brooklyn
2022-01-01 22:00:00,11.0,100,11.0,9.2,13.3,1.1,999.6,0.0,100,,0.0,,55,nyc_nyp_brooklyn
2022-01-01 23:00:00,10.9,100,10.9,14.1,29.2,3.9,998.1,0.0,100,,0.0,,63,nyc_nyp_brooklyn
2022-01-02 00:00:00,10.7,100,10.7,16.7,34.2,6.9,997.5,0.0,100,,0.0,,63,nyc_nyp_brooklyn
2022-01-02 01:00:00,11.4,96,10.8,31.9,48.6,13.2,994.7,0.0,100,,0.0,,65,nyc_nyp_brooklyn
2022-01-02 02:00:00,11.1,96,10.4,6.2,51.5,0.2,994.5,0.0,100,,0.0,,51,nyc_nyp_brooklyn
2022-01-02 03:00:00,10.1,98,9.8,16.3,27.7,0.0,995.8,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-02 04:00:00,9.7,99,9.6,13.1,24.5,0.5,996.1,0.0,100,,0.0,,53,nyc_nyp_brooklyn
2022-01-02 05:00:00,9.8,99,9.6,10.8,21.2,0.1,996.7,0.0,100,,0.0,,51,nyc_nyp_brooklyn
2022-01-02 06:00:00,9.8,98,9.4,7.0,16.6,0.2,997.0,0.0,100,,0.0,,51,nyc_nyp_brooklyn
2022-01-02 07:00:00,9.1,99,9.1,4.3,10.8,0.0,996.1,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-02 08:00:00,9.8,100,9.8,2.6,8.3,0.0,996.7,0.0,100,,0.0,,3,nyc_nyp_brooklyn
2022-01-02 09:00:00,10.4,100,10.4,2.7,8.3,0.0,996.8,3.0,100,,0.01,,3,nyc_nyp_brooklyn
2022-01-02 10:00:00,10.6,99,10.6,6.1,10.4,0.0,997.4,22.0,100,,0.02,,3,nyc_nyp_brooklyn
2022-01-02 11:00:00,11.6,98,11.2,13.4,22.3,0.0,998.3,105.0,100,,0.04,,3,nyc_nyp_brooklyn
2022-01-02 12:00:00,12.4,95,11.6,18.2,30.2,0.0,998.5,121.0,100,,0.06,,3,nyc_nyp_brooklyn
2022-01-02 13:00:00,13.1,93,11.9,18.6,31.0,0.0,998.0,126.0,100,,0.06,,3,nyc_nyp_brooklyn
2022-01-02 14:00:00,14.2,87,12.1,22.7,37.4,0.0,998.2,188.0,100,,0.1,,3,nyc_nyp_brooklyn
2022-01-02 15:00:00,13.8,84,11.1,18.0,37.4,0.0,998.7,96.0,100,,0.07,,3,nyc_nyp_brooklyn
2022-01-02 16:00:00,12.9,83,10.1,16.2,30.6,0.0,999.9,116.0,100,,0.07,,3,nyc_nyp_brooklyn
2022-01-02 17:00:00,11.8,81,8.6,18.6,29.5,0.0,1001.3,37.0,100,,0.05,,3,nyc_nyp_brooklyn
