datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,17.5,82,14.4,7.5,12.6,0.0,854.4,0.0,88,,0.0,,3,parirenyatwa_zimbabwe
2022-01-01 01:00:00,17.8,80,14.2,9.2,15.5,0.0,854.5,0.0,100,,0.01,,3,parirenyatwa_zimbabwe
2022-01-01 02:00:00,17.4,86,15.0,9.3,19.4,0.0,853.8,0.0,99,,0.0,,3,parirenyatwa_zimbabwe
2022-01-01 03:00:00,17.0,87,14.9,7.9,16.2,0.0,853.6,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-01 04:00:00,17.0,88,14.9,8.6,15.1,0.0,853.7,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-01 05:00:00,17.3,86,14.9,10.5,18.7,0.0,854.4,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-01 06:00:00,17.4,87,15.1,10.5,19.1,0.1,855.5,15.0,74,,0.02,,51,parirenyatwa_zimbabwe
2022-01-01 07:00:00,18.2,85,15.6,3.8,18.4,0.2,857.0,125.0,100,,0.08,,51,parirenyatwa_zimbabwe
2022-01-01 08:00:00,19.2,81,16.0,8.6,19.4,2.0,857.9,298.0,100,,0.18,,61,parirenyatwa_zimbabwe
2022-01-01 09:00:00,19.4,84,16.5,5.8,23.8,0.1,858.0,248.0,100,,0.17,,51,parirenyatwa_zimbabwe
2022-01-01 10:00:00,21.0,78,17.0,6.8,23.0,0.2,858.1,540.0,100,,0.35,,51,parirenyatwa_zimbabwe
2022-01-01 11:00:00,22.9,70,17.1,10.3,27.7,0.1,858.1,809.0,97,,0.53,,51,parirenyatwa_zimbabwe
2022-01-01 12:00:00,24.0,65,17.1,10.7,28.1,0.1,857.5,930.0,100,,0.62,,51,parirenyatwa_zimbabwe
2022-01-01 13:00:00,24.6,60,16.4,11.2,28.4,0.1,856.7,844.0,100,,0.59,,51,parirenyatwa_zimbabwe
2022-01-01 14:00:00,22.3,64,15.1,10.6,28.4,0.0,855.8,492.0,100,,0.35,,3,parirenyatwa_zimbabwe
2022-01-01 15:00:00,22.9,65,15.9,8.6,26.3,0.2,855.5,718.0,81,,0.48,,51,parirenyatwa_zimbabwe
2022-01-01 16:00:00,23.0,65,16.1,6.8,23.4,0.0,854.8,614.0,33,,0.41,,1,parirenyatwa_zimbabwe
2022-01-01 17:00:00,22.4,67,15.9,4.7,19.1,0.0,854.5,377.0,19,,0.25,,0,parirenyatwa_zimbabwe
2022-01-01 18:00:00,21.0,72,15.7,2.6,13.0,0.2,854.6,168.0,59,,0.1,,51,parirenyatwa_zimbabwe
2022-01-01 19:00:00,20.2,77,16.0,2.4,6.5,0.1,854.6,16.0,16,,0.0,,51,parirenyatwa_zimbabwe
2022-01-01 20:00:00,18.4,90,16.6,4.0,7.6,0.0,854.3,0.0,11,,0.0,,0,parirenyatwa_zimbabwe
2022-01-01 21:00:00,17.8,92,16.5,6.7,11.9,0.0,854.5,0.0,28,,0.0,,1,parirenyatwa_zimbabwe
2022-01-01 22:00:00,17.2,94,16.2,6.4,11.9,0.0,854.7,0.0,82,,0.0,,3,parirenyatwa_zimbabwe
2022-01-01 23:00:00,17.0,95,16.1,6.1,11.5,0.0,854.3,0.0,79,,0.0,,2,parirenyatwa_zimbabwe
2022-01-02 00:00:00,16.5,97,15.9,4.7,10.8,0.0,853.6,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-02 01:00:00,16.5,95,15.8,5.8,9.7,0.0,853.6,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-02 02:00:00,17.0,91,15.6,6.2,10.4,0.0,853.6,0.0,93,,0.0,,3,parirenyatwa_zimbabwe
2022-01-02 03:00:00,17.1,89,15.4,8.4,14.8,0.0,853.6,0.0,13,,0.0,,0,parirenyatwa_zimbabwe
2022-01-02 04:00:00,17.0,89,15.3,10.3,17.6,0.0,853.6,0.0,3,,0.0,,0,parirenyatwa_zimbabwe
2022-01-02 05:00:00,16.4,93,15.2,10.5,19.4,0.0,853.9,0.0,17,,0.0,,0,parirenyatwa_zimbabwe
2022-01-02 06:00:00,16.7,92,15.4,10.8,19.1,0.0,854.7,16.0,100,,0.01,,3,parirenyatwa_zimbabwe
2022-01-02 07:00:00,18.2,86,15.9,10.2,21.6,0.0,856.0,126.0,89,,0.08,,3,parirenyatwa_zimbabwe
2022-01-02 08:00:00,20.1,79,16.4,14.3,31.0,0.0,856.6,342.0,62,,0.21,,2,parirenyatwa_zimbabwe
2022-01-02 09:00:00,21.5,75,17.0,11.5,31.0,0.0,857.1,524.0,99,,0.33,,3,parirenyatwa_zimbabwe
2022-01-02 10:00:00,23.0,70,17.4,10.2,27.7,0.1,857.2,730.0,32,,0.48,,51,parirenyatwa_zimbabwe
2022-01-02 11:00:00,24.5,64,17.2,9.9,27.0,0.0,857.2,944.0,100,,0.64,,3,parirenyatwa_zimbabwe
2022-01-02 12:00:00,24.9,60,16.5,9.7,27.0,0.1,856.7,817.0,92,,0.58,,51,parirenyatwa_zimbabwe
2022-01-02 13:00:00,25.0,57,15.9,8.7,25.6,0.1,855.5,690.0,100,,0.5,,51,parirenyatwa_zimbabwe
2022-01-02 14:00:00,26.5,50,15.3,10.6,26.6,0.0,854.7,561.0,100,,0.45,,3,parirenyatwa_zimbabwe
2022-01-02 15:00:00,24.2,59,15.6,6.8,25.2,0.0,853.4,382.0,100,,0.3,,3,parirenyatwa_zimbabwe
2022-01-02 16:00:00,24.1,59,15.8,2.2,18.7,0.1,853.2,467.0,100,,0.33,,51,parirenyatwa_zimbabwe
2022-01-02 17:00:00,21.1,74,16.4,12.6,24.5,3.4,853.1,296.0,95,,0.2,,63,parirenyatwa_zimbabwe
2022-01-02 18:00:00,18.8,87,16.6,12.1,30.6,0.5,852.9,118.0,83,,0.08,,53,parirenyatwa_zimbabwe
2022-01-02 19:00:00,18.0,93,16.9,3.1,22.7,0.0,853.6,13.0,90,,0.0,,3,parirenyatwa_zimbabwe
2022-01-02 20:00:00,18.3,92,16.9,7.4,13.0,0.0,854.2,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-02 21:00:00,18.3,92,16.9,6.0,13.7,0.0,854.5,0.0,100,,0.0,,3,parirenyatwa_zimbabwe
2022-01-02 22:00:00,18.5,91,16.9,5.6,11.5,0.1,854.8,0.0,100,,0.0,,51,parirenyatwa_zimbabwe
2022-01-02 23:00:00,18.4,91,16.9,4.1,10.1,0.1,854.6,0.0,100,,0.0,,51,parirenyatwa_zimbabwe
