datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,11.2,88,9.4,18.6,27.0,0.1,966.5,0.0,70,,0.01,,51,phoenix_usa
2022-01-01 01:00:00,11.0,87,8.9,18.8,33.5,0.3,967.0,0.0,19,,0.01,,51,phoenix_usa
2022-01-01 02:00:00,10.6,84,7.9,21.7,33.1,0.1,967.7,0.0,35,,0.02,,51,phoenix_usa
2022-01-01 03:00:00,9.9,85,7.6,24.1,36.7,0.1,968.2,0.0,64,,0.02,,51,phoenix_usa
2022-01-01 04:00:00,9.5,84,7.0,26.7,41.0,0.0,968.8,0.0,54,,0.02,,2,phoenix_usa
2022-01-01 05:00:00,9.7,80,6.4,21.9,40.7,0.0,969.4,0.0,32,,0.03,,1,phoenix_usa
2022-01-01 06:00:00,9.3,74,4.9,24.2,36.7,0.0,970.1,0.0,2,,0.04,,0,phoenix_usa
2022-01-01 07:00:00,7.7,75,3.5,24.6,37.4,0.0,971.6,0.0,0,,0.04,,0,phoenix_usa
2022-01-01 08:00:00,7.4,74,3.0,23.4,37.4,0.0,973.1,7.0,0,,0.04,,0,phoenix_usa
2022-01-01 09:00:00,8.4,66,2.5,22.3,37.4,0.0,974.8,119.0,0,,0.08,,0,phoenix_usa
2022-01-01 10:00:00,9.6,49,-0.6,27.5,42.1,0.0,976.2,291.0,0,,0.17,,0,phoenix_usa
2022-01-01 11:00:00,10.7,43,-1.5,25.9,43.9,0.0,977.5,437.0,0,,0.23,,0,phoenix_usa
2022-01-01 12:00:00,11.4,39,-2.0,22.5,41.0,0.0,977.8,535.0,0,,0.28,,0,phoenix_usa
2022-01-01 13:00:00,12.0,35,-2.8,17.7,36.7,0.0,977.7,570.0,0,,0.3,,0,phoenix_usa
2022-01-01 14:00:00,12.5,30,-4.6,15.3,29.5,0.0,978.2,538.0,0,,0.3,,0,phoenix_usa
2022-01-01 15:00:00,12.4,27,-6.3,17.1,27.4,0.0,978.9,446.0,0,,0.27,,0,phoenix_usa
2022-01-01 16:00:00,11.6,26,-7.1,20.0,30.2,0.0,979.5,302.0,0,,0.22,,0,phoenix_usa
2022-01-01 17:00:00,9.6,38,-4.0,15.1,30.2,0.0,981.1,132.0,0,,0.12,,0,phoenix_usa
2022-01-01 18:00:00,8.1,43,-3.7,16.7,23.8,0.0,981.9,10.0,0,,0.08,,0,phoenix_usa
2022-01-01 19:00:00,7.0,48,-3.3,17.1,25.6,0.0,982.8,0.0,4,,0.07,,0,phoenix_usa
2022-01-01 20:00:00,5.9,55,-2.5,14.8,24.8,0.0,983.8,0.0,0,,0.05,,0,phoenix_usa
2022-01-01 21:00:00,5.2,56,-2.8,14.8,21.6,0.0,984.5,0.0,12,,0.04,,0,phoenix_usa
2022-01-01 22:00:00,4.1,67,-1.5,12.7,21.2,0.0,985.4,0.0,0,,0.02,,0,phoenix_usa
2022-01-01 23:00:00,3.8,67,-1.9,15.2,21.2,0.0,986.0,0.0,19,,0.03,,0,phoenix_usa
2022-01-02 00:00:00,4.2,56,-3.8,20.0,29.9,0.0,986.2,0.0,62,,0.05,,2,phoenix_usa
2022-01-02 01:00:00,3.8,57,-4.1,18.2,30.6,0.0,986.2,0.0,72,,0.05,,2,phoenix_usa
2022-01-02 02:00:00,2.9,60,-4.1,13.1,26.6,0.0,986.2,0.0,18,,0.03,,0,phoenix_usa
2022-01-02 03:00:00,2.2,61,-4.5,9.8,18.7,0.0,986.4,0.0,0,,0.02,,0,phoenix_usa
2022-01-02 04:00:00,1.3,64,-4.8,5.5,14.0,0.0,986.6,0.0,1,,0.01,,0,phoenix_usa
2022-01-02 05:00:00,3.4,52,-5.5,1.1,7.6,0.0,987.3,0.0,0,,0.0,,0,phoenix_usa
2022-01-02 06:00:00,1.5,71,-3.2,8.5,10.8,0.0,987.5,0.0,0,,0.01,,0,phoenix_usa
