datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,12.8,83,9.9,25.9,47.5,0.0,1013.6,0.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 01:00:00,12.4,83,9.6,26.0,47.5,0.0,1013.4,0.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 02:00:00,12.3,84,9.6,24.1,47.5,0.0,1013.1,0.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 03:00:00,12.4,83,9.7,24.8,45.0,0.0,1012.7,0.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 04:00:00,12.6,83,9.8,24.5,45.4,0.0,1012.1,0.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 05:00:00,12.6,81,9.5,22.1,44.3,0.0,1011.6,0.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 06:00:00,13.2,74,8.7,22.0,40.7,0.0,1010.8,0.0,100,,0.05,,3,royal_devon_nhs
2022-01-01 07:00:00,13.7,68,7.9,23.2,42.5,0.0,1010.0,0.0,100,,0.06,,3,royal_devon_nhs
2022-01-01 08:00:00,14.1,66,7.9,25.9,47.2,0.0,1009.7,0.0,55,,0.07,,2,royal_devon_nhs
2022-01-01 09:00:00,13.8,72,8.9,25.8,49.0,0.0,1010.2,0.0,99,,0.06,,3,royal_devon_nhs
2022-01-01 10:00:00,13.4,84,10.8,25.3,51.1,3.3,1010.6,4.0,100,,0.05,,63,royal_devon_nhs
2022-01-01 11:00:00,13.9,84,11.2,23.0,45.7,0.0,1010.8,32.0,100,,0.05,,3,royal_devon_nhs
2022-01-01 12:00:00,14.3,84,11.6,22.8,42.1,0.0,1010.9,73.0,100,,0.06,,3,royal_devon_nhs
2022-01-01 13:00:00,14.6,85,12.1,19.3,42.1,0.0,1010.7,107.0,100,,0.07,,3,royal_devon_nhs
2022-01-01 14:00:00,14.4,86,12.2,21.3,39.6,0.0,1010.4,180.0,81,,0.09,,3,royal_devon_nhs
2022-01-01 15:00:00,14.1,88,12.2,20.1,40.7,0.0,1010.1,151.0,100,,0.07,,3,royal_devon_nhs
2022-01-01 16:00:00,13.5,92,12.2,17.0,37.8,0.0,1010.0,70.0,100,,0.04,,3,royal_devon_nhs
2022-01-01 17:00:00,13.2,91,11.9,21.1,38.2,0.0,1009.8,25.0,100,,0.03,,3,royal_devon_nhs
2022-01-01 18:00:00,13.0,92,11.8,19.7,38.5,0.1,1009.8,0.0,100,,0.02,,51,royal_devon_nhs
2022-01-01 19:00:00,12.9,92,11.6,19.2,36.0,0.1,1009.6,0.0,100,,0.0,,51,royal_devon_nhs
2022-01-01 20:00:00,12.9,91,11.4,18.5,34.6,0.1,1009.5,0.0,99,,0.0,,51,royal_devon_nhs
2022-01-01 21:00:00,12.5,92,11.3,17.0,34.2,0.1,1009.3,0.0,100,,0.0,,51,royal_devon_nhs
2022-01-01 22:00:00,11.9,95,11.1,16.1,31.0,0.0,1009.2,0.0,100,,0.0,,3,royal_devon_nhs
2022-01-01 23:00:00,11.9,93,10.8,14.2,28.8,0.1,1008.8,0.0,100,,0.0,,51,royal_devon_nhs
2022-01-02 00:00:00,11.6,91,10.2,16.2,29.2,0.0,1007.9,0.0,100,,0.0,,3,royal_devon_nhs
2022-01-02 01:00:00,12.1,93,11.0,14.0,31.0,0.0,1007.1,0.0,100,,0.0,,3,royal_devon_nhs
2022-01-02 02:00:00,11.9,94,10.9,18.7,33.1,0.0,1006.1,0.0,99,,0.0,,3,royal_devon_nhs
2022-01-02 03:00:00,11.4,92,10.2,27.9,48.2,1.9,1005.4,0.0,99,,0.01,,61,royal_devon_nhs
2022-01-02 04:00:00,11.6,90,9.9,27.7,59.0,1.3,1005.0,0.0,100,,0.01,,61,royal_devon_nhs
2022-01-02 05:00:00,11.6,86,9.4,23.0,49.7,0.1,1005.1,0.0,96,,0.02,,51,royal_devon_nhs
2022-01-02 06:00:00,10.9,85,8.4,20.2,41.4,0.0,1005.7,0.0,78,,0.02,,2,royal_devon_nhs
2022-01-02 07:00:00,10.8,85,8.4,15.0,36.0,0.0,1005.8,0.0,54,,0.01,,2,royal_devon_nhs
2022-01-02 08:00:00,10.0,88,8.1,10.9,27.0,0.0,1006.1,0.0,45,,0.0,,1,royal_devon_nhs
2022-01-02 09:00:00,9.6,90,7.9,10.2,20.2,0.0,1006.6,0.0,98,,0.0,,3,royal_devon_nhs
2022-01-02 10:00:00,10.6,89,8.9,13.8,24.1,0.0,1007.0,9.0,100,,0.02,,3,royal_devon_nhs
2022-01-02 11:00:00,10.9,88,8.9,14.9,26.6,0.2,1006.7,48.0,100,,0.03,,51,royal_devon_nhs
2022-01-02 12:00:00,11.2,87,9.2,20.7,35.6,1.8,1006.2,89.0,99,,0.05,,61,royal_devon_nhs
2022-01-02 13:00:00,10.1,87,8.0,19.2,45.7,0.5,1005.3,94.0,100,,0.05,,53,royal_devon_nhs
2022-01-02 14:00:00,10.6,87,8.6,20.5,41.8,0.5,1004.3,95.0,95,,0.06,,53,royal_devon_nhs
2022-01-02 15:00:00,11.2,86,8.9,23.8,40.7,0.1,1004.4,85.0,81,,0.06,,51,royal_devon_nhs
2022-01-02 16:00:00,10.6,82,7.7,26.5,54.0,0.0,1005.1,89.0,96,,0.06,,3,royal_devon_nhs
2022-01-02 17:00:00,10.6,79,7.2,23.3,48.6,0.0,1005.8,33.0,71,,0.05,,2,royal_devon_nhs
2022-01-02 18:00:00,9.9,81,6.8,22.1,42.1,0.0,1006.2,1.0,88,,0.04,,3,royal_devon_nhs
2022-01-02 19:00:00,9.8,79,6.4,22.8,40.7,0.0,1006.7,0.0,40,,0.03,,1,royal_devon_nhs
2022-01-02 20:00:00,9.6,80,6.4,22.5,41.0,0.0,1007.2,0.0,62,,0.03,,2,royal_devon_nhs
2022-01-02 21:00:00,9.6,81,6.6,21.9,40.7,0.0,1007.5,0.0,88,,0.03,,3,royal_devon_nhs
2022-01-02 22:00:00,9.9,80,6.7,21.8,39.6,0.0,1007.6,0.0,91,,0.03,,3,royal_devon_nhs
2022-01-02 23:00:00,10.1,79,6.5,22.6,40.7,0.0,1007.8,0.0,91,,0.03,,3,royal_devon_nhs
2022-01-03 00:00:00,9.8,80,6.6,23.7,43.6,0.0,1008.1,0.0,99,,0.03,,3,royal_devon_nhs
2022-01-03 01:00:00,9.2,82,6.4,19.2,45.7,0.0,1008.3,0.0,74,,0.02,,2,royal_devon_nhs
2022-01-03 02:00:00,9.6,81,6.5,21.4,38.5,0.0,1008.3,0.0,91,,0.03,,3,royal_devon_nhs
2022-01-03 03:00:00,9.6,81,6.6,22.2,40.3,0.0,1008.1,0.0,66,,0.03,,2,royal_devon_nhs
2022-01-03 04:00:00,9.5,80,6.2,20.3,40.0,0.0,1007.9,0.0,93,,0.03,,3,royal_devon_nhs
2022-01-03 05:00:00,9.2,81,6.2,20.5,37.4,0.0,1007.3,0.0,100,,0.02,,3,royal_devon_nhs
2022-01-03 06:00:00,9.6,79,6.2,18.1,37.4,0.0,1006.9,0.0,97,,0.02,,3,royal_devon_nhs
2022-01-03 07:00:00,9.4,81,6.3,16.6,32.8,0.0,1006.3,0.0,100,,0.02,,3,royal_devon_nhs
2022-01-03 08:00:00,9.3,84,6.7,15.8,30.6,0.0,1006.0,0.0,100,,0.01,,3,royal_devon_nhs
2022-01-03 09:00:00,9.7,83,7.0,19.6,34.9,0.0,1005.8,0.0,100,,0.02,,3,royal_devon_nhs
2022-01-03 10:00:00,9.4,83,6.7,17.3,35.3,0.0,1005.6,8.0,100,,0.03,,3,royal_devon_nhs
2022-01-03 11:00:00,10.0,83,7.2,16.7,31.3,0.0,1005.4,59.0,100,,0.04,,3,royal_devon_nhs
2022-01-03 12:00:00,10.5,82,7.6,15.0,30.6,0.0,1005.0,103.0,100,,0.06,,3,royal_devon_nhs
2022-01-03 13:00:00,10.1,87,8.0,12.4,27.0,0.0,1004.5,114.0,100,,0.06,,3,royal_devon_nhs
