datetime,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,surface_pressure,shortwave_radiation,cloud_cover,visibility,et0_fao_evapotranspiration,cape,weathercode,hospital
2022-01-01 00:00:00,12.6,91,11.1,19.4,31.0,0.0,1019.5,0.0,96,,0.01,,3,st_thomas_nhs
2022-01-01 01:00:00,12.6,93,11.6,17.6,31.0,0.0,1019.4,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 02:00:00,12.8,93,11.6,19.0,30.6,0.0,1019.1,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 03:00:00,12.4,93,11.4,17.9,30.6,0.0,1018.9,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 04:00:00,12.2,92,10.9,18.6,29.5,0.0,1019.1,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 05:00:00,11.9,93,10.8,20.3,33.1,0.0,1018.7,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 06:00:00,11.8,92,10.6,18.8,33.1,0.0,1017.9,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 07:00:00,11.6,91,10.3,17.9,29.9,0.0,1017.0,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-01 08:00:00,12.1,88,10.1,20.3,32.0,0.0,1016.4,0.0,99,,0.01,,3,st_thomas_nhs
2022-01-01 09:00:00,12.2,84,9.6,21.7,34.9,0.0,1016.1,0.0,100,,0.02,,3,st_thomas_nhs
2022-01-01 10:00:00,12.4,81,9.1,22.7,35.6,0.0,1016.5,17.0,65,,0.04,,2,st_thomas_nhs
2022-01-01 11:00:00,13.2,74,8.8,25.0,40.3,0.0,1016.9,88.0,67,,0.08,,2,st_thomas_nhs
2022-01-01 12:00:00,14.1,71,8.9,24.8,40.3,0.0,1016.9,165.0,100,,0.11,,3,st_thomas_nhs
2022-01-01 13:00:00,14.8,76,10.6,18.4,40.0,0.0,1016.5,163.0,99,,0.1,,3,st_thomas_nhs
2022-01-01 14:00:00,14.9,77,10.8,19.0,32.8,0.0,1015.2,172.0,100,,0.1,,3,st_thomas_nhs
2022-01-01 15:00:00,14.3,80,10.9,22.5,35.6,0.2,1015.0,93.0,100,,0.08,,51,st_thomas_nhs
2022-01-01 16:00:00,13.6,81,10.5,25.3,40.7,0.0,1015.2,56.0,100,,0.06,,3,st_thomas_nhs
2022-01-01 17:00:00,13.0,84,10.3,23.1,40.7,0.0,1015.1,14.0,100,,0.04,,3,st_thomas_nhs
2022-01-01 18:00:00,13.1,83,10.3,23.0,37.4,0.0,1014.9,0.0,100,,0.03,,3,st_thomas_nhs
2022-01-01 19:00:00,12.9,87,10.8,22.1,36.7,0.0,1014.6,0.0,100,,0.02,,3,st_thomas_nhs
2022-01-01 20:00:00,13.1,87,11.0,22.1,36.0,0.0,1014.3,0.0,100,,0.02,,3,st_thomas_nhs
2022-01-01 21:00:00,12.8,89,11.0,21.7,35.3,0.0,1014.1,0.0,100,,0.01,,3,st_thomas_nhs
2022-01-01 22:00:00,12.9,90,11.2,21.4,35.3,0.0,1014.0,0.0,100,,0.01,,3,st_thomas_nhs
2022-01-01 23:00:00,13.0,90,11.4,20.9,34.2,0.0,1013.8,0.0,100,,0.01,,3,st_thomas_nhs
2022-01-02 00:00:00,13.1,89,11.3,20.7,34.6,0.0,1013.0,0.0,100,,0.01,,3,st_thomas_nhs
2022-01-02 01:00:00,12.6,94,11.6,18.8,33.1,0.0,1012.0,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-02 02:00:00,12.4,94,11.4,18.4,31.7,0.0,1011.3,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-02 03:00:00,12.4,93,11.4,16.8,29.5,0.0,1010.2,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-02 04:00:00,12.2,92,11.1,17.2,28.4,0.0,1009.6,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-02 05:00:00,12.1,93,11.1,20.0,31.0,0.0,1008.7,0.0,100,,0.0,,3,st_thomas_nhs
2022-01-02 06:00:00,12.3,88,10.3,28.3,50.8,0.1,1008.2,0.0,100,,0.02,,51,st_thomas_nhs
2022-01-02 07:00:00,12.0,86,9.6,27.6,45.4,0.0,1008.0,0.0,52,,0.02,,2,st_thomas_nhs
2022-01-02 08:00:00,11.4,88,9.4,26.4,45.7,0.0,1008.3,0.0,46,,0.02,,1,st_thomas_nhs
2022-01-02 09:00:00,10.6,89,8.9,23.1,42.5,0.0,1008.9,0.0,6,,0.01,,0,st_thomas_nhs
2022-01-02 10:00:00,10.4,88,8.4,21.8,37.1,0.0,1009.8,21.0,14,,0.02,,0,st_thomas_nhs
2022-01-02 11:00:00,10.9,85,8.6,23.1,37.1,0.0,1010.3,104.0,17,,0.05,,0,st_thomas_nhs
2022-01-02 12:00:00,11.6,85,9.1,20.1,37.1,0.0,1009.9,183.0,93,,0.07,,3,st_thomas_nhs
2022-01-02 13:00:00,11.4,82,8.5,20.7,45.0,0.0,1009.8,202.0,61,,0.09,,2,st_thomas_nhs
2022-01-02 14:00:00,12.1,81,9.0,23.2,36.7,0.0,1009.0,211.0,93,,0.09,,3,st_thomas_nhs
2022-01-02 15:00:00,11.2,82,8.2,29.5,49.3,1.0,1007.9,121.0,100,,0.07,,55,st_thomas_nhs
