total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
998.343570081,101.247039609,558.741812876,0,34.9616554283,124.558693486,551.985844603,528.638491152,14.1616749024,9.18567854794,2022-01-01 00:00:00
914.2720821,101.247039609,520.281440302,0,34.9616554283,113.312780494,557.289660158,542.921282692,5.66466996096,8.70370750521,2022-01-01 01:00:00
831.58877026,101.247039609,452.930817761,0,34.9616554283,113.312780494,572.689166764,558.319890649,5.66466996096,8.70460615358,2022-01-01 02:00:00
847.924132693,101.247039609,469.464822309,0,34.9616554283,113.312780494,593.760010876,570.70619899,5.66466996096,17.389141925,2022-01-01 03:00:00
859.587303231,101.247039609,478.672232324,0,34.9616554283,113.312780494,595.800299211,581.431160189,5.66466996096,8.70446906072,2022-01-01 04:00:00
865.348934673,101.247039609,474.793736546,0,44.4937663224,113.312780494,604.834238905,581.780751466,5.66466996096,17.388817478,2022-01-01 05:00:00
857.990749159,101.247039609,464.451267737,0,44.4937663224,113.312780494,615.932821228,593.066853811,14.1616749024,8.70429251472,2022-01-01 06:00:00
918.02986616,101.247039609,451.694006851,0,54.0258772165,176.889270242,582.018765755,536.306944214,28.3233498048,17.3884717358,2022-01-01 07:00:00
918.437557476,101.247039609,452.459432699,0,54.0258772165,184.38654557,583.159294578,531.970156168,42.4850247072,8.70411370275,2022-01-01 08:00:00
1001.08580727,101.247039609,463.33810634,0,65.1572554096,220.04316451,566.334238535,492.227565792,56.6466996096,17.4599731329,2022-01-01 09:00:00
1054.95190127,101.247039609,522.114482163,0,65.1572554096,212.545889182,539.88170393,471.115171102,42.4850247072,26.2815081201,2022-01-01 10:00:00
1111.95896663,101.247039609,556.078624375,0,65.1572554096,220.04316451,554.797920089,457.604452248,70.808374512,26.3850933282,2022-01-01 11:00:00
1130.80839762,101.247039609,564.663841885,0,65.1572554096,220.04316451,540.668267924,443.471599073,70.808374512,26.3882943391,2022-01-01 12:00:00
1133.61594878,101.247039609,568.433395445,0,65.1572554096,220.04316451,526.247918982,429.053155019,70.808374512,26.3863894509,2022-01-01 13:00:00
1116.35447052,101.247039609,561.924063301,0,65.1572554096,212.545889182,483.063558906,408.819028911,56.6466996096,17.5978303851,2022-01-01 14:00:00
1111.84078487,101.247039609,559.440852999,0,65.1572554096,212.545889182,455.550425475,386.677309339,42.4850247072,26.3880914295,2022-01-01 15:00:00
