feature,importance
load_std_24h,404
solar_ratio,383
load_diff_24h,368
solar_pv_kw,365
load_rolling_24h,344
peak_ratio,305
base_load_ratio,279
load_rolling_6h,252
precip_cumul_48h,239
precip_cumul_24h,218
load_pct_change_1h,203
sterilization_kw,194
temp_humidity_interaction,185
surface_pressure,179
load_diff_1h,175
temperature_2m,155
wind_speed_10m,153
total_load_kw,148
shortwave_radiation,135
base_load_kw,134
day_of_week,130
month_cos,120
relative_humidity_2m,111
gust_load_interaction,104
precip_cumul_6h,101
wind_gusts_10m,96
hour,92
month_sin,88
month,84
hour_cos,71
hour_sin,65
weathercode,56
wind_precipitation_interaction,23
precipitation,12
rainy_season,10
is_weekend,9
dry_season,8
peak_demand_hours,1
heat_stress,1
solar_available,0
dangerous_gusts,0
cape,0
thunderstorm_risk,0
storm_risk,0
wmo_storm,0
pressure_drop_3h,0
night_no_solar,0
