feature,mean_abs_shap
hour,0.9797424103530228
precip_cumul_48h,0.7216957013110114
load_std_24h,0.6382375619862518
day_of_week,0.6129650052149039
relative_humidity_2m,0.49834599563022314
gust_load_interaction,0.41841396252145086
load_diff_24h,0.3397894552070118
precip_cumul_24h,0.3298356821132827
base_load_kw,0.31009151820131214
solar_ratio,0.28715990351020365
wind_gusts_10m,0.2629190408017904
month,0.2547463882846372
surface_pressure,0.23742922572475564
load_rolling_6h,0.2336752293722096
sterilization_kw,0.21084799559321737
load_rolling_24h,0.20025432039534494
base_load_ratio,0.17608541900218622
temp_humidity_interaction,0.16890305417083104
peak_ratio,0.15043901998951756
solar_pv_kw,0.12972876834400543
load_pct_change_1h,0.11856528464564003
temperature_2m,0.11359160141348003
total_load_kw,0.11115630521015164
wind_speed_10m,0.10601284425280459
weathercode,0.08222342040040348
hour_cos,0.08200941865596555
load_diff_1h,0.07949809852193576
precip_cumul_6h,0.056269180567625025
is_weekend,0.05429396181589573
hour_sin,0.05086910490480937
shortwave_radiation,0.04045312184275028
month_cos,0.025465978346024327
month_sin,0.019605227832072462
precipitation,0.015379829658604427
wind_precipitation_interaction,0.013607679028285753
peak_demand_hours,0.011412409251102481
solar_available,0.0041377511143205255
dry_season,0.003257857862839763
pressure_drop_3h,0.003257144863461638
heat_stress,0.0
rainy_season,0.0
dangerous_gusts,0.0
cape,0.0
thunderstorm_risk,0.0
storm_risk,0.0
wmo_storm,0.0
night_no_solar,0.0
