feature,mean_abs_shap
solar_ratio,2.4183769555349865
day_of_week,1.6322704519996996
solar_pv_kw,1.1049333015558676
load_rolling_6h,1.0936081541275238
month,0.964958264833022
temp_humidity_interaction,0.9301181638575619
surface_pressure,0.9030457616948557
load_rolling_24h,0.7720897881077756
peak_ratio,0.7292807666644339
load_std_24h,0.5238708932275858
hour_sin,0.4164222241655349
load_diff_24h,0.3968732738925453
base_load_kw,0.3887399265301515
temperature_2m,0.3852432892176303
relative_humidity_2m,0.35575179333161416
load_diff_1h,0.3505175446570272
sterilization_kw,0.3265524481101172
base_load_ratio,0.2964854433611002
wind_speed_10m,0.29305324016779316
hour,0.28124828208734215
total_load_kw,0.25527870596466756
shortwave_radiation,0.24982087460240263
hour_cos,0.2297517061132076
load_pct_change_1h,0.1982021683835308
month_cos,0.13254519216594915
is_weekend,0.11440651242609216
month_sin,0.026862998466943764
precipitation,0.022355205321877698
wind_precipitation_interaction,0.01754426502560592
heat_stress,0.0052589172722281525
solar_available,0.002346430651815883
